Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MOUTH",31773118,595.00
"REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF NECK, HANDS, FEET, AND/OR GENITALS",31773107,"1,020.00"
"REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773076,551.00
"REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE SCALP, NECK, UNDERARMS, GENITALS, TRUNK, ARMS AND/OR LEGS",31773065,551.00
"REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE SCALP, UNDERARMS, TRUNK, ARMS, AND/OR LEGS",31773095,"1,020.00"
"REPAIR OF WOUND (5.1 TO 7.5 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773073,316.00
"REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773074,353.00
"REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF THE SCALP, UNDERARMS, TRUNK, ARMS, AND/OR LEGS",31773093,546.00
"REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773077,649.00
"REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF THE SCALP, NECK, UNDERARMS, GENITALS, TRUNK, ARMS AND/OR LEGS",31773066,649.00
"REPAIR OF WOUND OF EYELIDS, NOSE, EARS, AND/OR LIPS",31773154,436.00
"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, AND/OR FEET",31773143,436.00
"REPAIR OF WOUND OF SCALP, ARMS, AND/OR LEGS",31773133,436.00
REPAIR OF WOUND OF TRUNK,31773122,436.00
REPLACEMENT OF CATHETER IN PERIPHERAL VEIN ACCESSED THROUGH SAME VEIN,41317127,"1,810.25"
REPLACEMENT OF CENTRAL VENOUS CATHETER,41317124,"2,606.75"
REPLACEMENT OF KIDNEY DRAINAGE CATHETER ACCESSED THROUGH THE SKIN WITH IMAGING AND RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310315,"1,530.00"
REPLACEMENT OF LIVER DUCT DRAINAGE CATHETER ACCESSED THROUGH THE SKIN WITH IMAGING AND RADIOLOGICAL SUPERVISION AND INTERPRETATION,41315261,"4,623.00"
"REPLACEMENT OF SMALL BOWEL TUBE USING FLUOROSCOPIC GUIDANCE WITH CONTRAST, ACCESSED THROUGH THE SKIN",41310672,975.00
"REPLACEMENT OF STOMACH OR LARGE BOWEL TUBE USING FLUOROSCOPIC GUIDANCE WITH CONTRAST, ACCESSED THROUGH THE SKIN",41315983,621.00
"REPLACEMENT OF STOMACH TO SMALL BOWEL TUBE USING FLUOROSCOPIC GUIDANCE WITH CONTRAST, ACCESSED THROUGH THE SKIN",41310325,975.00
REPOSITIONING OF CENTRAL VENOUS CATHETER USING FLUOROSCOPIC GUIDANCE,41317133,"1,412.00"
REPOSITIONING OF IMPLANTED PACEMAKER OR DEFIBRILLATOR DEVICE,41473348,"2,082.00"
REPOSITIONING OF STOMACH FEEDING TUBE,31773680,"1,087.20"
RESECTOR TISSUE -500,34305185,"1,622.00"
RESPIRATORY INHALED AEROSOL TREATMENT TO RELIEVE AIRWAY OBSTRUCTION,41331607,172.95
"RESPIRATORY INHALED AEROSOL TREATMENT TO RELIEVE AIRWAY OBSTRUCTION, FIRST HOUR",41331606,172.95
RESPIRATORY INHALED PRESSURE OR NONPRESSURE TREATMENT TO RELIEVE AIRWAY OBSTRUCTION OR FOR SPUTUM SPECIMEN,41330153,156.00
RESTRAINT UNIVERSAL LIMB,41470947,14.60
RESUSCITATION BAG,41330750,74.35
"RETRIEVAL DEVICE, INSERTABLE (USED TO RETRIEVE FRACTURED MEDICAL DEVICES)",41470061,"5,639.00"
"RETRIEVAL DEVICE, INSERTABLE (USED TO RETRIEVE FRACTURED MEDICAL DEVICES),DEV SPEC RETR RTHNT 25MM 230CM 6X",40751311,276.25
"RETRIEVAL DEVICE, INSERTABLE (USED TO RETRIEVE FRACTURED MEDICAL DEVICES),SYSTEM EN SNARE- 350",34304090,"1,138.00"
"RETRIEVAL OF FOREIGN BODY OF BLOOD VESSELS, ACCESSED THROUGH THE SKIN INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41311343,"2,886.00"
RING MITRAL 1,34303145,"8,125.00"
"RING, INVALID 9""",41479044,2.85
RLD SUT AS 0 SH 6IN EBND EXC SUT,34302063,256.75
ROD GD BONE NL STRG 4 X 900MM,34302067,302.67
ROD OST SUR FIT LOOP 90MM,34302069,57.79
ROTATING PRESSURE LINE,41470702,18.20
RSRV DRN JVC SIL CLS WND N-PYRG 4,34302074,81.64
RTRCTR 31CM 10MM ER2 FAN 3 FNGR S,40752083,238.29
RTRCTR RING NORYL RSN STRL DISP L,34302089,146.25
RTRCTR WND ALEXIS MED 50 TO 90CM,34302092,68.25
SCIMED ESSENTIAL KIT,41473006,107.75
SEALANT THROMBIN GEL-FLOSEAL,40791102,561.18
"SELF-CARE OR HOME MANAGEMENT TRAINING, EACH 15 MINUTES",41210261,93.65
SENSOR FOREHEAD- 10,34304087,35.00
SENSOR OXIMAX ADULT PULSE OX,41470936,32.52
SEPARATION OF NAIL PLATE FROM NAIL BED,31771242,215.68
SERVICES AND CARE SUITE,31500007,"1,435.00"
SERVICES AND CARE-1 ,31630002,"1,310.00"
SERVICES AND CARE-LDR-1,40790005,"1,310.00"
SET 135CM 14GA CATH INJ CAP GW IN,34302107,5.69
SET INFS WNG NON CORING NDL ANG W,40752121,22.75
SET INTBT RTRGD 11FR X 70CM,34302123,308.75
SET RTRCTR 12IN 5MM RD SY SCR KT,34302128,39.81
SHAVER MICROBLADE IO-FLEX,34303470,"6,158.75"
SHLD LSR 2 ET TUBE CUF 80MM,34302158,380.25
SHNT CRTD SUNDT INTNL 40 X 50MM X,34302169,542.75
SHNT CV 19MM 25MM AXS CRTD ART FL,34302175,308.75
"SHOULDER ORTHOSIS, ACROMIO/CLAVICULAR (CANVAS AND WEBBING TYPE), PREFABRICATED, OFF-THE-SHELF",31771103,93.65
SHR ESURG 36CM 5MM HRMSCPL TI CRV,34302189,"1,213.16"
SHR MNPLR 31CM 5MM E SHRS RCHT HN,34302192,195.52
SIMPLE CONTROL OF NOSE BLEED,31772020,192.85
SINUS BALLOON INFLATION BID30,34303353,245.54
SKIN STAPLER,31770223,84.05
SKIN-PREP,41470588,14.60
SLEEVE TROCAR NONBLADED 5MM,34303232,94.25
SLING - LARGE 15621,41780986,4.20
SLING - MEDIUM 15636,41780985,4.20
SLINGS,31771169,93.65
"SLINGS,SLING ORTH -55",34303809,178.75
SLIT LAMP/RUST RING REMOVER,31770300,67.90
SLITTER ATTAIN,41473630,108.70
SLV GASTRECTOMY CALIB,34303917,600.93
SLV KN LGTH SCD ADJ NON STRL DISP,34302223,122.43
SMART NEEDLE,41473063,283.50
"SMOKING AND TOBACCO USE INTENSIVE COUNSELING, GREATER THAN 10 MINUTES",41390031,50.00
SNR W STD 240CM 19MM 27MM PRFL PL,40752241,126.10
SOL INHALANT PERFLOURON 5ML,34302257,"1,218.75"
SOLUTION IRRIGATION NS,31770067,15.00
SOLUTION IV INJECTION,34300732,3.25
SOSA SPIKE,41470527,13.45
SPACER LORDOTIC SYNTHES,34303320,"4,214.93"
SPECIMEN TRAP,34303846,5.53
SPHINCTEROTOME-525,34303597,"1,706.25"
SPINAL ANESTHESIA FIRST HOUR,40360012,"1,425.00"
SPINAL TAP WITH DRAINAGE OF SPINAL FLUID,31772650,578.41
SPINAL WITH GENERAL ANESTHESIA FIRST HOUR,40361502,"1,050.00"
"SPLINT CLAVICLE, ALL SIZES",31771258,47.15
SPLINT FINGER (ALL SIZES),31770021,22.30
SPLINT NASAL-70,34300746,227.50
SPLINT ORTHOPEDIC-90,34300751,292.50
SPLINT WRIST-5,34300756,16.25
"SPLINT, HIP LENGTH ADULT",31770048,238.30
"SPLINT, LEG ADULT",31770044,91.90
"SPLINT, LEG CHILD",31770043,73.60
"SPLINT,ELBOW YOUTH & ADULT",31770050,73.60
SPNG SURG DISSECTOR(PEANUT),34303181,2.93
SPONGE SURGICAL SPECIAL,34302738,6.50
SPUTUM SPECIMEN COLLECTION,41330183,108.00
STAPLER SURGICAL -650,34303970,"2,112.50"
STAT PADS MULTI ELECTRODES,31770225,106.10
STATLOCK 0684-00-04720 DATA SCOPE,41470965,63.88
STENT GRAFT ENDOPROSTHESIS - 4500,34303553,"14,625.00"
STENT HEP BALLOON EXP,34300808,"2,925.00"
"STENT, COATED/COVERED, WITH DELIVERY SYSTEM",41474032,"7,393.75"
"STENT, COATED/COVERED, WITH DELIVERY SYSTEM,STENT TRACH/BRON WALLGRAFT",34303433,"3,575.00"
"STENT, COATED/COVERED, WITHOUT DELIVERY SYSTEM,STENT URETERAL WO DEL-715",34300814,"2,323.75"
"STENT, NON-COATED/NON-COVERED, WITH DELIVERY SYSTEM",41473938,"5,359.35"
"STENT, NON-CORONARY, TEMPORARY, WITHOUT DELIVERY SYSTEM,STENT URETERAL",40480815,487.50
"STENT,DRUG ELUTING-1100",41470230,"3,575.00"
STERILE SLEEVE,41470584,26.90
"STERI-STRIPS, ALL SIZES",31770152,8.35
STOCKINETTE-40,34300824,130.00
STOCKING COMPRESSION KNEE,34300829,13.00
STOCKING COMPRESSION THIGH,34300830,22.75
STOPCOCK 5,34300834,16.25
STRAPPING OF ANKLE AND/OR FOOT,31773586,170.15
STRAPPING OF ELBOW OR WRIST,31773548,170.15
STRAPPING OF HAND OR FINGER,31773549,170.15
STRAPPING OF HIP,31773575,169.80
STRAPPING OF KNEE,31773580,169.80
STRAPPING OF SHOULDER,31773545,169.80
STRAPPING OF TOES,31773585,169.80
"STRAPPING, UNNA BOOT",41400272,476.30
"STRATTICE TM, PER SQUARE CENTIMETER,TISSUE MATRIX STRATTICE 6 X 16",34303086,"8,255.00"
STYLET INTUBATION,34302740,9.75
STYLET KIT 6057-65,41470966,140.00
"SUCT YANK,HANDLE ONLY",41470914,17.10
SUCTION CANNISTER,41470943,5.18
SUCTION SYSTEM,41330099,73.10
SURGICAL PREP SOL-2,34302791,6.50
SURGICAL STAPLER,41479056,30.85
SURGICAL STAPLER-DISP,40791002,204.75
SURGICEL,31770227,36.95
SURGICEL 4X8 ABSORBABLE HEMOSTAT,40790562,69.65
SURGICEL POWDER-150,40790300,488.00
SUTURE,34300025,6.55
SUTURE,40791105,25.00
SUTURE - 3.0 ETH.,41400508,33.10
SUTURE - 4.0 VICY.,41400506,8.80
SUTURE -55,34303958,178.75
SUTURE BUTTON,34303971,"1,608.75"
SUTURE CHROMIC,31770305,17.55
SUTURE ETHILON,31770302,38.70
SUTURE MONOCRYL,31770306,19.10
SUTURE PLAIN GUT,31770307,17.10
SUTURE PROLENE,31770304,9.50
SUTURE SILK,31770301,6.75
SUTURE VICRYL,31770303,8.80
SWAN-GANZ CATHETER,41470536,278.25
SWITCH FLOW CONTROL - 40,34305218,130.00
SYR HYPO TB TINY NDL TECH SFGRD S,40752401,101.73
SYR INFL ALN 2 INTGR GA ASMB ST S,40752404,97.50
SYS ABLATION ISOL ATRICURE -1800,34305173,"5,850.00"
SYS BONE CMNT PRS WO HUB PROX FEM,34302415,55.58
SYS MRKNG BRST SADOWSKY NDL SPRG,40752427,61.75
SYSTEM ENDOANCHOR APTUS,34303771,"5,723.25"
SYSTEM INC MGMNT PREVENA,34303823,"1,609.75"
SYVEK NT PATCH,41473593,60.41
TAP SCREW- 350,34304076,"1,138.00"
TAPE DRESSING,34300867,6.50
TBG ART PRESS MONT M M PVC L 12IN,34302446,8.84
TBG IRR DRL COOLANT HS,34302464,108.88
TBG MED VAC HOSE EVC SMK 7/8IN X,40752473,23.69
TBG SCT CNCT STRL 025IN X 20FT,34302485,17.13
TBG SCT DYNC 25 INFL TUBE SET ASC,34302487,201.34
"TEE 2D W/PROBE PLCMNT,IMG,I&R",41440004,"1,233.00"
TEGADERM 2 X 3,41470905,5.35
TEGADERM 4X4 3/4,41470906,12.85
"TEGADERM, ALL SIZES",31770725,5.15
TELEHEALTH WOMEN,40850100,238.00
"TELFA, ALL SIZES",31770090,4.15
TEMPORARY PACEMAKER TO REGULATE HEART BEAT,31773195,429.00
TENDON TIBIALIS -1600,34303744,"5,203.25"
TEST FOR EXERCISE-INDUCED HEART AND LUNG STRESS,41390250,829.35
TEST FOR EXERCISE-INDUCED LUNG STRESS,41390025,285.45
"THERAPEUTIC ACTIVITIES TO IMPROVE FUNCTION, WITH ONE-ON-ONE CONTACT BETWEEN PATIENT AND PROVIDER, EACH 15 MINUTES",41210057,106.90
"THERAPEUTIC EXERCISE TO DEVELOP STRENGTH, ENDURANCE, RANGE OF MOTION, AND FLEXIBILITY, EACH 15 MINUTES",41210566,82.50
"THERAPEUTIC MASSAGE TO 1 OR MORE AREAS, EACH 15 MINUTES",41210250,86.15
"THERAPEUTIC PROCEDURE TO RE-EDUCATE BRAIN-TO-NERVE-TO-MUSCLE FUNCTION, EACH 15 MINUTES",41210301,116.15
THERAPEUTIC PROCEDURES IN A GROUP SETTING,41210253,35.00
"THERAPEUTIC PROCEDURES TO IMPROVE RESPIRATORY FUNCTION OR INCREASE STRENGTH OR ENDURANCE OF RESPIRATORY MUSCLES, TWO OR MORE INDIVIDUALS (INCLUDES MONITORING)",41390318,166.00
"THERAPEUTIC PROCEDURES TO IMPROVE RESPIRATORY FUNCTION, OTHER THAN DESCRIBED BY G0237, ONE ON ONE, FACE TO FACE, PER 15 MINUTES (INCLUDES MONITORING)",41390320,67.00
"THERAPEUTIC PROCEDURES TO INCREASE STRENGTH OR ENDURANCE OF RESPIRATORY MUSCLES, FACE TO FACE, ONE ON ONE, EACH 15 MINUTES (INCLUDES MONITORING)",41390317,78.00
THIGH OR KNEE PROCEDURE,31773430,270.30
TIP 5IN 5IN PLSVC FAN SPRY SFT CO,34302498,42.09
TIP CAUT NEED EZ CLN XTN 6IN,34302499,18.79
TIP MICRO ASPIRATION KELMAN,34300870,260.00
TIP RUMI II -450,34303668,"1,462.50"
TIP SCT KAMVAC MN 10IN CRV LF,34302505,113.82
TISSUE RETENTION SYS-DISPO,40791003,185.00
TOOL INS TRANSVALVULAR DISP,41470188,65.00
TRACHEOSTOMY SPEAKING VALVE,41330082,188.50
TRACHEOSTOMY TUBE,41330078,208.10
"TRAINING IN USE OF ORTHOTICS (SUPPORTS, BRACES, OR SPLINTS) FOR ARMS, LEGS AND/OR TRUNK, PER 15 MINUTES",41210108,87.00
TRANSDUCER DISPOPSABLE,41470530,56.55
TRANSFER MATTRESS HALF,40790409,244.00
TRANSFUSION OF BLOOD OR BLOOD PRODUCTS,41301815,781.30
"TRAUMA KIT, ARROW",31770228,90.35
TRAY CATHETER STRAIGHT ALL SIZES,31771008,80.85
TRAY CATHETER W/DRNG BAG ALL SIZE,31771010,118.40
TRAY CHEST TUBE SCV25CTBHB(DISP),31771266,199.75
TRAY LACERATION,31771600,27.85
"TRAY LUMBAR PUNCTURE, ALL SIZES",31770313,64.65
TRAY SPNL 17GA ESPCN WHTCR CMBN S,34302526,49.11
TRAY SUTURE REMOVAL,31770285,36.95
"TRAY, MINOR SURGERY",31770601,393.40
"TRAY, OPEN THORACOTOMY",31770604,468.20
"TRAY, VAG EXAM SET",31770061,34.25
TREATMENT OF BROKEN FOOT BONE,31773480,270.30
TREATMENT OF DISLOCATED ELBOW UNDER ANESTHESIA,31773278,"2,259.15"
TREATMENT OF ELBOW DISLOCATION,31773263,406.40
TREATMENT OF HIP DISLOCATION,31773405,270.30
"TREATMENT OF SPEECH, LANGUAGE, VOICE, COMMUNICATION, AND/OR HEARING PROCESSING DISORDER",41190147,220.50
TREATMENT OF SWALLOWING AND/OR ORAL FEEDING FUNCTION,41190807,374.65
TRY CATH FL INFECTIOUS CNTRL 16F,34302551,41.67
TRY CPT CIRC,34302561,33.31
TT ECHO 2D FOLLOW UP/LIMITED,41440003,469.00
TUBAL(POST-VAG DEL),40790554,646.00
TUBE EAR VENT-20,34300887,65.00
TUBE ENDOTRACHEAL LASER-SHIELD,34300891,380.25
TUBE ENDOTRACHEAL-45,34300895,147.55
TUBE ESPH NG BLAKEMORE DBL 20FR,34302571,645.52
TUBE GASTROSTOMY,34300899,59.83
TUBE JJNSTM 45CM 18FR SIL SLK POR,34302583,697.78
TUBE LEVIN ALL SIZES,31771014,92.15
TUBE NASOGASTRIC-2,34300902,19.50
TUBE NASOPHARYNGEAL,34300903,16.25
TUBE NJJ 60IN 12FR ETB PU ESCP PL,40752584,125.13
TUBE OVERTUBE ESPH GUARDUS DIS,34302588,406.25
"TUBE SALEM SUMP, ALL SIZES",31771183,95.10
TUBE SPLINITING-ENTEROSCOPIC,40480588,708.00
TUBE VENTILATION-40,34300909,130.00
TUBING COOLFLOW,41470099,279.50
TUBING IRRIGATION GRVTY FLOW SGL,40482462,11.31
TUBING IV PUMP,41470901,26.70
TUNNELER CATHETER - 100,34303678,325.00
TUNNELER VNS,34305118,"1,462.50"
ULNAR NERVE PROTECTOR,41479045,8.05
ULTRASOUND EVALUATION OF BLOOD VESSEL DURING DIAGNOSIS OR TREATMENT,41474031,"1,800.00"
ULTRASOUND EVALUATION OF HEART BLOOD VESSEL DURING DIAGNOSIS OR TREATMENT,41473016,749.05
ULTRASOUND EVALUATION OF HEART BLOOD VESSEL OR GRAFT,41470765,749.05
UNA BOOT,31770091,17.80
UNIVERSAL SLITTER 6228 SLT,41473962,103.50
VAGINAL DELIVERY,31772006,"3,254.05"
VAGINAL DELIVERY,40790501,"2,586.30"
VAGINAL DELIVERY STILLBIRTH,40790503,"2,229.55"
VALVE AORTIC 3 (2800),34303144,"16,240.25"
VALVE CARDIAC MITRAL-1,34300912,"14,513.07"
VALVE HEART AORTIC GRAFT STENT MA,34300914,"18,616.00"
VALVE HEART MITRAL PERIMOUNT CARP,34300918,"22,733.75"
VALVE SHUNT DELTA CSF,34300920,"2,730.00"
"VASCULAR GRAFT MATERIAL, SYNTHETIC, IMPLANT,GRAFT CV EXTR FLEX STD CUFF DYNAF",34300253,"5,151.25"
"VASCULAR GRAFT MATERIAL, SYNTHETIC, IMPLANT,GRAFT CV INTERING REVISION STRETC",34300268,"1,408.00"
"VASCULAR GRAFT MATERIAL, SYNTHETIC, IMPLANT,GRAFT CV THIN WALLED GORE 20CM",34300290,845.00
"VENA CAVA FILTER,FLTR VC FEM DLV SYS G2 KT",34301454,"3,720.63"
"VENTILATION ASSISTANCE AND MANAGEMENT, HOSPITAL INPATIENT OR OBSERVATION",41331675,"1,085.00"
VEST SURGICAL MAMMARY SUPPORT,34300922,276.25
VLV BACK FLOW ESCP SGL USE,34302601,9.75
"WALKING BOOT, NON-PNEUMATIC, WITH OR WITHOUT JOINTS, WITH OR WITHOUT INTERFACE MATERIAL, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE",31770069,193.00
"WALKING TRAINING TO 1 OR MORE AREAS, EACH 15 MINUTES",41210320,97.35
WFR OST 4X4IN STMHSV ADH WTPRF NS,40752616,4.65
WIRE IO-FLEX,34303485,305.50
WIRE PCNG WHT 61CM MYOWR 2-0 ATR,40752620,58.24
"WRIST HAND ORTHOSIS, WRIST EXTENSION CONTROL COCK-UP, NON MOLDED, PREFABRICATED, OFF-THE-SHELF",31770230,16.35
X-RAY OF LOWER SPINAL CANAL WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310726,"1,314.00"
X-RAY OF UPPER SPINAL CANAL WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310724,"1,314.00"
