SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
28665-TREAT TOE DISL,4604522,"$2,227.50",28665,28665,28665,28665
28810-AMPUTATION TOE,4604193,"$3,096.50",28810,28810,28810,28810
28820-AMPUTATION OF,4604194,"$3,096.50",28820,28820,28820,28820
28MM 3 HEAD,4000501,"$3,089.80",C1776,C1776,C1776,C1776
29055 APPL CAST SHOU,4610031,$334.00,29055,29055,29055,29055
29065 APP CAST L ARM,4610032,$359.10,29065,29065,29065,29065
29065-APPLIC.OF LONG,4604195,$344.30,29065,29065,29065,29065
29075 APP CAST S ARM,4610034,$359.10,29075,29075,29075,29075
29075-APPLICATION OF,4604196,$344.30,29075,29075,29075,29075
29085 APP CAST GAUNT,4610035,$168.00,29085,29085,29085,29085
29085-APPLY HAND/WRI,4604197,$225.50,29085,29085,29085,29085
29086 APPL CAST FING,4610036,$120.00,29086,29086,29086,29086
29086-APPLY FINGER C,4604550,$168.30,29086,29086,29086,29086
29105 APP L ARM SPLT,4610069,$204.00,29105,29105,29105,29105
29105-APPLY LONG ARM,4604198,$168.30,29105,29105,29105,29105
29125 APPL FOREARM S,4610018,$108.00,29125,29125,29125,29125
29125-APPLY FOREARM,4604199,$168.30,29125,29125,29125,29125
29126 APP S ARM SPLT,4610087,$185.00,29126,29126,29126,29126
29126-APPLY FOREARM,4604200,$168.30,29126,29126,29126,29126
29130 APP FIN SPLINT,4610037,$157.76,29130,29130,29130,29130
29130-APPLIC. OF FIN,4604201,$168.30,29130,29130,29130,29130
29131-APPLIC. OF FIN,4604202,$168.30,29131,29131,29131,29131
29200-STRAPPING OF C,4604203,$168.30,29200,29200,29200,29200
29220-STRAPPING OF L,4604370,$168.30,29220,29220,29220,29220
29240 STRAP SHOULDER,4610081,$158.00,29240,29240,29240,29240
29240-STRAPPING OF S,4604204,$168.30,29240,29240,29240,29240
29260 STRAP ELB/WRST,4610083,$168.00,29260,29260,29260,29260
29260-STRAPPING OF E,4604205,$168.30,29260,29260,29260,29260
29280 STRAP HAND/FGR,4610052,$91.00,29280,29280,29280,29280
29280-STRAPPING OF H,4604206,$168.30,29280,29280,29280,29280
29305-APPLICATION OF,4604468,$344.30,29305,29305,29305,29305
29345-APPLIC. OF LON,4604207,$344.30,29345,29345,29345,29345
29358--APPLY LONG LE,4604394,$344.30,29358,29358,29358,29358
29405-APPLY SHORT LE,4604208,$344.30,29405,29405,29405,29405
29425-APPLY SHORT LE,4604209,$344.30,29425,29425,29425,29425
29445-APPLY RIGID LE,4604210,$344.30,29445,29445,29445,29445
29450-APPLICATION OF,4604551,$168.30,29450,29450,29450,29450
29505 APPL LL SPINT,4610100,$111.00,29505,29505,29505,29505
29505 APPL LL SPLINT,4610089,$179.30,29505,29505,29505,29505
"29505-APPLIC., LONG",4604211,$168.30,29505,29505,29505,29505
29515 APP S LEG SPLT,4610038,$127.00,29515,29515,29515,29515
29515-APPLIC. LOWER,4604212,$191.40,29515,29515,29515,29515
29530 STRAPPING KNEE,4610098,$111.00,29530,29530,29530,29530
29530-STRAPPING OF K,4604213,$200.20,29530,29530,29530,29530
29540 STRAP ANK/FOOT,4610053,$169.00,29540,29540,29540,29540
29540-STRAPPING OF A,4604214,$168.30,29540,29540,29540,29540
29550-STRAPPING OF T,4604215,$207.90,29550,29550,29550,29550
29580-STRAPPING UNNA,4604381,$168.30,29580,29580,29580,29580
29705-REMOVAL/REVISI,4604216,$168.30,29705,29705,29705,29705
29799-CASTING/STRAPP,4604217,$168.30,29799,29799,29799,29799
29826-SHOULDER ARTHR,4604218,"$6,865.10",29826,29826,29826,29826
2ND FLOOR OBS,3301075,$130.00,G0378,G0378,G0378,G0378
3.2 GUIDEWIRE,4000129,$375.75,,,,
3.4 CORT SCREW 26MM,4000260,$107.00,C1713,C1713,C1713,C1713
3.5 CORT SCRE 40MM,4000261,$105.00,C1713,C1713,C1713,C1713
3.5 CORT SCRE 50MM,4000262,$142.80,C1713,C1713,C1713,C1713
3.5 CORTEX SCREW,4002127,$74.20,C1713,C1713,C1713,C1713
3.5 CORTEX SLF-TPNG,4000140,$105.00,C1713,C1713,C1713,C1713
3.5 CORTEX SLF-TPNG,4000142,$107.00,C1713,C1713,C1713,C1713
3.5 CORTICAL SCREW,4000121,$105.00,C1713,C1713,C1713,C1713
3.5 CORTICAL SCREW,4000259,$119.70,C1713,C1713,C1713,C1713
3.5 LOCKI SCREW 10MM,4000252,$484.40,C1713,C1713,C1713,C1713
3.5 NONLCKG SCW 24MM,4001154,$241.50,C1713,C1713,C1713,C1713
3.5 SCREW 20MM,4000263,$130.20,C1713,C1713,C1713,C1713
3.5 X 10 L,4005111,$466.20,C1713,C1713,C1713,C1713
3.5 X 12L SCREW,4000432,$466.20,C1713,C1713,C1713,C1713
3.5 X 14 NL,4005114,$365.40,C1713,C1713,C1713,C1713
3.5 X 14L SCREW,4000433,$466.20,C1713,C1713,C1713,C1713
3.5 X 14NL,4000176,$399.00,C1713,C1713,C1713,C1713
3.5 X 15 L COL 3180,4005105,$466.20,C1713,C1713,C1713,C1713
3.5 X 16 L COL 3160,4005104,$466.20,C1713,C1713,C1713,C1713
3.5 X 16 NL,4005110,$466.20,C1713,C1713,C1713,C1713
3.5CORTEX SCREW 40MM,4002128,$74.20,C1713,C1713,C1713,C1713
3.5MM BIO PUSHLOCK,4000822,"$1,190.00",C1713,C1713,C1713,C1713
3.5MM LOC SCRE 40MM,4000257,$422.10,C1713,C1713,C1713,C1713
3.5MM LOCK SCR 32MM,4000255,$490.00,C1713,C1713,C1713,C1713
3.5MM LOCK SCR 34MM,4000256,$422.10,C1713,C1713,C1713,C1713
3.5MM LOCK SCR 60MM,4000253,$484.40,C1713,C1713,C1713,C1713
3.5MM LOCK SCRE 30MM,4000254,$422.10,C1713,C1713,C1713,C1713
3.5X10L,4000170,$466.20,C1713,C1713,C1713,C1713
3.5X16NL,4000171,$480.20,C1713,C1713,C1713,C1713
30000-DRAINAGE OF NO,4604537,$323.40,30000,30000,30000,30000
30300-FB REM NOSE,4610110,$56.00,30300,30300,30300,30300
30300-REMOVE NASAL F,4604219,$95.70,30300,30300,30300,30300
30901 CONTROL NASAL,4610055,$165.00,30901,30901,30901,30901
30901-CONTROL OF NOS,4604220,$190.30,30901,30901,30901,30901
30903 NASAL PK COMPL,4610108,$165.00,30903,30903,30903,30903
30903-CONTROL OF NOS,4604470,$283.80,30903,30903,30903,30903
30905-CONTROL OF NOS,4604221,$353.10,30905,30905,30905,30905
30906-REPEAT CONTROL,4604409,$190.30,30906,30906,30906,30906
30999-NASAL SURGERY,4604222,$323.40,30999,30999,30999,30999
31238-NASAL/SINUS EN,4604471,"$2,401.30",31238,31238,31238,31238
31500 ENDOTRACH INTU,4610073,$314.00,31500,31500,31500,31500
31502-CHANGE OF WIND,4604224,$347.60,31502,31502,31502,31502
31525-DIAGNOSTIC LAR,4604225,"$2,401.30",31525,31525,31525,31525
31530-OPERATIVE LARY,4604226,"$3,296.70",31530,31530,31530,31530
31575-DIAGNOSTIC LAR,4604399,$224.40,31575,31575,31575,31575
31603-INCISION OF WI,4604227,"$1,258.40",31603,31603,31603,31603
31622-DX BRONCHOSCOP,4604228,"$1,459.70",31622,31622,31622,31622
31645-BRONCHOSCOPY C,4604554,"$1,459.70",31645,31645,31645,31645
31720-CATHETER ASPIR,4604377,$124.30,31720,31720,31720,31720
31899-AIRWAYS SURGIC,4604229,"$1,459.70",31899,31899,31899,31899
32000-DRAINAGE OF CH,4604230,$499.40,32000,32000,32000,32000
32020-INSERTION OF C,4604231,$499.40,32020,32020,32020,32020
"32405-BIOPSY, LUNG O",4604232,$932.80,32405,32405,32405,32405
32999-CHEST SURGERY,4604233,$499.40,32999,32999,32999,32999
33010-DRAINAGE OF HE,4604534,$499.40,33010,33010,33010,33010
33210-INSERTION OF H,4604395,"$8,686.70",33210,33210,33210,33210
33999-CARDIAC SURGER,4604402,$499.40,33999,33999,33999,33999
35201-REPAIR BLOOD V,4604482,"$3,620.10",35201,35201,35201,35201
35206-REPAIR BLOOD V,4604234,"$3,619.00",35206,35206,35206,35206
35207-REPAIR BLOOD V,4604235,"$5,670.50",35207,35207,35207,35207
35226-REPAIR BLOOD V,4604460,"$3,620.10",35226,35226,35226,35226
35860-EXPLORE LIMB V,4604411,"$3,620.10",35860,35860,35860,35860
36556-INS NON TUN CV,4610127,$950.34,36556,36556,36556,36556
36556-INSERT NON-TUN,4604566,"$1,278.20",36556,36556,36556,36556
36569 CENTRAL LINE,4610054,"$1,551.32",36569,36569,36569,36569
36569-INSERT PIC WO,4604568,"$1,278.20",36569,36569,36569,36569
36575-REPAIR TUNNELE,4604574,"$1,278.20",36575,36575,36575,36575
36580-RPLMNT CNTL LN,4610126,$950.34,36580,36580,36580,36580
36584-REPLACE PIC WO,4604570,"$1,278.20",36584,36584,36584,36584
36589-REMOVE TUNNELE,4604567,"$1,278.20",36589,36589,36589,36589
36MM S/S SCREW,4000272,$91.00,C1713,C1713,C1713,C1713
37201-TRANSCATHETER,4604397,$353.10,37201,37201,37201,37201
37565-LIGATION OF NE,4604245,"$3,620.10",37565,37565,37565,37565
37799-VASCULAR SURGE,4604246,"$2,336.40",37799,37799,37799,37799
38MM S/S SCREW,4000273,$91.00,C1713,C1713,C1713,C1713
3MM 60',4000184,$612.50,,C1713,,
3MM 90  ABLATES,4002364,$61.90,D6199,D6199,D6199,D6199
4 HOLE 135 DHS SDPL,4000211,"$2,346.75",C1713,C1713,C1713,C1713
4 HOLE DIST FIB PLTE,4001156,"$4,896.50",C1713,C1713,C1713,C1713
4 HOLE DISTAL PLATE,4005837,"$5,997.60",C1713,C1713,C1713,C1713
4 HOLE PLATE,4001160,"$3,285.45",C1713,C1713,C1713,C1713
4.0 CANCELLOUS SCREW,4000437,$119.00,C1713,C1713,C1713,C1713
4.0 CANCELLOUS SCREW,4000146,$119.00,C1713,C1713,C1713,C1713
4.0 CANCELLOUS SCREW,4000147,$88.20,C1713,C1713,C1713,C1713
4.0 CANN SCREW 20MM,4000264,$86.80,C1713,C1713,C1713,C1713
4.2 BONE CUTTER,4002617,$26.15,D6199,D6199,D6199,D6199
4.5 COR SCR SELF TAP,4000112,$104.00,C1713,C1713,C1713,C1713
4.5 COR SCREW 34MM,4000215,$104.00,C1713,C1713,C1713,C1713
4.5 COR SCREW TAP,4000110,$70.00,C1713,C1713,C1713,C1713
4.5 CORT SCREW 38MM,4000217,$104.00,C1713,C1713,C1713,C1713
4.5 CORT SCREWS,4000497,$126.00,C1713,C1713,C1713,C1713
4.5 CORTEX SCREW 36M,4000216,$104.00,C1713,C1713,C1713,C1713
4.5 CORTICAL SCREWS,4000498,$95.20,C1713,C1713,C1713,C1713
4.75 SWIVELLOCK,4002052,"$1,680.00",C1713,C1713,C1713,C1713
40650-REPAIR LIP,4604248,"$1,258.40",40650,40650,40650,40650
40652-REPAIR LIP,4604442,"$1,258.40",40652,40652,40652,40652
40654-REPAIR LIP,4604249,"$1,258.40",40654,40654,40654,40654
40800-DRAINAGE OF MO,4604250,$323.40,40800,40800,40800,40800
40804 REM FB MOUTH,4610084,$97.00,40804,40804,40804,40804
"40804-REMOVAL FB,MOU",4604251,$95.70,40804,40804,40804,40804
40830-REPAIR MOUTH L,4604516,$323.40,40830,40830,40830,40830
40831 REPAIR MOUTH L,4604446,"$1,258.40",40831,40831,40831,40831
41008-DRAINAGE OF MO,4604519,"$2,495.90",41008,41008,41008,41008
41250 LAC RP TONGUE,4610116,$230.85,41250,41250,41250,41250
41250-REPAIR TONGUE,4604252,$323.40,41250,41250,41250,41250
41252-REPAIR TONGUE,4604253,"$1,258.40",41252,41252,41252,41252
41599-TONGUE AND MOU,4604254,$323.40,41599,41599,41599,41599
41800-DRAINAGE OF GU,4604255,$323.40,41800,41800,41800,41800
41899-DENTAL SURGERY,4604256,$323.40,41899,41899,41899,41899
42182-REPAIR PALATE,4604353,"$5,745.30",42182,42182,42182,42182
42299-PALATE/UVULA S,4604485,$323.40,42299,42299,42299,42299
42300-DRAINAGE OF SA,4604549,"$2,495.90",42300,42300,42300,42300
42310-DRAINAGE OF SA,4604257,$323.40,42310,42310,42310,42310
42700-I & D ABSCESS,4604374,$323.40,42700,42700,42700,42700
"42809-REMOVE FB,PHNX",4604258,$95.70,42809,42809,42809,42809
42960-CONTROL THROAT,4604501,$190.30,42960,42960,42960,42960
42999-THROAT SURGERY,4604259,$323.40,42999,42999,42999,42999
42MM S/S SCREW,4000274,$91.00,C1713,C1713,C1713,C1713
43239-UPPER GI ENDOS,4604260,"$1,252.90",43239,43239,43239,43239
43246-PLACE GASTROST,4604261,"$1,252.90",43246,43246,43246,43246
43247-EGD UPPER R/FB,4604262,"$1,252.90",43247,43247,43247,43247
43249-ESOPH ENDOSCOP,4604263,"$1,252.90",43249,43249,43249,43249
43250-UPPER GI ENDOS,4604264,"$1,252.90",43250,43250,43250,43250
43450-DILATE ESOPHAG,4604511,$822.80,43450,43450,43450,43450
43499-ESOPHAGUS SURG,4604265,"$1,252.90",43499,43499,43499,43499
43750-PLACE GASTROST,4604266,"$1,252.90",43750,43750,43750,43750
43760 CHANGE G TUBE,4610056,$322.62,43760,43760,43760,43760
43760-CHANGE GASTROS,4604362,$347.60,43760,43760,43760,43760
"43761-REPOSITION,GT",4604267,"$1,073.60",43761,43761,43761,43761
43870-REPAIR STOMACH,4604268,"$1,252.90",43870,43870,43870,43870
43999-STOMACH SURGER,4604269,"$1,252.90",43999,43999,43999,43999
44799-INTESTINE SURG,4604271,"$1,406.90",44799,44799,44799,44799
44MM S/S SCREW,4000275,$91.00,C1713,C1713,C1713,C1713
45005-I&D RECTAL AB,4604272,"$2,477.20",45005,45005,45005,45005
45330-DIAGNOSTIC SIG,4604273,$731.50,45330,45330,45330,45330
45337-SIGMOIDOSCOPY,4604274,$731.50,45337,45337,45337,45337
45378-DIAGNOSTIC COL,4604536,"$1,328.80",45378,45378,45378,45378
45900 REDUC RECT PRO,4610103,$530.00,45900,45900,45900,45900
45999-RECTUM SURGERY,4604275,$544.50,45999,45999,45999,45999
46040 I&D PERIRECTAL,4610070,"$3,415.00",46040,46040,46040,46040
"46040-I&D,P/RECTAL A",4604276,"$2,808.30",46040,46040,46040,46040
46050-I&D P/ANAL AB,4604277,$544.50,46050,46050,46050,46050
46083-INCISE EXT.HEM,4604278,$544.50,46083,46083,46083,46083
46230-REMOVAL OF ANA,4604525,"$2,808.30",46230,46230,46230,46230
46270-REMOVAL OF ANA,4604425,"$3,707.00",46270,46270,46270,46270
46320-EXCISION OF EX,4604365,$544.50,46320,46320,46320,46320
46600 DIAGNOSTIC ANO,4604443,$95.70,46600,46600,46600,46600
46608-ANOSCOPY/REMOV,4604508,"$1,236.40",46608,46608,46608,46608
46999-ANUS SURGERY P,4604280,$544.50,46999,46999,46999,46999
46MM S/S SCREW,4000276,$91.00,C1713,C1713,C1713,C1713
"49080-PUNCTURE, PERI",4604282,$499.40,49080,49080,49080,49080
49587-REPAIR UMBILIC,4604283,"$4,448.40",49587,49587,49587,49587
49999-ABDOMEN SURGER,4604284,"$3,492.50",49999,49999,49999,49999
5 HOLE DHS PLATE,4002089,"$1,524.60",C1713,C1713,C1713,C1713
5 HOLE INTRA ART PLT,4002067,"$2,347.80",C1713,C1713,C1713,C1713
5.0 LOCK SCREW 46MM,4000128,$740.25,C1713,C1713,C1713,C1713
5.5MM BIO CORKSCREW,4000823,"$1,297.80",C1713,C1713,C1713,C1713
5.5MM CORTICAL SCREW,4002055,$443.80,C1713,C1713,C1713,C1713
5.5MM THRE BIO CORKS,4000312,"$1,098.00",C1713,C1713,C1713,C1713
50398-CHANGE KIDNEY,4604564,"$1,074.70",50398,50398,50398,50398
51010-DRAINAGE OF BL,4604392,"$2,567.40",51010,51010,51010,51010
51045-INCISE BLADDER,4604285,"$1,078.00",51045,51045,51045,51045
51700-IRRIGATION OF,4604287,$180.40,51700,51700,51700,51700
51701-INSERT NON-DWE,4604530,$95.70,51701,51701,51701,51701
51702-INSERT TEM DWE,4604531,$115.50,51702,51702,51702,51702
51703-INSERT BLAD CA,4604532,$180.40,51703,51703,51703,51703
51705-CHANGE OF BLAD,4604403,$347.60,51705,51705,51705,51705
52005-CYSTOSCOPY & U,4604288,"$2,885.30",52005,52005,52005,52005
52310-CYSTOSCOPY AND,4604393,"$1,078.00",52310,52310,52310,52310
52330-CYSTOSCOPY AND,4604494,"$3,624.50",52330,52330,52330,52330
52332-CYSTOSCOPY & T,4604289,"$3,624.50",52332,52332,52332,52332
52352-CYSTOURETER W/,4604495,"$3,624.50",52352,52352,52352,52352
52MM S/S SCREW,4000277,$91.00,C1713,C1713,C1713,C1713
53620-DILATE URETHA,4604290,"$2,567.40",53620,53620,53620,53620
53621-DILATE URETHRA,4604579,$180.40,53621,53621,53621,53621
53899-UROLOGY SURGER,4604293,$180.40,53899,53899,53899,53899
54001-SLITTING OF PR,4604294,"$2,758.80",54001,54001,54001,54001
54220-TREATMENT PENI,4604378,$405.90,54220,54220,54220,54220
54235 - INJECT CORPO,4607076,$212.34,54235,54235,54235,54235
54235-PENILE INJECTI,4604552,$180.40,54235,54235,54235,54235
54450-PERPUTIAL STRE,4604580,$405.90,54450,54450,54450,54450
54700-DRAINAGE OF SC,4604295,"$3,625.60",54700,54700,54700,54700
55100 DRAIN SCRT ABS,4610107,"$1,024.00",55100,55100,55100,55100
55100-DRAINAGE OF SC,4604296,"$2,530.00",55100,55100,55100,55100
55120-REMOVAL OF SCR,4604297,"$3,625.60",55120,55120,55120,55120
55899-GENITAL SURGER,4604298,$180.40,55899,55899,55899,55899
56405 I&D VULVA,4610071,$227.00,56405,56405,56405,56405
56405-I&D OF VULVA/P,4604299,$369.60,56405,56405,56405,56405
56420 I&D BART GLAND,4610095,$135.00,56420,56420,56420,56420
56420-DRAINAGE OF GL,4604300,$369.60,56420,56420,56420,56420
56420-DRN GLAND ABSC,4610113,$129.00,56420,56420,56420,56420
"56501-DESTRUCTION, V",4604441,"$2,794.00",56501,56501,56501,56501
56605-BX VULVA/PERIN,4604371,$644.60,56605,56605,56605,56605
57160-INSERT PESSARY,4604573,$195.80,57160,57160,57160,57160
57180-TREAT VAGINAL,4604515,$369.60,57180,57180,57180,57180
57210-REPAIR VAGINA/,4604475,"$3,207.60",57210,57210,57210,57210
57500-BIOPSY OF CERV,4604301,$645.70,57500,57500,57500,57500
57505-ENDOCERVICAL C,4604545,$369.60,57505,57505,57505,57505
57510-CAUTERIZATION,4604302,"$2,273.70",57510,57510,57510,57510
57720-REVISION OF CE,4604476,"$3,207.60",57720,57720,57720,57720
58100-BIOPSY OF UTER,4604577,$195.80,58100,58100,58100,58100
58301-REMOVE IUD,4610121,$124.83,58301,58301,58301,58301
58999-GENITAL SURGER,4604304,$26.40,58999,58999,58999,58999
59409-OBSTETRICAL CA,4604305,"$3,207.60",59409,59409,59409,59409
59414-DELIVER PLACEN,4604466,"$2,273.70",59414,59414,59414,59414
59812-TREATMENT OF M,4604306,"$2,713.70",59812,59812,59812,59812
"5-HIAA, QUAN., 24 HR",4308019,$112.35,83497,83497,83497,83497
5'-NUCLEOTIDASE,4308017,$102.00,83915,83915,83915,83915
6 HOLE LOCKING PLATE,4001167,"$1,741.60",C1713,C1713,C1713,C1713
62270 SPINAL TAP DX,4610096,$545.48,62270,62270,62270,62270
62272 SPINAL TAP TP,4610086,$545.48,62272,62272,62272,62272
62272-SPINAL TAP DX,4604417,$382.25,62272,62272,62272,62272
62273-TREAT EPIDURAL,4604311,$838.20,62273,62273,62273,62273
62311-INJECT SPINE L,4604496,$933.90,62311,62311,62311,62311
64402-INJECTION FOR,4604524,$352.00,64402,64402,64402,64402
64405-INJECTION FOR,4604312,$352.00,64405,64405,64405,64405
64421-INJECTION FOR,4604313,$838.20,64421,64421,64421,64421
64450 INJECTION FOR,4604438,$352.00,64450,64450,64450,64450
64831-REPAIR OF DIGI,4604314,"$4,822.40",64831,64831,64831,64831
64999-NERVOUS SYSTEM,4604315,$352.00,64999,64999,64999,64999
65205 REM FB EYE,4610019,$110.00,65205,65205,65205,65205
65205-REMOVE FOREIGN,4604316,$192.50,65205,65205,65205,65205
65210-REMOVE FOREIGN,4604317,$192.50,65210,65210,65210,65210
65220 REM FB EYE,4610057,$107.00,65220,65220,65220,65220
65220-REMOVE FOREIGN,4604318,$192.50,65220,65220,65220,65220
65222-REMOVE FOREIGN,4604319,$192.50,65222,65222,65222,65222
65235-REMOVE FOREIGN,4604320,"$2,277.00",65235,65235,65235,65235
65270-REPAIR OF EYE,4604321,"$2,798.40",65270,65270,65270,65270
66250-FOLLOW UP SURG,4604396,"$2,277.00",66250,66250,66250,66250
66999-EYE SURGERY PR,4604322,"$1,074.70",66999,66999,66999,66999
67560-REVISE EYE SOC,4604323,"$3,598.10",67560,67560,67560,67560
67599-ORBIT SURGERY,4604324,$403.70,67599,67599,67599,67599
67700 DRN EYELID ABS,4610093,$302.00,67700,67700,67700,67700
67700 DRN EYELID ABS,4605183,$189.42,67700,67700,67700,67700
67700-DRAINAGE OF EY,4604325,$403.70,67700,67700,67700,67700
67820-REVISE EYELASH,4604499,$192.50,67820,67820,67820,67820
67930-REPAIR EYELID,4604326,"$2,798.40",67930,67930,67930,67930
67935-REPAIR EYELID,4604327,"$2,798.40",67935,67935,67935,67935
67938 REM FB EYELID,4610082,$638.00,67938,67938,67938,67938
67938-REMOVE EYELID,4604328,$192.50,67938,67938,67938,67938
68530-CLEARANCE OF T,4604329,$28.00,68530,68530,68530,68530
69000-DRAIN EXTERNAL,4604330,$234.30,69000,69000,69000,69000
69000-I&D EAR,4610104,$150.00,69000,69000,69000,69000
69020-DRAIN OUTER EA,4604331,$234.30,69020,69020,69020,69020
69200 REM FB EAR,4610039,$139.00,69200,69200,69200,69200
69200-CLEAR OUTER EA,4604332,$167.20,69200,69200,69200,69200
69205-CLEAR OUTER EA,4604333,"$3,039.30",69205,69205,69205,69205
69210 REM IMP CERUME,4610040,$84.00,69210,69210,69210,69210
69210-REMOVE IMPACTE,4604334,$154.00,69210,69210,69210,69210
69399-OUTER EAR SURG,4604335,$323.40,69399,69399,69399,69399
69424-REMOVE VENTILA,4604502,"$1,258.40",69424,69424,69424,69424
69949-INNER EAR SURG,4604336,$323.40,69949,69949,69949,69949
7 HOLE PLATE,4000120,$278.78,C1713,C1713,C1713,C1713
7 HOLE PLATE,4000144,$684.60,C1713,C1713,C1713,C1713
8 HOLE 2M PLATE,4000150,$292.95,C1713,C1713,C1713,C1713
8 HOLE PLATE LCP,4002027,"$1,250.20",C1713,C1713,C1713,C1713
85MM VHS LAG SCREW,4000268,$945.00,C1713,C1713,C1713,C1713
"90371-HEP B IG, IM",4604464,$325.60,SURG,SURG,SURG,SURG
90384-RHOGAM FULL DO,4604423,$.00,SURG,SURG,SURG,SURG
"90385-RH IG, MINIDOS",4604343,$.00,SURG,SURG,SURG,SURG
"90389-TETANUS IG, IM",4604414,$60.50,SURG,SURG,SURG,SURG
90658-INFLUENZA VIRU,4604526,$33.00,SURG,SURG,SURG,SURG
90675-RABIES VACCINE,4604450,$404.80,SURG,SURG,SURG,SURG
90701-DTP VACCINE IM,4604426,$60.50,MANUL,MANUL,MANUL,MANUL
"90702-DT VACCINE, IM",4604431,$60.50,MANUL,MANUL,MANUL,MANUL
90703 TETANUS VACCIN,4604408,$60.50,90703,90703,90703,90703
"90704-MUMPS VACCINE,",4604413,$60.50,SURG,SURG,SURG,SURG
90706-RUBELLA VACCIN,4604514,$60.50,SURG,SURG,SURG,SURG
90716-CHICKEN POX VA,4604489,$184.80,SURG,SURG,SURG,SURG
"90718 TD VACCINE,IM",4604415,$60.50,SURG,SURG,SURG,SURG
90719-DIPTHERIA VACC,4604484,$60.50,SURG,SURG,SURG,SURG
90720-DTP & HIB VACC,4604437,$60.50,SURG,SURG,SURG,SURG
90732-PNEUMOCOCCAL V,4604473,$.00,SURG,SURG,SURG,SURG
90746-HEP B VACCINE,4604463,$325.60,SURG,SURG,SURG,SURG
90773 INJ. INTRA ART,4604410,$124.30,SURG,SURG,SURG,SURG
90779-THER/PROPHYLAC,4604457,$20.90,SURG,SURG,SURG,SURG
"90945-DIALYSIS, ONE",4604497,$922.90,90945,90945,90945,90945
91105-GASTRIC INTUBA,4604348,$221.10,91105,91105,91105,91105
92950 CPR,4610008,$405.00,92950,92950,92950,92950
92953-TEMPORARY EXTE,4604350,$381.70,92953,92953,92953,92953
92960 CARDIOVERSION,4600002,$868.00,92960,92960,92960,92960
92960 CARDIOVERSION,4610131,$746.46,92960,92960,92960,92960
92960-CARDIOVERSION,4604351,$853.60,92960,92960,92960,92960
92977-THROMBOLYSIS C,4604372,$353.10,92977,92977,92977,92977
93799-CARDIOVASCULAR,4604359,$248.60,93799,93799,93799,93799
94656-INITIAL VENTIL,4604360,$400.40,94656,94656,94656,94656
94660-POS AIRWAY PRE,4604533,$193.60,94660,94660,94660,94660
94760-PULSE OXIMETRY,4604520,$42.90,94760,94760,94760,94760
94761-PULSE OXIMETRY,4604521,$101.20,94761,94761,94761,94761
97602-WOUND CARE NON,4604404,$95.70,97602,97602,97602,97602
99143-MOD.SED.<5 30M,4610122,$363.25,99143,99143,99143,99143
99144 MOD SED > 5Y,4610091,$361.00,99144,99144,99144,99144
99145 MOD SED ADD ON,4610092,$155.00,99145,99145,99145,99145
99151-MOD.SED: 1-22M,4604583,$188.00,99151,99151,99151,99151
99152-MOD.SED: 1-22M,4604584,$366.00,99152,99152,99152,99152
99153-MOD.SED ADD 15,4604585,$166.00,99153,99153,99153,99153
99281 PHY LEVEL 1,4610001,$227.00,99281,99281,99281,99281
99282 PHY LEVEL 2,4610002,$340.00,99282,99282,99282,99282
99283 PHY LEVEL 3,4610003,$453.00,99283,99283,99283,99283
99284 PHY LEVEL 4,4610004,$510.00,99284,99284,99284,99284
99285 PHY LEVEL 5,4610005,$567.00,99285,99285,99285,99285
99291 CRITICAL CARE,4610007,$850.00,99291,99291,99291,99291
99292 CC ADDL 30MIN,4610010,$227.00,99292,99292,99292,99292
