Description ,  Charge $   , Department 
FATTY ACIDS ESSENTIAL,$187 ,Laboratory
FATTY ACID PEROXISOMAL C22-C26,$449 ,Laboratory
FERRITIN,$77 ,Laboratory
FETAL FIBRONECTION,$834 ,Laboratory
FOLIC ACID,$83 ,Laboratory
"FOLATE, RBC",$97 ,Laboratory
"FRUCTOSE, SEMEN",$223 ,Laboratory
GAMMAGLOBULIN IgG,$82 ,Laboratory
GAMMAGLOBULIN E (IgE),$93 ,Laboratory
"GASES, BLOOD, PH ONLY",$102 ,Laboratory
BLOOD GASES,$396 ,Laboratory
GASTRIN LEVEL,$99 ,Laboratory
GLUCAGON,$84 ,Laboratory
GLUCOSE,$44 ,Laboratory
FINGERSTICK GLUCOSE,$21 ,Laboratory
POST GLUCOSE DOSE,$70 ,Laboratory
GLUCOSE TOLERANCE 3 SPEC,$75 ,Laboratory
"TOLERANCE TEST,EACH ADDITI > 3",$70 ,Laboratory
GLUCOSE - G6PD; QUANTITATIVE,$91 ,Laboratory
"GGT-GLUTAMYTRANSFERASE, GAMMA",$24 ,Laboratory
FRUCTOSAMINE,$81 ,Laboratory
FSH - FOLLICLE STIMULATING,$104 ,Laboratory
LH - LUTENIZING HOROME,$77 ,Laboratory
HUMAN GROWTH HORMONE,$124 ,Laboratory
HAPTOGLOBIN,$165 ,Laboratory
HELICOBACTR PYLORI UREA BREATH,$379 ,Laboratory
HELICOBACTR PYLORI UREA MEDS,$44 ,Laboratory
UR HEAVY METAL SCREEN,$450 ,Laboratory
HEAVY METAL SCREEN QUANT,$63 ,Laboratory
HEMOGLOBIN ELECTROPHORESI,$81 ,Laboratory
"CHROMATGRAPHY (eg,A2,S,C,F)",$101 ,Laboratory
HEMOGLOBIN F FETAL CHEMICAL,$54 ,Laboratory
GLYCOSYLATED (A1C),$39 ,Laboratory
HEMOGLOBIN PLASMA,$56 ,Laboratory
HEMOSIDERIN-URINE,$104 ,Laboratory
"b-HEXOSAMINIDASE, EACH ASSAY",$398 ,Laboratory
HISTAMINE,$90 ,Laboratory
HOMOCYSTEINE,$143 ,Laboratory
HOMOVANILLIC ACID RANDOM UA,$206 ,Laboratory
"INSULIN, FREE",$132 ,Laboratory
HYDROXYCORTICOSTEROID,$141 ,Laboratory
5-(HIAA) HYDROXYINDOLACETIC AC,$72 ,Laboratory
17 HYDROXYPROGESTERONE,$190 ,Laboratory
IMMUNOASSEY-NON INFECTIOUS,$71 ,Laboratory
"IMMUNOSSAY,ANALYTE,QUAN",$244 ,Laboratory
LIP A IMMUNOLOGY,$92 ,Laboratory
INSULIN TOTAL,$157 ,Laboratory
FREE INSULIN,$131 ,Laboratory
IRON STAIN,$53 ,Laboratory
IRON,$36 ,Laboratory
IRON BINDING CAPACITY,$49 ,Laboratory
KETOSTSEROIDS 17,$79 ,Laboratory
LACTIC ACID,$112 ,Laboratory
LD LDH,$34 ,Laboratory
LDH ISOENZYME PANEL,$175 ,Laboratory
"LACTOFERRIN, QUAL STOOL",$110 ,Laboratory
LEAD,$68 ,Laboratory
LIPASE,$113 ,Laboratory
LIPOPROTEIN (A),$99 ,Laboratory
LP PLA2 ACTIVITY,$45 ,Laboratory
TOTAL LDL-C DIRECT,$44 ,Laboratory
LIPOPROFILE,$78 ,Laboratory
LIPOPROTEIN PHENOTYPE,$77 ,Laboratory
LIPOPROTEIN FRACT,$93 ,Laboratory
HDL LIPO CHOLESTEROL HIGH DENS,$46 ,Laboratory
LDL,$54 ,Laboratory
MAGNESIUM,$67 ,Laboratory
MANGANESE,$60 ,Laboratory
NEWBORN SCREENING DONE,$214 ,Laboratory
MERCURY,$91 ,Laboratory
METANEPHRINES,$204 ,Laboratory
"MUCOPOLYSACCHARDIES, ACID",$131 ,Laboratory
MUCINCLOT,$31 ,Laboratory
MYELIN BASIC PROTEIN,$121 ,Laboratory
MYOGLOBIN URIN,$116 ,Laboratory
BRAIN NATRIURETIC PEPTIDE,$191 ,Laboratory
NICKEL,$135 ,Laboratory
NUCLEAR MOLE DIAG,$407 ,Laboratory
ISOLATION OF NUCLEIC ACID,$125 ,Laboratory
DOT SLOT BLOT PRODUCTION,$74 ,Laboratory
NUCLEIC ACID PROBE EACH,$58 ,Laboratory
NUCLEIC ACID TRANSFER,$77 ,Laboratory
AMPLI NUCLEIC ACID MULTIPLEX,$104 ,Laboratory
MOLECULAR REVERSE TRANSCRIPTIO,$168 ,Laboratory
PCR MUTATION,$113 ,Laboratory
SEPARATION TECHNIQUE,$35 ,Laboratory
MUTATION IDENTIFICATION,$70 ,Laboratory
NUCLEOTIDASE,$81 ,Laboratory
OLIGOCLONAL IMMUNE,$142 ,Laboratory
"ORGANIC ACID,TOTAL, QUANT MMA",$145 ,Laboratory
METHYLMALONIC,$93 ,Laboratory
OSMOLALITY BLOOD,$63 ,Laboratory
OSMOLALITY URINE,$38 ,Laboratory
"OSTEOCALCIN, HUMAN",$218 ,Laboratory
OXALATES,$72 ,Laboratory
PARATHYROID HORMONE,$232 ,Laboratory
PH BODY FLUID,$53 ,Laboratory
PHENCYCLIDINE (PCP),$104 ,Laboratory
FECAL CALPROTECTIN,$294 ,Laboratory
ACID PHOS ENZOMATIC,$51 ,Laboratory
ACID PHOS PROSTATIC,$24 ,Laboratory
"PHOSPHATASE, ALKALINE",$90 ,Laboratory
PHOS ALKALINE HEAT STABLE,$66 ,Laboratory
ALK PHOS ISOENZYMES,$33 ,Laboratory
PHOSPHOROUS,$27 ,Laboratory
UA PHOSPHATES,$44 ,Laboratory
"PROPHOBILINOGEN,URIN,QUALITAT",$116 ,Laboratory
PORPHOBILINOGENS QUANTITATIVE,$47 ,Laboratory
AMNISURE,$362 ,Laboratory
PORPHYRINS QUANTITATION & FRAC,$164 ,Laboratory
POTASSIUM SERUM,$45 ,Laboratory
POTASSIUM-URINE,$24 ,Laboratory
PRE-ALBUMIN,$122 ,Laboratory
PREGNANEDIOL,$69 ,Laboratory
PREGNENOLONE,$101 ,Laboratory
PROGESTERONE,$117 ,Laboratory
PROCALCITONIN,$151 ,Laboratory
PROLACTIN,$109 ,Laboratory
24HR UA PROSTAGLANDIN E2,$578 ,Laboratory
PSA ULTRASENSITIVITY,$126 ,Laboratory
PSA TOTAL,$103 ,Laboratory
PSA FREE,$103 ,Laboratory
"PROTEIN, TOTAL, SERUM",$66 ,Laboratory
PROTEIN-URINE,$75 ,Laboratory
PROTEIN ELECTRO-QUANT SERIUM,$91 ,Laboratory
ELECTROPHORESIS-OTHER,$149 ,Laboratory
WESTERN BLOT,$125 ,Laboratory
CRMP 5 WESTERN BLOT IgG,$375 ,Laboratory
PRO INSULIN,$141 ,Laboratory
VITAMIN B6,$158 ,Laboratory
PYRUVATE,$39 ,Laboratory
ENDOCRINE,$326 ,Laboratory
"NON-ENDOCRINE, RECEPTOR ASSAY",$114 ,Laboratory
RENIN,$124 ,Laboratory
VITAMIN B2,$108 ,Laboratory
SELENIUM,$144 ,Laboratory
SEROTONIN,$251 ,Laboratory
SEX HORMONE BINDING SHBG,$27 ,Laboratory
SODIUM SERUM,$45 ,Laboratory
SODIUM URINE,$27 ,Laboratory
"SODIUM, FECES",$42 ,Laboratory
INSULIN LIKE GROWTH FACTOR,$120 ,Laboratory
SOMATOSTATIN,$182 ,Laboratory
SPECTROPHOTOETRY ANALYTICAL,$50 ,Laboratory
SPECIFIC GRAVITY,$18 ,Laboratory
REDUCING SUBSTANCES FECES,$105 ,Laboratory
24HR UA SULFATE,$66 ,Laboratory
FREE TESTOSTERONE,$132 ,Laboratory
TESTOSTERONE TOTAL,$132 ,Laboratory
VITAMIN B1 (THIAMINE),$119 ,Laboratory
THYROGLOBULIN,$190 ,Laboratory
"THYROXINE, TOTAL",$39 ,Laboratory
THYROXINE FREE,$51 ,Laboratory
THYROXINE BINDING GLOBULIN,$81 ,Laboratory
TSH,$88 ,Laboratory
IMMUNOFIXATION,$126 ,Laboratory
THYROID ANTOANTIBODIES,$79 ,Laboratory
VIATMIN E,$80 ,Laboratory
AST AMINO,$60 ,Laboratory
ALANINE AMINO - ALT,$30 ,Laboratory
TRANSFERRIN,$97 ,Laboratory
TRIGLYCERIDES,$32 ,Laboratory
T3 UPTAKE,$36 ,Laboratory
T3 TRIODOTHYRONINE TOTAL,$108 ,Laboratory
T3 FREE,$95 ,Laboratory
T3 REVERSE,$214 ,Laboratory
TRYPSIN; DUODENAL FLUID,$45 ,Laboratory
TROPONIN QUALITATIVE,$35 ,Laboratory
UREA NITROGEN QUANTITIVE,$49 ,Laboratory
UREA NITROGEN URINE,$35 ,Laboratory
UREA NITROGEN CLEARANCE,$44 ,Laboratory
URIC ACID; BLOOD,$25 ,Laboratory
URIC ACID URINE,$27 ,Laboratory
UROBILINOGEN QUANT,$141 ,Laboratory
VMA,$87 ,Laboratory
VASOACTIVE INTESTINAL PEP VIP,$180 ,Laboratory
VASOPRESSIN,$363 ,Laboratory
VITAMIN A,$74 ,Laboratory
VITAMIN/NOS,$272 ,Laboratory
"VITAMIN K, LAB",$357 ,Laboratory
INHALENT PANEL,$414 ,Laboratory
"XYLOSE ABSORP, BLOOD OR URIN",$158 ,Laboratory
ZINC,$76 ,Laboratory
C- PEPTIDE,$117 ,Laboratory
GENTAMICIN,$90 ,Laboratory
"BETA-HCG, QUANTITATIVE",$126 ,Laboratory
PREG TEST BHCG,$89 ,Laboratory
BLEEDING TIME,$72 ,Laboratory
DIFFERENTIAL MANUAL,$41 ,Laboratory
SPUN MICROHEMATOCRIT,$35 ,Laboratory
HEMATOCRIT,$32 ,Laboratory
HEMOGLOBIN,$34 ,Laboratory
CBC MANUAL DIFF,$47 ,Laboratory
CBC COMPLETE W/AUTO WBC DIFF,$91 ,Laboratory
CBC COMPLETE W/O AUTO WBC,$61 ,Laboratory
RBC COUNT,$39 ,Laboratory
"RETICULOCYTE, MANUAL",$24 ,Laboratory
RETICULOCYTE AUTOMATED,$70 ,Laboratory
WHITE BLOOD CELL CT,$36 ,Laboratory
PLATELET COUNT,$68 ,Laboratory
BLOOD SMEAR PERIPHERAL,$137 ,Laboratory
BONE MARROW SMEAR,$99 ,Laboratory
BONE MARROW BIOPSY,$99 ,Laboratory
HEPARIN COFACTOR II,$345 ,Laboratory
FACTOR TWO LEVEL,$250 ,Laboratory
FACTOR V LEIDEN,$319 ,Laboratory
FACTOR SEVEN LEVEL,$250 ,Laboratory
FACTOR V111 ACTIVITY,$137 ,Laboratory
RISTOCETIN COFACTOR VW FACTOR,$328 ,Laboratory
"VW FACTOR ANTIGEN, FACTOR VIII",$328 ,Laboratory
FACTOR VI VON WELLBRANDS,$328 ,Laboratory
COCAINE OR METABOLITE,$316 ,Laboratory
FACTOR X LEVEL,$231 ,Laboratory
ANTITHROMBIN 111 ACTIVITY,$67 ,Laboratory
ANTITHROMBIN III,$61 ,Laboratory
PROTEIN C ANTIGEN,$109 ,Laboratory
PROTEIN C ACTIVITY,$225 ,Laboratory
"PROTEIN S,TOTAL",$394 ,Laboratory
PROTEIN S ACTIVITY,$102 ,Laboratory
PROTEIN C RESISTANCE,$57 ,Laboratory
ADAMTS13 INHIBITOR,$300 ,Laboratory
"D-DIMER, QUALITATIVE SEMIQUANT",$128 ,Laboratory
D DIMER-QUANT,$160 ,Laboratory
FIBRINOGEN; ACTIVITY,$85 ,Laboratory
FIBRINOGEN ANTIGEN,$67 ,Laboratory
ADAMTS13 ACTIVITY,$309 ,Laboratory
HEMOGLOBIN RBC FETAL,$56 ,Laboratory
HEPARIN ASSAY,$316 ,Laboratory
"IRON STAIN, PERIPHERAL BLOOD",$62 ,Laboratory
LAP-LEUKOCYTE ALK PHOS/COUNT,$98 ,Laboratory
"LYSOZYME,MURAMIDASE",$105 ,Laboratory
PLATELET NEUTRALIZATION,$104 ,Laboratory
PROTIME (PT),$51 ,Laboratory
LUPUS ANTICOAGULANT,$39 ,Laboratory
REPTILASE TEST,$63 ,Laboratory
SEDRATE,$61 ,Laboratory
"SICKLING OF RBC, REDUCTION",$63 ,Laboratory
THROMBIN TIME PLASMA,$67 ,Laboratory
"THROMBOPLASTIN INHIBITION,TIS",$313 ,Laboratory
PTT,$120 ,Laboratory
"PTT, PLASMA FRACTION SUB EACH",$114 ,Laboratory
VISCOSITY SERUM,$82 ,Laboratory
FEBRILE AGGLUTININS,$214 ,Laboratory
ALLERGEN SPECIFIC lgG,$39 ,Laboratory
ALLERGY TESTING-ALLERGEN SPEC,$25 ,Laboratory
ANTIBODY IDENT; LEUKOCYTE ANTI,$343 ,Laboratory
PLATELET ANTIBODIES,$113 ,Laboratory
ANA - ANTINUCLEAR ANTIBODIES,$55 ,Laboratory
ANTI-NUCLEAR ANTIBODY TITER,$63 ,Laboratory
ANTISTREPTOYSIS 0; TITER,$97 ,Laboratory
ASO SCREEN,$44 ,Laboratory
C REACTIVE PROTEIN - CRP,$87 ,Laboratory
CRP HIGH SENSITIVITY,$74 ,Laboratory
BETA 2 GLYCOPROTEIN,$134 ,Laboratory
ANTICARDIOLIPIN,$54 ,Laboratory
ANTI-PHOSPHATIDYLSERINE,$98 ,Laboratory
COLD AGGLUTININS SCREEN,$47 ,Laboratory
COMPLEMENT TOTAL (CH50),$114 ,Laboratory
CYLCIC CITRULLINATED AB,$83 ,Laboratory
ANTI DS DNA,$63 ,Laboratory
DNA ANTIBODY-DOUBLE STRAND,$77 ,Laboratory
SSDNA IgG AB,$217 ,Laboratory
EXTRACTABLE NUCLEAR ANTIGEN,$101 ,Laboratory
MITOCHONDRIAL AB,$195 ,Laboratory
"TITER, EACH ANTIBODY",$180 ,Laboratory
"CA 15-3,IMMUN FOR TUMOR ANTIGE",$117 ,Laboratory
CA 19-9,$147 ,Laboratory
CA 125 CANCER ANTIGEN,$117 ,Laboratory
"HE4, OVARIAN CANCER MONITORING",$640 ,Laboratory
MONOSPOT-HETEROPHILE ANTIBODIE,$74 ,Laboratory
IMMUNOSSAY FOR TUMOR ANTIGEN,$154 ,Laboratory
IMMUNOASSAY INF AGENT ANTIBODY,$170 ,Laboratory
"ANTIBODY CHEMICAL, RUBELLA",$179 ,Laboratory
IMMUNOELECTROPHORESIS,$134 ,Laboratory
UA IMMUNO ELECTROPH,$148 ,Laboratory
CRYO IMMUNODIFFUSION,$55 ,Laboratory
IMMUNE COMPLEX TOTAL,$145 ,Laboratory
IMMUNOFIXATION SERUM,$126 ,Laboratory
OTHER FLUIDS W CONCENTRATION,$33 ,Laboratory
INHIBIN A DIMERIC,$283 ,Laboratory
INSULIN AUTOANTIBODY,$147 ,Laboratory
INTRINSIC FACTOR ANTIBODIES,$158 ,Laboratory
ISLET CELL AB,$96 ,Laboratory
LEUKOCYTE PHOGOCYTOSIS,$71 ,Laboratory
T&B CELL FUNCTION,$235 ,Laboratory
CD3 %,$54 ,Laboratory
RITUXAN SENSITIVITY (CD20),$228 ,Laboratory
NATURAL KILLER CELLS,$96 ,Laboratory
TOTAL TCELLS,$54 ,Laboratory
ABSOLUTE CD4 & CD8 COUNT,$264 ,Laboratory
CD 4 LYMPHOCYTES,$151 ,Laboratory
ANTI THYROID MICROSOMAL,$82 ,Laboratory
RABIES VACCINE RESPONSE TITER,$138 ,Laboratory
"RAPID STREP,PARTICLE AGGLUTINA",$51 ,Laboratory
CRYPTOCOCCUS AG TITER,$114 ,Laboratory
RHEUMATOID FACTOR QUALITATIVE,$80 ,Laboratory
RHEUMATOID FACTOR QUANTITATIVE,$32 ,Laboratory
PROTEIN S ANTIGEN FREE/TOTAL,$417 ,Laboratory
TB TINE TEST,$43 ,Laboratory
TB TEST,$43 ,Laboratory
SYPHILIS QUALITATIVE (RPR),$24 ,Laboratory
ADVENOVIRUS-ANTIBODIES,$110 ,Laboratory
STREP PNEUMOCCAL AB,$56 ,Laboratory
BARTONELLA ABS,$107 ,Laboratory
BLASTOMYCES,$43 ,Laboratory
BORDETELLA PERTUSSIS AB,$165 ,Laboratory
"LYME AB PANEL,WESTERN BLOT",$167 ,Laboratory
BORELLIA RELAPSING FEVER,$237 ,Laboratory
PSITTACOSIS AB,$167 ,Laboratory
COCCIDIODES,$60 ,Laboratory
COXIELLA BRUNELI,$56 ,Laboratory
CRYPTOCOCCUS ANTIGEN,$96 ,Laboratory
CYTOMEGALOVIRUS AB IGG,$128 ,Laboratory
CYTOMEGATOVRUS (CMV) IgM,$64 ,Laboratory
DIPTHERIA ANTIBODY,$166 ,Laboratory
CALIF ENCEPHALITIS IGG CSF,$22 ,Laboratory
EASTERN EQUINE IGG AB,$22 ,Laboratory
ST LOUIS IGG CSF,$22 ,Laboratory
WESTERN EQUINE IGG CSF,$22 ,Laboratory
POLIO VIRUS ANTIBODY EACH,$79 ,Laboratory
EPSTEIN BARR VIRUS (EA),$125 ,Laboratory
EPSTEIN BARR VIRUS (EBNA),$89 ,Laboratory
EPSTEIN BARR VIRUS (VCA),$102 ,Laboratory
GIARDIA ANTIGEN,$182 ,Laboratory
HELICOBACTER PYLORI,$114 ,Laboratory
"HELMINTH, NOT ELSE SPECIFIED",$210 ,Laboratory
HAEMOPHILUS INFLUENZAE B IGG,$63 ,Laboratory
HTLVI,$223 ,Laboratory
HIV OR HTLV WESTERN BLOT,$235 ,Laboratory
HEP D (DELTA) AB,$64 ,Laboratory
"HERPES SIMPLEX, IGG LEVEL",$137 ,Laboratory
HERPES SIMPLEX TYPE 1,$230 ,Laboratory
HERPES SIMPLEX TYPE 2,$230 ,Laboratory
HISTOPLASMOSIS,$91 ,Laboratory
HIV 1,$50 ,Laboratory
HIV 1 AND HIV 2  SINGLE ASSAY,$77 ,Laboratory
HEP B CORE Antib (HBcAb);total,$83 ,Laboratory
IgM ANTIBODY,$74 ,Laboratory
HEPATITIS B S AB,$60 ,Laboratory
HEPATITIS Be ANTIBODY (HBeAB),$107 ,Laboratory
HEPATITIS A AB TOTAL,$96 ,Laboratory
IgM ANTIBODY,$150 ,Laboratory
INFLUENZA-ANTIBODIES,$60 ,Laboratory
LEGIONELLA,$302 ,Laboratory
LEPTOSPIRA,$125 ,Laboratory
LISTERIA AB,$245 ,Laboratory
LCM IGG,$22 ,Laboratory
MUMPS,$76 ,Laboratory
MYCOPLASMA,$103 ,Laboratory
PARVOVIRUS B19 ANTIBODIES,$54 ,Laboratory
ENTAMOEBA TITER,$173 ,Laboratory
RICKETTSIAL ANTIBODIES,$66 ,Laboratory
ROTAVIRUS,$86 ,Laboratory
RUBELLA,$136 ,Laboratory
RUBEOLA,$72 ,Laboratory
TETANUS ANTIBODY,$132 ,Laboratory
TOXOPLASMA IgG,$114 ,Laboratory
TOXOPLASMA IgM,$114 ,Laboratory
FTA-ABS,$114 ,Laboratory
TRICHINELLA AB,$206 ,Laboratory
VARICELLA ZOSTER IGG AB SCREEN,$72 ,Laboratory
WEST NILE VIRUS IGM,$63 ,Laboratory
WEST NILE VIRUS IGG,$69 ,Laboratory
"VIRUS, NOT ELSE SPECIFIED",$118 ,Laboratory
THYROGLOBULIN ANTIBODY,$90 ,Laboratory
HEPATITIS C ANTIBODY,$80 ,Laboratory
"HEPATITIS C ANTIBODY, RIBA",$218 ,Laboratory
"HLA TYPING A,B,OR C, SING ANTI",$145 ,Laboratory
BETA INTERFERON ANTIBODY,$752 ,Laboratory
ANTIBODY SCREEN RBC,$122 ,Laboratory
ELUTION CHARGE,$83 ,Laboratory
ANTIBODY IDENT. RBC ANT,$207 ,Laboratory
"COOMBS TEST, DIRECT",$98 ,Laboratory
ANTIBODY TITER,$87 ,Laboratory
ABO GROUP,$53 ,Laboratory
RH ONLY,$53 ,Laboratory
ANTIGEN SCREEN BLOOD,$85 ,Laboratory
ANTIGEN SCREEEN W/PAT. SERUM,$88 ,Laboratory
ANTIGEN SCREEN-PATIENT,$54 ,Laboratory
ANTIGEN SCREEN DU,$46 ,Laboratory
CROSSMATCH IMMEDIATE SPIN,$117 ,Laboratory
CROSSMATCHING INCUBATION TECHN,$121 ,Laboratory
CROSSMATCH ANTIGLOBULIN,$117 ,Laboratory
FRESS FROZEN PLASMA UNIT 1ST,$248 ,Laboratory
PRETREATMENT OF RBC'S,$88 ,Laboratory
ELUTION COLD ABSORPTION,$139 ,Laboratory
CONCENTRATION FOR INFECT AGENT,$38 ,Laboratory
CULTURE BLOOD,$124 ,Laboratory
CULTURE STOOL,$69 ,Laboratory
"CULTURE, STOOL CAMPY",$140 ,Laboratory
CULTURE ROUTINE ANY OTH SOURCE,$72 ,Laboratory
"CULTURE,AEROBIC OTHER",$94 ,Laboratory
CULTURE ANAEROBIC,$114 ,Laboratory
ANAEROBIC ID: BILL ONLY,$88 ,Laboratory
CULTURE / EXTRA,$79 ,Laboratory
E COLI 0157,$65 ,Laboratory
CULTURE URINE,$79 ,Laboratory
ID OF AEROBE-URINE,$79 ,Laboratory
"CULTURE, FUNGI ISOLATION",$76 ,Laboratory
"CULTURE, FUNGI (EXCEPT BLOOD)",$152 ,Laboratory
"CULTURE,FUNGI DEF INDENT,YEAST",$67 ,Laboratory
CULTURE MYCOPLASMA,$150 ,Laboratory
CULTURE CHLAMYDIA ANY SOURCE,$102 ,Laboratory
"CULTURE,TUBERCLE, ACID-FAST",$66 ,Laboratory
CULTURE MYCOBACTERIAL,$127 ,Laboratory
CHLAMYDIA TRACHOMATIS ID,$102 ,Laboratory
GAS LIQUID CHROMATOGRAPHY (GLC,$45 ,Laboratory
NUCLEIC ACID PROBE IDENTIFICAT,$45 ,Laboratory
PORTRAIT GBS,$145 ,Laboratory
PARASITE EXAM,$60 ,Laboratory
PINWORM EXAM,$60 ,Laboratory
TISSUE HOMOGENIZATION CHARGE,$75 ,Laboratory
"OVA AND PARASITES,DIRECT SMEAR",$86 ,Laboratory
"SENSI, ONE DISK",$54 ,Laboratory
SENSITIVITY,$82 ,Laboratory
"SENSI, ONE DISK: BILL ONLY",$76 ,Laboratory
"SENSITIVITY, ONE ORGANISM",$133 ,Laboratory
AFB SMEAR  - GRAM STAIN,$45 ,Laboratory
ACID FAST OR FLUORESCENT STAIN,$72 ,Laboratory
MALARIA SMEARS SPECIAL STRAIN,$67 ,Laboratory
TRICHROME STAIN,$101 ,Laboratory
KOH PREP,$62 ,Laboratory
CLOSTRIDIUM DIFFICILE,$204 ,Laboratory
VIRAL CULTURE,$141 ,Laboratory
VIRUS ISOLATION CENTRIFUGE,$199 ,Laboratory
"CULTURE, HERPES SIMPLEX/TYPING",$149 ,Laboratory
BORDETELLA FA,$130 ,Laboratory
CRYPTOSPORIDIUM ANTIGEN,$69 ,Laboratory
HERPES SIMPLEX VIRUS TYPE 1,$114 ,Laboratory
"DFA, LEGIONELLA",$261 ,Laboratory
RSV ANTIGEN DFA,$100 ,Laboratory
VARICELLA ZOSTER VIRUS,$70 ,Laboratory
LEGIONELLA BY DFA,$83 ,Laboratory
FECAL ADENOVIRUS EIA,$135 ,Laboratory
C. DIFFICILE,$69 ,Laboratory
CRYPTOCOCCUS AG SCREEN,$157 ,Laboratory
CRYPTOSPORIDIUM,$159 ,Laboratory
CYTOMEGATOVRUS AG,$142 ,Laboratory
HELICOBACTER PYLORI STOOL,$81 ,Laboratory
HEPATITIS B SURF ANTIGEN(HBsAg,$58 ,Laboratory
HEPATITIS Bs AG CONFIRMATION,$88 ,Laboratory
HEPATITIS BE ANTIGEN,$104 ,Laboratory
"HISTOPLASMA ANTIGEN, URINE",$192 ,Laboratory
HIV 1&2 SCRN 4TH GENERATION,$110 ,Laboratory
HIV,$113 ,Laboratory
RESPIRATORY VIRUS EIA,$66 ,Laboratory
ROTAVIRUS AG DETECTION,$87 ,Laboratory
ECOLI SHIGA TOXIN,$51 ,Laboratory
"CULTURE, THROAT RAPID",$66 ,Laboratory
IMMUNOASSAY INFECT AGENT ANTEG,$79 ,Laboratory
CHLAMYDIA DNA PROBE,$47 ,Laboratory
CHLAMYDIA,$36 ,Laboratory
C DIFF TOXN B PCR,$197 ,Laboratory
CYTOMEGALOVIRUS PCR,$197 ,Laboratory
"CYTOMEGALOVIRUS,QUANTIFICATION",$241 ,Laboratory
ENTEROVIRUS RNA PCR,$525 ,Laboratory
"INFLUENZA A RNA, PCR",$334 ,Laboratory
HEP B VIRAL DNA,$372 ,Laboratory
"HEP B VIRUS,QUANTIFICATION",$397 ,Laboratory
HEP C AMPL PROBE TECH,$510 ,Laboratory
"HEP C TITER,RNA/PCR--HEPTIMAX",$283 ,Laboratory
HERPES SIMPLEX VIRUS,$197 ,Laboratory
HIV PROVIRAL DNA,$431 ,Laboratory
HIV QUANTIFICATION,$560 ,Laboratory
TB PCR NOT RESPIRATORY,$288 ,Laboratory
NEISSERA GONORRHOEAE DNA PROBE,$44 ,Laboratory
NEISSERIA GONORRHOEAE,$36 ,Laboratory
HPV,$102 ,Laboratory
HPV REFLEX CHARGE,$102 ,Laboratory
STAPH AUREUS PCR,$98 ,Laboratory
"MRSA, PCR",$283 ,Laboratory
TRICHOMONAS VAG RNA **MALE**,$168 ,Laboratory
"GENPROBE,INFECTIOUS AGENT DETE",$87 ,Laboratory
"AMPLIFIED PROBE, EACH ORGANISM",$590 ,Laboratory
"QUANTIFICATION, EACH ORGANISM",$533 ,Laboratory
"LYME DISEASE,DNA OF TICK",$483 ,Laboratory
INFLUENZA,$151 ,Laboratory
INFLUENZA A/B SCREEN,$70 ,Laboratory
HIV-1 GENOTYPE,$750 ,Laboratory
MVC ACTIVITY ANTICIPATED,$750 ,Laboratory
HEPATITIS C RNA GENOTYPE,$919 ,Laboratory
UNLISTED AUTOPSY PROC,$42 ,Laboratory
CYTOPATHOLOGY FLUIDS,$139 ,Laboratory
PAP SUREPATH INTERP,$170 ,Laboratory
PAP,$77 ,Laboratory
FNA INTERPRETATION AND REPORT,$88 ,Laboratory
"FLOW CYTOMERTY,CELL CYCLE",$160 ,Laboratory
LEUK/LYMPHOMA FIRST MARKER,$203 ,Laboratory
LEUK/LYMPHOMA EXTRA MARKER,$60 ,Laboratory
FLOW CYSTOMETRY 2-8 MARKERS,$100 ,Laboratory
FLOW CYTOMETRY INTERPRETATION,$88 ,Laboratory
TISSUE CULTURE FOR NON-NEOPLA,$578 ,Laboratory
CLL TISSUE CULTURE,$676 ,Laboratory
FRAGILE X,$552 ,Laboratory
"CNT 15-20 CELLS,2 KARYOTYPES",$353 ,Laboratory
CHROMOSOME MOSAICISM CHARGE,$341 ,Laboratory
VIABILITY,$667 ,Laboratory
MOECULAR/DNA PROBE CHROMSONE,$114 ,Laboratory
IN-SITU HYBRIDIZATION,$106 ,Laboratory
CYTOGENETIC INTERPRETATION,$85 ,Laboratory
BM DECALCIFICATION,$99 ,Laboratory
SPECIAL STAINS/GROUP 1,$133 ,Laboratory
SPECIAL STAINS/GROUP II,$20 ,Laboratory
COX/SDH DUAL STAIN,"$1,431 ",Laboratory
FIRST TISSUE BLOCK FROZEN,$51 ,Laboratory
TISSUE BLCK FROZEN > ONE,$32 ,Laboratory
IHC FIRST AB PATHOLOGY,$87 ,Laboratory
TUMOR IMMUNOHISTOCHEMISTRY,$197 ,Laboratory
BODYFLUID CELL COUNT,$72 ,Laboratory
CELL COUNT/BODY FLUID,$98 ,Laboratory
CRYSTAL ANY BODY FLUID,$104 ,Laboratory
"FAT STAINS, URINE, FECES",$39 ,Laboratory
NASAL SMEAR FOR EOSINOPHILS,$62 ,Laboratory
SPERM COUNT - VAS. CHECK,$61 ,Laboratory
SPERM ANALYSIS COUNT COMPLETE,$65 ,Laboratory
HANDLING FEE,$23 ,Laboratory
THERAPEUTIC PHLEBOTOMY,$490 ,Laboratory
OTHER FAC VASCULAR LAB TEST,$595 ,Laboratory
HANDLING FEE-LEGAL VENIPUNCTUR,$19 ,Laboratory
VENIPUNCTURE PAIN CLINC BLDPTH,$19 ,Laboratory
HANDLING VENIPUNCTURE ONLY,$23 ,Laboratory
VENIPUNCTURE #2,$23 ,Laboratory
