OUTPATIENT SERVICES,Average Charge for each Outpatient Service
PREG EA ADD FETUS >1ST TRI,$594.75
PREG COMP 1ST TRI SGL,$542.50
PREG EA ADD FETUS 1ST TRI,$414.50
PREGNANCY TRANSVAGINAL,$580.50
US GUIDE INTRAOPERATIVE,$416.50
THORA W/ CATH DRAIN W/IMAG RT,"$1,115.25"
THORA W/ CATH DRAIN W/IMAG BIL,"$1,445.00"
GUIDANCE VASCULAR ACCESS,$192.00
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
FETAL BIOPHYSICAL W/O NS,$688.00
KIDNEY TRANSPLANTED,$371.50
SPINAL CANAL AND CONTENTS,$309.50
BIOPSY PLEURA,"$1,065.25"
BIOPSY SUPERFICIAL LYMPH NODE,$480.50
IMAGE CATH FLUID COLXN VISC,"$3,361.75"
RENAL CYST ASPIRATION,$789.25
SCREENING FOR AAA,$911.25
VACORA BIOPSY PROBE 10G,$472.25
VACORA BIOPSY PROBE 14G,$472.25
VACORA COAX CANNULA 10G,$53.50
VACORA COAX CANNULA 14 G,$53.50
DOPPLER FETAL UMBILICAL ARTERY,$235.00
BX BREAST ADD LESION US IMAG,"$2,242.25"
US EXTREMITY NONVASC LIMITED,$318.00
US EXTREMITY NONVASC COMPLETE,$696.50
US GUIDE TISSUE ABLATION,$200.00
TISSUE MARKER IMPLANTABLE,$152.75
PERC RF ABLATE RENAL TUMOR 1+,"$7,915.75"
PERCUT RF ABLATE LIVER 1+,"$14,137.75"
BREAST LIMITED BILATERAL,$359.75
BREAST COMPLETE BILATERAL,$629.50
BREAST COMPLETE LEFT,$343.00
BREAST COMPLETE RIGHT,$343.00
BREAST LIMITED RIGHT,$226.25
BREAST LIMITED LEFT,$226.25
"BIOPSY SALIVARY GLAND, NEEDLE",$829.00
CLINIC TRIAL PRETREATMENT BX,"$2,242.25"
CLINIC TRIAL WEEK 4 BX,"$2,242.25"
CLINIC TRIAL AT SURGERY BX,"$2,242.25"
ASPIRATE MAJOR JT BIL US GUID,$543.00
ASPIRATE MAJOR JT RT US GUID,$362.00
ASPIRATE MAJOR JT LT US GUID,$362.00
DRAIN FLUID COLLECT SOFT TISSU,$845.00
PUNCT ASP ABSC HEMAT CYST,$802.75
FNA BX W/US GDN EA ADDL,$157.50
BONE/JOINT IMAG WHOLE BODY,"$1,491.00"
BRAIN SCAN W/ FLOW,"$1,145.75"
MYCARD IMAGING INF QUAL/QNT,"$1,485.75"
ABSCESS LOC WB,"$1,905.50"
MUGA SINGLE,"$2,177.25"
LIVER/SPLEEN IMAGING,"$1,065.00"
LUNG SCAN/PERFUSIO,"$1,657.75"
MECKELS / STOMACH,$536.25
LUNG VENTILATION IMAGING,"$1,145.75"
HEPATOBILIARY SYSTEM IMAGING,"$1,117.50"
GASTRIC EMPYTING,"$1,241.25"
GI BLEED SCAN,"$1,914.75"
LIVER SPECT,"$2,811.50"
BONE SCAN 3 OR 4 PHASE,"$1,945.50"
BONE SPECT,"$1,591.25"
THYROID METS-WH.BO,"$1,933.25"
MYOCARD PERF SPECT SINGLE,"$3,083.75"
VENOGRAM RBC BILAT,"$1,412.25"
MYOCARD PERF SPECT MULT,"$2,893.25"
TUMOR LOC WB SGL DAY,"$3,252.00"
LYMPHATIC IMAGING,"$1,493.50"
BONE/JOINT IMAG MULT,"$3,329.00"
TUMOR LOC SPECT,"$1,521.00"
PARATHYROID IMAGING,$431.75
ABSCESS LOC SPECT,"$1,518.00"
XENON XE 133 PER 10 MCI,$290.50
GALLIUM GA 67 PER MCI,$110.50
I-123 CAP PER 100 MICRO,$154.50
EXAMETAZIME TO 25 MCI,"$3,448.25"
BONE MARROW LIMITED,$687.75
BONE MARROW MULTIPLE AREAS,$627.50
BONE MARROW WHOLE BODY,"$1,092.00"
TUMOR LOC WB MLT DAYS,"$1,933.00"
THYROID CARCINO METS UPTAKE,$342.50
RADIOPHARM THERAPY ORAL ADMIN,"$1,007.00"
RADIOPHARM THERAPY IV ADMIN,$802.25
I-131 DX CAP PER MCI,$205.25
I-131 TX CAP PER MCI,$186.50
INDIUM 111 OCTREOTIDE TO 6 MCI,"$8,687.25"
PERTECHNETATE PER MCI,$2.00
THALLUS CHLORIDE 201 PER MCI,$49.00
SESTAMIBI PER DOSE,$149.75
GASTRIC MUCOSA IMAGING,$675.75
BONE/JOINT IMAGING LIMITED,$649.50
MEBROFENIN TO 15 MCI,$153.25
PENTETATE TO 25 MCI,$179.25
OXIDRONATE TO 30 MCI,$101.25
IN-111 PENTETREOTIDE TO 6 MCI,"$8,687.25"
IN-111 WHITE BLOOD CELL DOSE,"$5,301.50"
MAA TO 10 MCI,$283.75
MERTIATIDE TO 15 MCI,$666.25
STRONTIUM SR-89 PER MCI,"$16,336.00"
LABELED RBC'S TO 30 MCI,$338.25
SULFUR COLL FILT TO 20 MCI,$388.25
SULFUR COLLOID TO 20 MCI,$388.25
PYROPHOSPHATE KIT W/ TC99M,$124.00
LUNG VENTILATION W/PERFUSION,"$1,470.50"
LUNG QUANTITATIVE VENT/PERF,$600.00
MDP UP TO 30 MCI,$54.50
KIDNEY IMAGING MORPHOLOGY,$543.75
KIDNEY IMAG FLO FUNC WO PH SIN,$818.50
KIDNEY IMAG FLO FUNC W PH SGL,$861.25
KIDNEY IMAG FLO FUNC W PH MLT,$509.25
TESTICULAR IMAGING W FLOW,$543.75
SENTINAL NODE INJECTION,$544.50
SODIUM FLUORIDE F-18 =< 30 MCI,$325.00
HEPATOBIL SYST IMAGE W/DRUG,"$1,091.75"
THYROID UPTAKE,$240.00
THYROID IMAGING,$558.25
THYROID UPTAKE AND IMAGING,$685.50
PARATHYROID IMAGING WITH SPECT,$692.25
ABSCESS LOC LIMITED AREA,"$1,271.25"
TC99M BICISATE =< 25 MCI,"$3,620.75"
XOFIGO RADIUM 223 PER UCI,$347.50
LYMPHOSEEK UP TO 0.5 MCI,$783.00
ABDOMEN W CONTRAST,"$2,860.25"
ABDOMEN WO CONTRAST,"$2,480.00"
ABDOMEN W-W/O CONTRAST,"$3,482.50"
BRAIN W CONTRAST,"$2,335.75"
BRAIN W-W/O CONTRAST,"$3,621.25"
BRAIN W/O CONTRAST,"$2,108.00"
CHEST W CONTRAST,"$2,844.50"
CHEST W/O CONTRAST,"$2,108.00"
CHEST W-W/O CONTRAST,"$3,760.50"
"ORB,FAC,NECK W/O CON","$2,385.25"
"ORB,FAC,NECK W/ CON","$2,191.75"
PELVIS W/ CONTRAST,"$2,844.50"
PELVIS W/O CONTRAST,"$2,108.00"
PELVIS W-W/O CONTRAST,"$3,316.75"
SP-CERVICAL W/ CONTRAST,"$2,844.50"
SP-CERV W-W/O CONTRAST,"$3,644.00"
SP-CERVICAL W/O CONTRAST,"$2,108.00"
SP-LUMB W CONTRAST,"$3,046.00"
SP-LUMB W/O CONTRAST,"$2,448.50"
SP-LUMB W-W/O CONTRAST,"$3,482.50"
SP-THOR W CONTRAST,"$2,186.75"
SP-THOR W-W/O CONTRAST,"$3,482.50"
SP-THOR W/O CONTRAST,"$2,108.00"
"ORB,FAC,NECK W-W/O CON","$3,482.50"
MRA CHEST W/CONTRAST,"$2,817.50"
MRA ABDOMEN W/CONTRAST,"$2,020.00"
MRA HEAD W CONTRAST,"$2,817.50"
UPPER EXT JT W-W/O CON LT,"$3,183.50"
UPPER EXT JT W-W/O CON RT,"$3,547.75"
UPPER EXT JT W-W/O CON BI,"$3,895.00"
UPPER EXT W CON LT,"$2,055.50"
UPPER EXT W CON RT,"$2,055.50"
UPPER EXT W CON BI,"$2,545.00"
UPPER EXT WO CON LT,"$2,090.25"
UPPER EXT WO CON RT,"$2,423.25"
UPPER EXT WO CON BI,"$2,352.75"
UPPER EXT WWO CON LT,"$3,243.25"
UPPER EXT WWO CON RT,"$3,243.25"
UPPER EXT WWO CON BI,"$3,895.00"
UPPER EXT JT W CON LT,"$2,988.75"
UPPER EXT JT W CON RT,"$2,988.75"
UPPER EXT JT W CON BI,"$3,554.75"
UPPER EXT JT WO CON LT,"$2,528.00"
UPPER EXT JT WO CON RT,"$2,528.00"
UPPER EXT JT WO CON BI,"$3,286.00"
LOWER EXT W CON LT,"$3,881.75"
LOWER EXT W CON RT,"$3,881.75"
LOWER EXT W CON BI,"$5,046.25"
LOWER EXT W-W/O CON LT,"$3,265.75"
LOWER EXT W-W/O CON RT,"$3,265.75"
LOWER EXT W-W/O CON BI,"$4,245.75"
LOWER EXT WO CON LT,"$2,426.50"
LOWER EXT WO CON RT,"$2,426.50"
LOWER EXT WO CON BI,"$2,570.00"
LOWER EXT JT W-W/O CON LT,"$3,429.00"
LOWER EXT JT W-W/O CON RT,"$3,512.50"
LOWER EXT JT W-W/O CON BI,"$4,245.75"
LOWER EXT JT W/ CON LT,"$2,944.75"
LOWER EXT JT W/ CON RT,"$2,944.75"
LOWER EXT JT W/ CON BI,"$3,584.00"
LOWER EXT JT W/O CON LT,"$1,600.25"
LOWER EXT JT W/O CON RT,"$1,600.25"
LOWER EXT JT W/O CON BI,"$2,565.50"
MRA LOWR EXT W/ CON LT,"$3,845.25"
MRA LOWR EXT W/ CON RT,"$3,845.25"
MRA LOWR EXT W/ CON BI,"$4,998.75"
MRA HEAD W/O CONTRAST,"$2,193.50"
MRA HEAD W-W/O CONTRAST,"$3,322.25"
MRA NECK W/O CONRAST,"$2,157.00"
MRA NECK W CONTRAST,"$1,657.75"
MRA NECK W-W/O CONTRAST,"$3,261.25"
MRA CHEST W/O CONTRAST,"$2,228.75"
MRA CHEST W AND W/O CONTRAST,"$3,760.50"
MRA ABDOMEN W/O CONTRAST,"$2,134.25"
MRA ABDOMEN W AND W/O CONTRAST,"$3,738.50"
MRA LOWR EXT W/O CON LT,"$2,897.00"
MRA LOWER EXT LT W-W/O,"$5,682.00"
MRA LOWR EXT W/O CON RT,"$2,897.00"
MRA LOWER EXT RT W-W/O,"$5,682.00"
MRA LOWR EXT W/O CON BI,"$3,765.75"
MRA LOWER EXT BI W-W/O,"$7,386.75"
MRA PELVIS W/O CONTRAST,"$2,698.75"
MRA PELVIS W/CONTRAST,"$2,697.50"
MRA PELVIS W-W/O CON,"$3,950.75"
BREAST W/CON UNI LT,"$1,182.50"
BREAST W/CON UNI RT,"$1,182.50"
BREAST W/O CON UNI LT,"$1,062.75"
BREAST W/O CON UNI RT,"$1,062.75"
BREAST W-W/O CON UNI LT,"$1,679.50"
BREAST W-W/O CON UNI RT,"$1,679.50"
BREAST W/CON BILAT,"$3,077.50"
BREAST W/O CON BILAT,"$2,900.00"
BREAST W-W/O CON BILAT,"$4,520.00"
MRI TEMPOROMANDIBULAR JOINTS,"$2,235.25"
3D RENDERING INDEPEND STATION,$474.00
GADOLINIUM PER ML,$12.25
MRI UPPER EXTEM WITH,$820.75
MRA UPPER EXTREM WITHOUT,$820.75
GADOLINIUM 50 ML VIAL PER ML,$14.25
MRI UNLISTED RAD TX  PLANNING,"$2,393.00"
KNEE BILAT VISIONAIRE PROTOCOL,$506.25
KNEE RIGHT VISIONAIRE PROTOCOL,$638.00
KNEE LEFT VISIONAIRE PROTOCOL,$638.00
EOVIST PER ML,$31.50
DOTAREM 10 ML VIAL PER ML,$5.50
DOTAREM 15 ML VIAL PER ML,$5.50
DOTAREM 20 ML VIAL PER ML,$5.50
DOTAREM 100 ML BOTTLE PER ML,$5.50
LOWER EXT JT ZIMMER PROT LT,$888.50
LOWER EXT JT ZIMMER PROT RT,$888.50
WALLSTENTS,"$2,944.00"
GREENFIELD FILTER,"$2,909.75"
DRAINAGE CATHETER,$582.75
BIL/NEPH CATHETER,$263.00
SHORT SHEATHS,$68.00
LONG SHEATHS,$130.25
STRAIGHT NSH,$81.50
10FR DILATORS,$22.00
12FR DILATORS,$25.75
MCCANN DRAPE,$32.00
4FR DILATOR,$25.00
5FR DILATOR,$25.00
6FR DILATOR,$25.00
7FR DILATOR,$25.00
8FR DILATOR,$25.00
TOWER COVERS,$8.50
14FR DILATORS,$97.75
MICROPUNCTURE SET,$95.50
BENSTON WIRE,$84.25
PTA BALLOON,$683.75
INFUSION CATH NOT DIALYSIS,$225.50
DIALYSIS CATH LONG TERM,$880.00
VIASIPAQUE 320 PER ML,$1.75
GADOLINIUM PER ML,$15.50
NEPHROURETERAL STENT,$273.25
SILVERHAWK CATHETER,"$9,624.75"
LEAD LINED STERILE GLOVES PAIR,$76.75
BREAST LOCAL NEEDLE,$52.50
SURGICAL SPECIMEN,$252.75
PERQ DEVICE BREAST 1ST IMAG LT,"$1,098.25"
PERQ DEVICE BREAST 1ST IMAG RT,"$1,098.25"
PERQ DEVICE BREAST 1ST IMAG BI,"$1,348.75"
PERQ DEVICE BREAST EA IMAG BI,"$1,348.75"
PERQ DEVICE BREAST EA IMAG LT,"$1,001.00"
PERQ DEVICE BREAST EA IMAG RT,"$1,001.00"
DIGITAL SCREENING MAMMO BILAT,$472.25
DIGITAL SCREENING MAMMO LEFT,$472.25
DIGITAL SCREENING MAMMO RT,$472.25
DIGITAL DIAGNOSTIC MAMMO BILAT,$514.75
DIGITAL DIAGNOSTIC MAMMO LEFT,$494.00
DIGITAL DIAGNOSTIC MAMMO RIGHT,$494.00
DIGITAL SCREEN TO DX BILAT,$514.75
DIGITAL SCREEN TO DX LEFT,$494.00
DIGITAL SCREEN TO DX RT,$494.00
OUTREACH DIGITAL SCREEN MAMMO,$472.25
TISSUE MARKER IMPLANTABLE,$152.75
DIGITAL BREAST TOMO LT SCREEN,$48.25
DIGITAL BREAST TOMO LT DIAG,$48.25
DIGITAL BREAST TOMO RT SCREEN,$48.25
DIGITAL BREAST TOMO RT DIAG,$48.25
DIGITAL BREAST TOMO BIL SCREEN,$48.25
DIGITAL BREAST TOMO BIL DIAG,$48.25
COMPLEX UROFLOWMETRY,$198.25
INTRAABDOMINAL VOIDING PRESS,$311.00
INJ CYSTOGRAM/VOID CYSTO,$486.25
CYSTOGRAM,$268.75
VOIDING CYSTOURETHROGRAM,$353.25
CMG CATHETER DUAL LUMEN,$71.50
RECTAL BALLOON CATHETER DUAL L,$68.00
DISPOSABLE TRANSDUCER,$118.75
INFUSION TUBING THICK,$8.25
PUMP (H20) INFUSION TUBING,$32.25
URETHRAL PRES PROFILE W/VOID,"$1,383.50"
EMG ANAL URETHRAL SPHINCTER,$421.00
PHLEBOTOMY FEE,$17.50
NON CHEMO SUBQ/IM INJECT,$127.00
MINIMAL OFFICE VISIT- NO CHEMO,$100.50
THERAPEUTIC PHLEBOTOMY,$128.75
CHEMO INSTILLATION BLADDER,$382.25
INJ IM OR SQ CHEMO NON-HORMONL,$225.00
INJ IM OR SQ CHEMO-HORMONAL,$249.50
PORT FLUSH ONLY,$71.00
HEPATIC PORT REFILL,$842.25
REFILL & MAINT OF PORT PUMP,$702.50
"HYDRATION IV INFUSION,INITIAL",$355.25
HYDRATE IV INFUSION EA ADDL HR,$108.00
THER/PROPH/DX IV INFUS INITIAL,$356.25
THER/PHOPH/DX IV INFUS EA HOUR,$89.25
TX/PHOPH/DX ADDL SEQ IV INFUS,$119.75
THER/DX CONCURRENT IV INFUSION,$119.75
"THER/PHOPH/DX INJ, IV PUSH",$173.25
THER/PHOP/DX INJ IV PUSH ADDON,$173.25
CHEMO IV PUSH SINGLE DRUG,$331.25
CHEMO IV PUSH EA ADDL DRUG,$297.00
CHEMO IV INFUSION 1ST HOUR,$421.25
CHEMO IV INFUSION EA ADDL HR,$333.50
CHEMO IV INFUS EA ADDL SEQUENT,$666.00
DECLOTTING A CATH OR PORT,$363.75
HEPATIC PUMP REFILL-NON CHEMO,$637.25
INIT PROLONGED CHEMO>8HRS-PUMP,$620.50
ADDL IV PUSH SAME DRUG,$126.25
INTRAPERITONEAL CHEMO,$482.00
NON CHEMO SUBQ/IM INJECT W/MOD,$127.00
IMMUNIZATION ADMIN 1 VACCINE,$113.50
MS7074 DEX 5% 50ML,$35.75
MS7353 SOD CHL 0.9% 100ML,$35.75
MS7352 SOD CHL 0.9% 50ML,$35.75
MS7351 DEX 5% 100ML,$35.75
MS7080 DEX 10% W 500ML,$70.50
MS7110 DEX 5% 0.9NS 500ML,$70.50
MS7071 DEX 5% W 250ML,$42.00
MS7200 SOD CHL 0.9% 500ML,$71.50
D5/NSS 1000ML,$78.00
MS7225  LR  1000ML,$81.75
MS7193 SOD CHL 0.45%1000M,$81.75
MS7194 SOD CHL 0.45% 500ML,$70.50
MS7223  LR  5% D 1000M,$81.75
MS7060 DEX 5% W 1000ML,$81.75
MS7070 DEX 5% W 500ML,$71.50
MS7190 SOD CHL 0.9%1000ML,$81.75
MS7114 DEX 5%45% NS 1000ML,$81.75
MS7115 DEX 5%45% NS 500ML,$71.50
MS7100 DEX 5% 0.9NS 1000ML,$81.75
MS7118 DEX 5% 0.2NS 500ML,$70.50
MS7188 SOD CHL 0.9% 250ML,$51.00
MS7069 DEX 5% W 500ML,$70.50
MS7230 LR  500ML,$70.50
MS7085 DEX 10% W 1000ML,$81.75
MS7123 S CHL 0.9% 500MLGL,$7.50
MS7300 D5% 45NS 20KCL 1000,$7.75
MS7121 POTASM CHL9% 1000,$3.75
MS7122 POTASM CHL9%1000,$3.50
MS7307 D 5%.9NS 2OKCL 1000,$3.50
MS7310 BURETROL SET17IN,$8.75
MS7333 S CHLORIDE.9% 500M,$2.50
MS7072 IV DEXTROSE 5%W 250ML,$8.25
MS7189 IV NS 9% 250ML,$10.00
MS7073 DEX 5% 100ML 2B0082,$3.00
MS7205 SOD CHL 9% 50ML2B1301,$2.25
MS7203 SOD CHL  9% 100ML2B1302,$6.50
MS7445 IV PLASMA LYTE A,$5.75
IPRATROPIUM HFA 1 PUFF,$9.00
ALBUTEROL 2.5 MG/0.5 ML CONC,$2.00
ALBUTEROL SULF INHAL .083% 3ML,$2.75
ALBUTEROL NEB 2.5 MG PRN,$5.75
BUDESONIDE 0.25 mg NEB PRN,$35.25
ALBUT/IPRATROP NEB PRN,$14.00
ACETYLCYSTEINE 20% PRN,$29.00
Racemic Epinephrine UD PRN,$7.00
INSTILD ACETYLCYSTEINE PRN,$29.00
BUDESONIDE 0.5 MG NEB  PRN,$35.50
SOD. CHLORIDE 10% NEB PRN,$4.75
SOD CHLORIDE 0.9% NEB PRN,$1.00
SOD CHLORIDE 3% NEB PRN,$5.50
ALBUTEROL 1 dose PRN,$1.00
FLUTICASONE220mcg 1dosePRN,$11.00
FlUTICASONE 110mcg 1dosePRN,$6.75
FLUTICASONE44mcg 1 dose PRN,$5.25
FLUTIC-SALMET 45\21 1dosePRN,$9.25
FLUTICSALMET115\21 1dosePRN,$11.50
FLUTICSALMET230\21 1dosePRN,$15.00
IPRATROPIUM 1 dose PRN,$4.25
IPRATROP-ALBUTER 1 dose PRN,$4.75
RESP FCN THER/15 MIN,$90.00
RESP FCN/STRENGH 2/> INDIV,$297.50
Pulm Rehab w exerc  1 hour,$297.50
SMOKING CESSATION 1ST VISIT,$50.00
SMOKING CESSATION 2ND VISIT,$30.00
SMOKING CESSATION 3RD VISIT,$30.00
INTENS CARDIAC REHAB NO EXER,$335.75
INTENS CARDIAC REHAB W/EXERC,$335.75
OXYGEN TRANSPORT,$100.75
OXYGEN CONN TUBING,$18.75
"CHEST PHYSIO, SUBSEQUENT",$97.75
"MDI THERAPY, INITIAL",$213.50
"AEROSOL THERAPY, SUBSEQUENT",$186.25
"RESPIRATOR, SUBSEQUENT DAY",$861.25
INTUBATION,$664.75
NASAL CANNULA,$12.75
MASKS,$45.00
AEROSOL TRAC MASK,$45.00
SIMPLE MASK,$45.00
VENTI MASK,$51.75
FACE TENT,$26.50
T PIECE,$11.25
ADAPTORS,$25.25
INCENTIVE SPIR.,$122.00
AEROSOL TUBING,$22.50
NT SUCTION PERTIME,$131.50
PRE FILL HUMID. SC,$55.50
PRE-FILL NEBALIZER,$100.75
TRACH SECURE,$42.25
NEBULIZER SET,$25.25
SUCTION SWIVEL Y,$58.25
Oxygen Daily,$445.50
BRONCHOSCOPY\WASHING,"$1,672.50"
TRACH ASST/CHANGE,$217.75
H2O TRAP,$18.75
CPAP/BIPAP/SHIFT MANAGEMENT,$307.00
"SPUTUM INDUCTION, INITIAL",$172.00
CAPNOMETRY,$197.50
THERMOMETER-ADAPT,$29.50
PULSE OX MULT DET,$310.25
CYTO-BRUSH,$43.00
MICRO-BIO-BRUSH,$87.00
TRANS-BRO-ASP-NEED,$154.00
DISP RESUSC MASK,$30.75
RESUSC MASK ADULT,$45.00
RESUSC MASK CHILD,$45.00
RESUSC MASK INFANT,$40.00
OXIMETRY SPOT CHEC,$76.50
DIR TIP CATH,$102.75
PEEP VALVE ASSEMBL,$36.00
DIS PO PROBE-ADULT,$76.25
PEAK FLOW METER,$64.75
RESUSCITATOR MASK,$108.25
OXY-EARS,$12.75
INHALER SPACER,$21.50
VENT-SETUP,$146.50
VENT CIRCUIT-CHANG,$84.75
"CHEST PHYSIO, INITIAL",$149.00
AEROSOL THER INIT,$213.50
STERILE H20,$21.50
BIPAP MASK,$54.50
DISP PEEP ADAPT,$43.00
OXYMIZER,$42.75
BIPAP-STRAP,$22.50
BIPAP CIRCUIT,$36.00
PALL-FILTER,$21.50
ETC02-MONITOR,$69.25
CARBOXY (HB) QUAN,$104.50
CARBOXY (HB) QUAL,$27.75
METHEMOGLOBIN QUAL,$22.25
METHEMOGLOBIN QUAN,$46.00
HEMOGLOBIN,$51.00
BITE BLOCK,$11.25
DIFFUSION STUDY,$185.75
MVV,$163.75
BRONCHO CHALL,$973.50
PENTAMADINE INHALE,$201.25
"O2 SAT, CO-OX",$89.25
VENT-INITIAL,"$1,016.00"
Large Volume Nebulizer,$47.50
ASPIRATE PLEURA W/O IMAGING,$885.25
NITROGEN WASHOUT,$245.00
SCREENING SPIROMETRY,$291.75
SPIROMETRY PRE-POST,$598.25
"MDI THERAPY, SUBSEQUENT",$186.25
OXYGEN PER HOUR,$19.50
ARTERIAL PUNCTURE,$63.50
NASAL WASHING PROCEDURE,$94.75
PROCEDURE ROOM 1ST 1/2 HOUR,$482.75
PROCEDURE ROOM EACH 1/2 HOUR,$68.50
BEDSIDE VITAL CAPACITY,$70.25
"PULMONARY STRESS TEST,SIMPLE",$486.50
"PULMONARY STRESS TEST, COMPLEX","$1,120.00"
INTUBATION SUPPLIES,$127.25
CARBOXY (HB) QUAN REPEAT,$104.50
CARBOXY (HB) QUAL REPEAT,$27.75
METHEMOGLOBIN QUAL REPEAT,$22.25
METHEMOGLOBIN QUAN REPEAT,$42.75
HEMOGLOBIN REPEAT,$51.00
NASAL WASHING REPEAT,$92.50
VENT-INITIAL OPT REDUCED,"$1,016.00"
ETAD TUBE HOLDER,$25.75
CONTINOUS NEB TX 1ST HOUR,$203.25
CONTINUOUS NEB TX EA ADD HR,$197.00
CONTINUOUS NEB SET UP,$62.00
MEDICAL AIR DAILY,$390.50
CPAP/CIPPAP SETUP VIA MASK,$108.50
CPAP/BIPAP SETUP VIATRACH,$101.00
OXYGEN TENT SET UP,$194.00
VEST AIRWAY CLEARANCE INIT TX,$118.25
VEST AIRWAY CLEARANCE SUBS TX,$97.75
ACAPELLA VALVE,$46.50
ACAPELLA INTIAL TX,$118.25
ACAPELLA SUBS TX,$97.75
smoking cess 3-10 minutes,$51.50
VEST FOR AIRWAY CLEAR DEVICE,$131.75
VENIPUNCTURE,$17.50
HIGH FLOW NASAL CANNULA,$11.50
HIGH FLOW BUBBLE HUMIDIFIER,$23.25
MISTY OX VARIABLE FLOW,$12.00
NASAL SUCKER TIP PEDIATRIC,$4.50
BINASAL AIRWAY 3.0,$21.50
NEOHOLD TUB AND CANN HOLDER,$1.75
DISPOSABLE HOSE FOR VEST,$13.50
CPAP SYSTEM,$139.50
NEO-BAR MACRO,$21.50
NEO-BAR JUMBO,$21.50
VENT CIRCUIT HEATED,$67.50
BIPAP CIRCUIT HEATED,$56.75
1000ML SOLUTION,$4.75
EZPAP,$42.75
NOCTURNAL PULSE OXIMETRY,$353.50
ARTERIAL PUNCTURE EACH ADDTL,$63.50
METANEB CIRCUIT,$213.75
Rescue Catheter,$146.00
pulm funct tst plethysmograp,$324.25
BRONCHOSCOPY/LAVAGE PRIOR,"$1,957.75"
BRONCHOSCOPY/BIOPSY PRIOR,"$1,957.75"
BRONCHOSCOPY/LAVAGE POST,"$1,957.75"
BRONCHOSCOPY/MARKERS POST,"$1,957.75"
Single use aspiration 21 guage,$201.25
Single use aspiration 22 guage,$157.50
BRONCHOSCOPY/WASHING prior,"$1,672.50"
BRONCHOSCOPY/BRUSHINGS,"$1,957.75"
BRONCHOSCOPY/LAVAGE,"$1,957.75"
BRONCHOSCOPY/BIOPSY,"$1,957.75"
Pulm Rehab w exerc  1 hour,$297.50
CATHETER EXTRAVASCULAR,"$3,328.25"
RESP FCN THER/15 MIN,$90.00
RESP FCN/STRENGH 2/> INDIV,$297.50
Vapotherm Circuit HF,$229.00
Aerogen neb,$105.75
Rad Jaw4 Bio Forcep,$73.00
BRONCH LUNG BX EACH,"$2,991.50"
BRONCH NEEDLE BX EACH,"$6,396.75"
NAVIGATIONAL BRONCHOSCOPY,$429.25
PERCUT BX LUNG/MEDIASTINUM,"$2,984.25"
SPIN PROCED KIT,"$2,537.50"
SPIN PROKIT WITH OPT PROBE,"$3,412.50"
SPINPERC KIT,$800.00
TIP TRAC 19GA HIST NEEDLE,"$1,200.00"
TIP TRAC 21GA CYTO NEEDLE,"$1,200.00"
TIP TRAC 22GA NITINOL NEEDLE,"$1,800.00"
TIP TRAC FORCEP OVAL,"$1,200.00"
TIP TRAC FORCEP SERRATED,"$1,200.00"
TIP TRAC GUIDE 735MM,$506.25
TIP TRAC GUIDE 950MM,$506.25
TIP TRACKED BRUSH,"$1,200.00"
VIEW OPTICAL PROBE,"$1,000.00"
VIEW PERIPH CATH,"$1,700.00"
VPAD2 CONNECTOR CABLE,$550.00
VPAD2 PATIENT TRACKER,$800.00
GUIDE SHEATH KIT,$292.00
Smart Capnoline Plus,$31.50
Smart Capnoline O2 Plus,$34.25
AMBU ASCOPE3,$590.00
FOREHEAD SPO2 PROBE,$47.25
VENT CIRCUIT NON HEATED,$67.50
ECHO 2D/M-MODE,"$1,011.00"
ECHO 2D/M-MODE LTD,$865.50
TEE,"$1,868.50"
TTE CONG ANOM,"$2,264.00"
TTE CONG ANOM LTD,"$1,100.25"
TEE CONG ANOM,"$1,967.25"
TILT TABLE STUDY,$524.25
CW/PW DOPPLER LTD,$534.25
TEE ABORTED,"$1,671.75"
STRESS ECHO INCOMPLETE,$960.00
STRESS ECHO COMPLETE,$960.00
STRESS TEST INCOMPLETE,"$1,254.75"
STRESS TEST COMPLETE,"$1,254.75"
REMOTE PT 30 DAY ECG REV/REPT,$195.75
CW/PW DOPPLER COMPLETE,$382.25
DOPPLER COLOR FLOW INCOMPLETE,$606.25
DOPPLER COLOR FLOW COMPLETE,$495.00
"PERFLUTREN LIPID MICRO, 2ML",$407.00
COMPLETE TTE,"$2,371.25"
ECG/MONITORING AND ANALYSIS,$335.25
EXT ECG RECORDING 48HRS-21DAYS,$281.50
ECHO TRANSESOPHAGEAL (TEE) 3-D,$612.75
TTE W OR WO FOL WCON DOPPLER,"$2,069.50"
2D TTE W OR W/O FOL W/CON FU,"$1,273.25"
CR MONTHLY FEE PHASE III,$25.00
CARDIAC REHAB COMPLETE,$195.25
"CR COMPLETE, NON-MONITORED",$236.25
PAD REHAB PER SESSION,$150.00
SMOKING CESSATION 1ST VISIT,$50.00
SMOKING CESSATION 2ND VISIT,$30.00
SMOKING CESSATION 3RD VISIT,$30.00
RHYTHM STRIP,$69.25
12 LEAD ECG,$205.75
12 LEAD EKG-SAME DAY SAME MD,$205.75
12 LEAD EKG-SAME DAY-DIFF MD,$205.75
