CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
531,SIZER 290CC 351-3290S,$180.00 
532,IMPLANT BREAST #350-3004 300cc,"$3,019.50 "
533,IMPLANT BREAST #350-3504,"$3,019.50 "
534,IMPLANT BREAST #350-2504 250CC,"$3,145.50 "
535,GRAFTJACKET 5X5 #86MX-5X05,"$15,795.00 "
536,NEEDLE SCORPION #AR-1399ON OLD NUMBER,$630.00 
537,ANCHOR MICRO QUICK  #212865,"$2,371.50 "
538,TWINFIX #72200755,$842.58 
539,GRAFT VASCULAR 22X11 02085221,"$4,332.83 "
540,GRAFT VASCULAR 20X10 085201,"$4,332.83 "
541,BIOMET TIBIA #141232,"$4,725.00 "
542,BIOMET BEARING #189040,"$4,050.00 "
543,BIOMET FEMUR #183022,"$20,124.00 "
544,SCREW #201.766,$290.02 
545,SCREW #212.820,$530.55 
546,SCREW #458.960S,"$1,029.38 "
547,SCREW #458.932S,"$1,029.38 "
548,SCREW #458.930S,"$1,029.38 "
549,SUTURE TICRON 2-0 #3259-52,$33.84 
550,SCREW #207.620,$703.08 
551,DRILL BIT #310.288,$405.00 
552,DRILL BIT #310.24,$325.67 
553,STAPLER TA 30 #TA3048S,$403.47 
554,STAPLER RELOAD TCR55,$178.29 
555,STAPLER BLUE TLC55,$332.68 
556,SCREW #214.556,$904.50 
557,BRACE SHOULDER W/INSERT #52551109150,$151.88 
558,BRACE KNEE DJ #11-9105-9do not use,"$1,819.13 "
559,HIP PAC DISPOSABLE,$947.70 
560,K-WIRE #KM172-19-35,$10.89 
561,K-WIRE #KM168-19-33,$12.42 
562,K-WIRE #KM172-24-54,$10.89 
563,K-WIRE #KM172-24-62,$10.89 
564,K-WIRE #KM168-19-56,$12.42 
565,TRACH #6CFS,$129.01 
566,FIXATOR LOW PROFILE WRIST,"$7,312.45 "
567,GUIDEWIRE #292.10,$398.25 
568,WASHER #219.951,$401.76 
569,SUTURE SURGIPRO 7-0 #VP713X,$41.49 
570,K-WIRE #KM172-19-54,$10.89 
571,K-WIRE #KM172-19-45,$9.41 
572,SMOKE EVACUATION SYSTEM SC062500,$132.75 
573,NAIL #456.414S,"$8,649.59 "
574,STAPLER RELOAD #CR40B,$829.17 
575,STAPLER CONTOUR CURVED #CS40B,"$1,489.00 "
576,JURGAN BALL 54MM,$33.30 
577,STAPLER TA 90 #TA9035S,$449.28 
578,STAPLER RELOAD TA 90 #TA9035L,$216.00 
579,STAPLER RELOAD ENDO GIA #030456,$762.48 
580,SUTURE VICRYL 2-0  #J443H,$7.79 
581,BLADE #5301-30-171,$204.66 
582,BURR #1608006147,$149.17 
583,BURR #277-10-418,$36.14 
584,BLADE #5301-30-63,$56.57 
585,NEEDLE BRACHY SINGLE 18 X 20CM   #918201,$24.93 
586,SCREW #206.055,$78.44 
587,GRAFT 14X7X40 #085147,"$2,770.56 "
588,MESH 3D MAX RL #0117321,$908.10 
589,MESH 3D MAX #0117311,$908.10 
590,BLADE #462.638S,"$2,838.38 "
591,GLIDEWIRE #GR3501,$137.95 
592,CATHETER EMBOLECTOMY #120803F,$144.18 
593,BIOMET FEMUR 67.5MM #183010,"$9,112.50 "
594,SCREW 2.7MM X 50MM CORTEX T8,$172.13 
595,SHOE POST OP MALE SM 79-90183,$20.21 
596,TIP FOR PULSAVAC,$62.69 
597,SCREW #208.865,"$1,161.00 "
598,IMPLANT BREAST #350-6504BC 650CC,"$3,019.50 "
599,SCREW #458.934S,"$1,179.40 "
600,GUIDEWIRE #292.656,$195.25 
601,SCREW #458.826S,"$1,029.37 "
602,CORNERSTONE 4MM   #6277741,"$3,849.30 "
603,SCREW #212.214,$658.13 
604,SCREW #212.217,$658.13 
605,SCREW #212.218,$658.13 
606,POSTERIOR AUG 4MM #960906,"$4,419.90 "
607,BOLT #960784,"$1,629.22 "
608,MBT 5 #129435150,"$21,551.40 "
609,PATELLA 41 #960113,"$3,080.25 "
610,ADAPTER 5 #960781,"$9,628.20 "
611,FEMORAL TC3 5 #960090,"$32,022.90 "
612,SPACER MODULAR -3MM #1363-0-8000 DEPUY,"$1,413.00 "
613,HEAD #136352000,"$2,025.00 "
614,SUMMIT SIZE 5 #157005110,"$6,750.00 "
615,HEAD MODULAR 45MM #1363-45-000 DEPUY,"$2,400.75 "
616,SCREW #202.878,$172.13 
617,SCREW #202.876,$197.23 
618,SCREW #212.824,$530.55 
619,NEEDLE DELIVERY SYS. DLS-7103-01S,$256.50 
620,LENS #MN60MA,$670.50 
621,NAIL #5941-0002,"$14,053.50 "
622,BONE CHIPS 30CC #AT809FD,"$2,250.00 "
623,SCREW #5941-2518,"$1,008.00 "
624,SCREW #5941-2710,$513.00 
625,SCREW #5941-2520,"$1,008.00 "
626,PLATE #02.001.324,"$8,934.30 "
627,BLADE MOUTH GAG #5 #450-166,$277.60 
628,BLADE MOUTH GAG #4 #450-162,$277.60 
629,BLADE MOUTH GAG #3 #450-161,$277.60 
630,BLADE MOUTH GAG #2 #450-160,$277.60 
631,WASHER #219.91,$137.25 
632,DRILL BIT #310.530,$645.75 
633,BIOMET FEMUR #183014,"$9,112.50 "
634,SINGER TRAP SINGLE LG. DISP A-30522-2,$121.50 
635,SINGER TRAP SINGLE MED.YELLOW DISPOSABLE,$92.00 
636,SINGER TRAP SINGLE SM RED DIS A30522-S,$103.50 
637,SCREW #91.2009,$450.00 
638,PLATE #01.9224,$553.50 
639,HEAD UNI 50 1363-50-000,"$1,462.50 "
640,NEEDLE 30GX 1  - 305128,$0.27 
641,TUBE DOBBHOFF/KANGAROO FEEDING,$55.26 
642,ROLLER BALL 880-401,$289.94 
643,SCREW #201.768,$290.02 
644,SCREW #201.772,$273.38 
645,SCREW #202.872,$172.13 
646,SCREW 2.7 CORTEX S/T,$197.23 
647,PLATE #242.468,"$4,418.55 "
648,SCREW #212.812,$530.55 
649,LEAD HAND 225-520,$687.51 
650,SPLINT NASAL SPLINT #1527015,$92.43 
651,BURR FOR EYE CASES   #K2-4925,$192.00 
652,GLOVE BIOGEL 6 NON LATEX,$6.53 
653,SCREW #91.2305,$319.50 
654,PLATE #01.8050,"$1,125.00 "
655,SURGITIE #SGL3,$75.83 
656,BURR #16-S0115,$65.25 
657,SCREW #201.016,$129.06 
658,SHAVER INCISOR ELITE 3.5 #72200095,$495.00 
659,EYE SPEC. BARRAQUER 350-093,$98.60 
660,SOLUTION DUO-VISC .35/.40 8065183135,$229.50 
661,CLAMP #395.133,"$2,762.10 "
662,CLAMP #395.125,"$3,462.75 "
663,STENT PIGTAIL 7X22 5607022,$270.00 
664,GRAFT IMPRA #F70T74TSC,"$4,104.00 "
665,SCREW #202.024,$135.81 
666,GRAFT #CF5006C,"$2,565.00 "
667,SUTURE POLYSORB 2-0 #L-39,$18.54 
668,SUTURE ETHILON 9-0 #2813G,$43.29 
669,BIOMET FEMUR #183054,"$10,912.50 "
670,INSTRUMENT OSTEOTOME FLAT FLEX 515,"$1,044.00 "
671,INSTRUMENT OSTEOTOME FLAT FLEX 510,"$1,044.00 "
672,INSTRUMENT OSTEOTOME FLAT FLEX 512,$981.00 
673,BIOMET BEARING #189080,"$4,050.00 "
674,BIOMET TIBIAL PLATE #141234,"$4,725.00 "
675,SCREW #103532 6.5 X 25MM,$337.50 
676,BIOMET HEAD #11-363661,"$2,925.00 "
677,STENT DBL PIGTAIL 6FR. 26CM 5606026,$270.00 
678,STENT URETERAL 7X24 #5607024,$229.50 
679,BIOMET STEM #X181312,"$9,562.50 "
680,MESH 3X6 #0112680,$179.10 
681,SUTURE MAXON #6319-72,$23.40 
682,STENT URETERAL 6X28 #SSC6028,$306.00 
683,MESH FLEX HD #472812,"$15,389.01 "
684,MIXING KIT BIOMET 417200,"$1,120.50 "
685,CATHETER HEMOSPLIT #5733730,"$1,227.11 "
686,K-WIRE #144256,$109.44 
687,DRILL BIT #2141-13-032,$560.48 
688,DRILL PIN CALIBRATED 3.5 DEPUY 829032009,$304.61 
689,SCREW #815045534,$412.97 
690,SCREW #815045536,$412.97 
691,SCREW #815045540,$412.97 
692,SCREW #815045545,$412.97 
693,SCREW #815355075,$471.96 
694,GUIDEWIRE #7207775,$155.53 
695,SUTURE SURGIPRO 6-0 #VP718X,$30.92 
696,SCREW #202.640,"$1,109.70 "
697,PLATE #245.081,"$2,336.85 "
698,BLADE SAW #5400-003-254S1,$172.08 
699,NEEDLE KEITH ANCHOR SZ2 STRAIGHT,$23.63 
700,SUTURE SILK 5-0 #N271H,$30.03 
701,BLADE HELICAL #456.308S,"$2,689.88 "
702,SCREW #AT2-M30-S,"$2,322.00 "
703,DRILL BIT #AT2-ML1813,"$1,251.00 "
704,SUTURE CHROMIC GUT 5-0 #687G,$20.21 
705,GRASPER SUTURE  #PMI-TC-SG PROGRESSIVE,$393.75 
706,SCREW #200.009,$75.91 
707,SUTURE POLYSORB 2-0 #UL878,$7.97 
708,PLATE #243.14  4H,$313.24 
709,VACURETTE FLEXTIP CURETTE 6MM,$16.56 
710,VACURETTE FLEXTIP CURETTE 7MM,$16.54 
711,SCREW #200.008,$130.77 
712,BLADE #462.644S,"$2,835.00 "
713,NEEDLE ANGIOCATH 20 GA 1.88,$15.75 
714,CATHETER HICKMAN 12FR #0600620,$585.00 
715,REAMER 309.065,"$1,815.75 "
716,SCREW #242.477,"$2,381.40 "
717,SUTURE PLAIN GUT 6-0 #G1770K,$42.03 
718,ADSON CEREBELLON RETRACTOR,$387.77 
719,GELPORT 120MM C8XX2NONCE,"$2,587.50 "
720,BIOMET FEMUR #183006,"$9,112.50 "
721,BIOMET BEARING #189064,"$4,050.00 "
722,BIOMET TIBIAL PLATE #141236,"$4,725.00 "
723,BIOMET BEARING #189124,"$4,050.00 "
724,BIOMET FEMUR #183012,"$9,112.50 "
725,SHAVER ORBIT 4.5 #7205323,$247.50 
726,SCREW #CO-3120,$400.50 
727,SCREW #CO-3140,$400.50 
728,SCREW #COL-3120,$513.00 
729,SCREW #COL-3140,$513.00 
730,INSULATED BLADE CAUTERY TIP E1450-6,$15.75 
731,MESH 2X4 #0112710,$235.80 
732,CLIP APPLIER MED #544965,"$5,373.00 "
733,CLIP WECK HEM-O-LOK MED 544230,$4.92 
734,CLIP WECK HEM-O-LOK LARGE 544240,$4.92 
735,NEEDLE 25GA 1  305125,$0.12 
736,MESH VENTRIO LG CIRCLE 11X14 5950040,"$3,821.85 "
737,BURR #5220-10-40,$339.61 
738,BURR #5120-15-140,$353.93 
739,BLADE #6125-137-90,$222.52 
740,SCREW #212.208,$761.40 
741,ZZZBLADE SAW #2296-003-108S5 don't use,$178.96 
742,PLATE #242.467,"$4,175.55 "
743,SCREW #201.776,$290.02 
744,SCREW #201.774,$253.13 
745,SCREW #201.780,$251.10 
746,SCREW #(222.548old) New 02.205.090,"$1,013.17 "
747,SCREW #02.205.085,"$1,024.65 "
748,SCREW #02.205.060,$884.25 
749,SCREW #02.205.055,$884.25 
750,CUP BIOMET #11-165216,"$2,925.00 "
751,SCREW #COL-3100,$513.00 
752,SCREW #CO-3200,$400.50 
753,SCREW #CO-318,$400.50 
754,SCREW #COL-3160,$513.00 
755,BLADE DERMATONE #8802-02,$413.96 
756,SCREW #COL-3200,$513.00 
757,SCREW #CO-2716,$400.50 
758,BLADE ENDO PLANTAR FASCIAL  AM96BLD1,"$4,495.50 "
759,HEAD FEMORAL DEPUY   1.5 #1365-11-000,"$2,250.00 "
760,NAIL #04.001.224S,"$8,305.88 "
761,BIOMET FEMUR #183046,"$10,912.50 "
762,BIOMET BEARING #189044,"$4,050.00 "
763,SCREW #COT-2314,$486.00 
764,SCREW #COT-2316,$486.00 
765,SCREW #COT-2318,$486.00 
766,SCREW #COT-2320,$486.00 
767,BIPOLAR HEAD #1035-51-000,"$2,700.00 "
768,STEM 7 STR DEPUY 157001135,"$11,250.00 "
769,SCREW #CO-3100,$400.50 
770,SCREW #CA-4140,$400.50 
771,SCREW #212.215,$658.13 
772,SCREW #04.005.534S,"$1,158.30 "
773,CAP END 12MM  #04.003.003S,$958.50 
774,SCREW #04.005.532S,"$1,009.13 "
775,K-WIRE #KM172-29-45,$10.89 
776,SCREW #02.207.075,"$1,312.88 "
777,BIOMET BEARING 63MM #189020 BIOMET,"$4,050.00 "
778,PLATE #141231,"$4,725.00 "
779,STENT PIGTAIL 6X22 5606022,$270.00 
780,FASCIA LATA GRAFT 7X13 #400270,"$2,812.95 "
781,DRILL BIT #511.414,"$1,330.24 "
782,NAIL 11 X 360MM  #04.013.552S,"$8,569.21 "
783,BLADE  #04.013.046S,"$3,102.30 "
784,END CAP ONM EXT,$958.50 
785,BURR #5820-10-240,$475.96 
786,MESH VENTRALIGHT 2.0 ECHO 20X25,"$7,798.50 "
787,CEMENT MIXER BOWL #419-000 *DO NOT USE,$472.00 
788,TUBING LIPO 24-5103-00,$67.05 
789,EBI BONE STIMULATOR 10-1320M,"$36,288.00 "
790,IMPLANTABLE STIM 2-LEAD EBI 10-1348M,"$35,208.00 "
791,BIOMET FEMUR #183044,"$10,912.50 "
792,HEAD MODULAR 36MM BIOMET,"$2,925.00 "
793,BIOMET SCREW #103530,$337.50 
794,SCREW #103531,$337.50 
795,SCREW #103532,$337.50 
796,NEEDLE SCORPION #AR-13991N,$630.00 
797,SCREW #294.785  DELETED,$853.88 
798,SUTURE POLYSORB 2-0 #CL830,$6.57 
799,BLADE #378828,$76.50 
800,CATHETER #021304,$62.43 
801,SCREW #212.225,$658.13 
802,SCREW #212.220,$658.13 
803,SCREW #02.205.050,$884.25 
804,HEAD DEPUY 40 +5 1365-06-000,"$4,050.00 "
805,PLATE #PL-LEM-16,"$5,107.50 "
806,SCREW #CO-3220,$400.50 
807,SCREW #CO-3240,$400.50 
808,SCREW #CO-3280,$401.00 
809,SCREW #COL-3240,$513.00 
810,SCREW #COL-3260,$513.00 
811,SCREW #COL-3180,$513.00 
812,TRACH HOLDER ADULT MEDICHOICE TTH1001,$7.61 
813,CEMENT DEPUY #5450-35-500,$741.19 
814,SCREW #206.010,$78.44 
815,SCREW #280.310S,"$1,758.38 "
816,STENT 7X26 ACMI #56070226,$270.00 
817,SCREW #212.126,$645.79 
818,SCREW #212.127,$645.79 
819,SCREW #212.129,$563.63 
820,DRILL BIT #324.214,$779.63 
821,DRILL BIT #310.23,$486.00 
822,DISTAL AUG 8MM SZ 4 960882,"$4,419.90 "
823,FEMORAL DEPUY 960083,"$26,030.70 "
824,BOLT #96-0783,"$2,025.00 "
825,PIN 2MM ACUMED WS2009ST,$90.00 
826,STENT 6X24 ACMI 5606024,$270.00 
827,HEAD DEPUY 1035-52-000,"$2,700.00 "
828,BIOMET BEARING #159553,"$5,449.50 "
829,SUTURE VICRYL 0 #J870H,$5.98 
830,CEMENT MIXER  BOWL NEW #600-40-020,$326.48 
831,BIOMET PATELLA #184766,"$2,025.00 "
832,BIOMET BEARING #189120,"$4,050.00 "
833,TEETH GUARDS 48/CS,$9.00 
834,SCREW #AT2-M20-S,"$2,322.00 "
835,SCREW #214.548,$904.50 
836,CEMENT EXACTECH #13A2101,"$3,622.50 "
837,SCREW #CO-2712,$400.50 
838,SCREW #CO-3160,$400.05 
839,STAPLER CURVED ILS STD CDH25A,$886.90 
840,STAPLER ILS CURVED 33MM,$886.90 
841,GUIDEWIRE 2.0 #292.20,$430.11 
842,SCREW #202.715,$894.38 
843,SCREW #202.715,"$1,110.00 "
844,SCREW #202.714,$894.38 
845,BLADE #277-96-325,$115.96 
846,SCREW #201.760,$253.12 
847,SCREW #212.814,$595.35 
848,EXACTECH EUDOPROTHESIS #102-20-47,"$2,700.00 "
849,SLEEVE UNIPOLAR L-SERIES +0MM,$675.00 
850,SLEEVE L-SERIES 102-60-03,$675.00 
851,HEAD UNIPOLAR L-SERIES,"$2,700.00 "
852,SLEEVE EXACTECH 102-60-97,$675.00 
853,ENDOPROSTHESIS EXACTECH 102-20-46,"$2,700.00 "
854,TIBIAL TRAY PHASE 3 BIOMET 154718,"$7,875.00 "
855,BURR #5820-10-140,$475.97 
856,BIOMET BEARING #189042,"$4,050.00 "
857,LOCKING BAR #141205,"$1,080.00 "
858,GUIDEWIRE #620-110,$55.44 
859,SLEEVE EXACTECH 102-60-00,$675.00 
860,BURR #1608-2-43,$168.48 
861,SUCTION 12FR. 4  09-8312,$64.80 
862,SCREW #CA-4120,$427.50 
863,SCREW #CA-4160,$535.50 
864,DRAIN BLAKELY 19 FR ROUND,$237.60 
865,SLEEVE STERILE GOWN,$2.61 
866,K-WIRE #KM172-29-28,$10.89 
867,K-WIRE #KM168-29-56,$12.42 
868,IMPLANT BREAST #350-3501BC,"$3,145.50 "
869,SPONGE NEURO STERILE 1/2 X 3,$1.47 
870,SCREW #206.030,$78.44 
871,PATTIES 30-057,$15.26 
872,SCREW #208.910,"$1,405.35 "
873,CLEAR-TRAC SYSTEM 8.5 #72200903 use,$111.60 
874,SUTURE RETRIEVER S&N #013593,$123.84 
875,MESH PROCEED #PCDN1,"$2,079.32 "
876,BIOMET FEMUR #183050,"$10,912.50 "
877,ADAPTIC GAUZE 3X8 6113,$2.57 
878,PINNACLE INTRODUCER SHEATH 9FR RSS901,$45.00 
879,SLING HALO OBTRYX,"$3,541.05 "
880,SPANDAGE #10 NETBND10,$89.55 
881,IMPLANT BREAST #350-8004BC,"$3,019.50 "
882,STENT PERCUFLEX PLUS 4.8X24 175-252-05,$590.44 
883,STENT PERCUFLEX PLUS 4.8X26 175-253-05,$475.78 
884,STENT PERCUFLEX PLUS 4.8X20 175-250-050,$590.58 
885,PATELLA #KPON-TP32,"$1,125.00 "
886,HEMACLIP LIGA MEDIUM 523100,$80.95 
887,SCREW #815455075,$224.46 
888,SCREW #815355070,$471.96 
889,SCREW #815045532,$412.97 
890,SCREW #14022-36,$112.86 
891,COVER LIGHTHANDLE,$5.72 
892,IVUS CATH PV 8.2 88900,"$4,725.00 "
893,CATHETER #14-552,"$1,025.78 "
894,SHOULDER IMMOBILIZER XXLARGE 9008-05,$131.45 
895,DRESSING XEROFORM 5X9 #8884437100,$8.68 
896,SCREW #AT2-M24-S,"$2,322.00 "
897,LENS #MA60MA,$558.00 
898,ANCHOR SUTURE #72201541,"$1,099.35 "
899,TRAY TIBIAL BIOMET 154720,"$7,875.00 "
900,SCREW #212.828,$421.20 
901,REAMING ROD W/EXTENSION 2.5MM,$429.75 
902,BLADE #456.301S,"$3,333.75 "
903,NAIL #456.412S,"$8,008.88 "
904,SCREW #212.427,$522.45 
905,SCREW 1.5MM CORTEX #200.011 SYNTHES,$151.87 
906,BIOMET FEMUR #183034,"$9,112.50 "
907,HUMERAL STEM EXACTECH #300-01-13,"$8,775.00 "
908,STEM EXACTECH 300-001-15,"$8,998.88 "
909,LINER HUMERAL   #320-38-00,"$3,600.00 "
910,SCREW KIT REV SHOULDER    #320-20-00,"$1,800.00 "
911,SCREW REV SHOULDER LOCK   #320-15-05,$540.00 
912,ADAPTER HUMERAL  #320-10-00,"$8,100.00 "
913,COMPONENT GLENOSPHERE #320-01-38,"$5,737.50 "
914,PLATE GLENOID REV SHOULDER #320-15-01,"$6,075.00 "
915,SCREW #320-20-34,$517.50 
916,SCREW REV SHOULDER  #320-20-26,$517.50 
917,SCREW #320-20-30,$517.50 
918,BIOMET STEM #181314,"$9,562.50 "
919,SCREW #02.205.045,$884.25 
920,PREP KIT DEPUY 5461-01-000,"$1,629.00 "
921,SHELL ACETABULAR 52MM DEPUY 1217-32-052,"$5,400.00 "
922,HEAD +1.5 DEPUY 1365-51-000,"$4,050.00 "
923,SCREW #1217-15-500,$337.50 
924,SCREW #202.716,$894.38 
925,TUBE GASTRO LOW VOLUME 16 FR 0100-16LV,$124.88 
926,COBAN 2  LATEX FREE 2082,$5.15 
927,BIOMET FEMUR LT POROUS  #183068,"$10,912.50 "
928,BIOMET FEMUR #183070,"$10,912.50 "
929,BIOMET BEARING #189084,"$4,050.00 "
930,GOWN STERILE XXLARGE DYNJP2803,$14.85 
931,BURR #5820-107-30,$475.96 
932,HEAD 163668 BIOMET,"$2,925.00 "
933,BIOMET FEMUR #183066,"$10,912.50 "
934,SCREW #320-20-42,$517.50 
935,SCREW COMPRESSION  #320-20-22,$517.50 
936,STEM HUMERAL #300-01-09,"$8,998.88 "
937,HARMONIC FOCUS SHEARS/THYROID HAR9F,"$2,682.50 "
938,BIOMET FEMUR 60MM #183004,"$9,112.50 "
939,SCREW #AT2-M22-S,"$2,322.00 "
940,LASER FIBER/RENTAL FOR TEC,"$7,312.50 "
941,SCREW #AT2-M26-S,"$2,322.00 "
942,SUTURE MONOSOF 5-0 #SN5690,$15.44 
943,PLATE #249.916,"$1,238.63 "
944,SCREW #201.652,$216.00 
945,STEM POROUS BIOMET  #X181308,"$9,000.00 "
946,BIOMET BEARING #189086,"$8,001.00 "
947,CEMEX PREP KIT KIT-01,"$1,575.00 "
948,PLATE #01-9224,"$2,245.50 "
949,SCREW #208.870,"$1,161.00 "
950,LINER EXACTECH 320-38-13 38MM REVERSE SH,"$3,777.39 "
951,PURSESTRING #45 DISP. SUB FOR 65 020730,$331.65 
952,SUTURE TICRON #3147-83,$77.86 
953,SHOULDER IMMOBILIZER XXXLARGE,$131.45 
954,BOLT LOCKING 4.0MM LOCKING  458.832S,"$1,027.13 "
955,BOLT LOCKING 458.830S DISCONTINUED,"$1,029.38 "
956,FIBER LOOP AR-7234(DO NOT ORDER),$202.50 
957,RESTON FOAM PAD 1561H,$11.25 
958,COLLAR MIAMI J LONG/TALL LARGE,$616.45 
959,HEAD MODULAR 28MM +3 BIOMET,"$1,800.00 "
960,GENERATOR PACEMAKER #SESR01,"$17,739.00 "
961,FILTER VENA CAVA TRAPEASE 466P306AU,"$2,677.50 "
962,SYRINGE INFLATION #IN4130 S/R ORDER,$99.00 
963,PACEMAKER ADAPTA ADDRL1,"$18,450.00 "
964,LEAD CAPSURE SENSE 4074-58,"$2,290.50 "
965,GUIDEWIRE #GR3508,$174.38 
966,MESH PARIETEX #TECR1510,$207.90 
967,SCREW #458.944S,"$1,029.38 "
968,ADAPTER HUMERAL SHOULDER #118001 BIOMET,$900.00 
969,STENT DOUBLE PIGTAIL 6.0 x 24cm 5616024,$216.00 
970,FEMUR SIZE3 LT #940013,"$6,750.00 "
971,PATELLA 35MM DEPUY,"$3,080.25 "
972,STEM POROUS,"$8,925.00 "
973,BIOPOLAR SHELL 6 STANDARD,"$2,700.00 "
974,STEM SUMMIT STD 1570-01-090,"$11,250.00 "
975,LASER FIBER 1000,"$4,574.25 "
976,CUP CUTTER #5200-54,"$3,375.00 "
977,SCREW #02.205.035,$773.55 
978,INSERT 5 X10 #962051,"$5,400.00 "
979,FEMUR RT. #5,"$6,750.00 "
980,STEM TRILOCK 4 STD,"$10,500.00 "
981,SCRUB ENDO #1912010,$229.23 
982,SCRUB ENDO #1912000,$324.00 
983,HEAD FEMORAL  +5 DEPUY 1365-12-000,"$2,250.00 "
984,STEM FEMORAL SZ5 145MM DEPUY,"$10,350.00 "
985,CLAMP SYNTHES,"$1,701.00 "
986,SCREW #294.786,"$8,563.88 "
987,FEMUR 3 (RT),"$6,750.00 "
988,MBT TIBIAL TRAY DEPUY  2.5,"$5,040.00 "
989,INSERT DEPUY,"$5,400.00 "
990,STEM HIGH 1012-14-060,"$11,250.00 "
991,SUTURE VICRYL 0 #J207G,$7.20 
992,SUTURE VICRYL 2-0 J206G,$7.34 
993,LENS RESTOR #SN6AD1,"$4,027.50 "
994,K-WIRE #KM168-19-76,$12.42 
995,REAMER HEADER 8MM CANN,"$1,008.00 "
996,HEAD MODULAR #56,"$2,025.00 "
997,STEM #8 SUMMIT,"$11,250.00 "
998,KWIRES  KM168-19-18 Brassler,$14.56 
999,CUP ACETABULAR SZ 24 X 58MM BIOMET,"$8,662.50 "
1000,TRAY MBT REVISION,"$25,982.77 "
1001,TROCAR VERSAPORT PLUS 10-15MM  BLADELESS,$192.74 
1002,LEAD CAPSURE SENSE 4574-53CM,"$2,290.50 "
1003,TRAY MBT TIBIAL SZ 4 DEPUY 1294-34-140,"$5,400.00 "
1004,FEMORAL PORO HEAD,"$6,750.00 "
1005,INSERT DEPUY ORTHO #96-2052,"$5,400.00 "
1006,CEMENT DEPUY #3322-020,$146.25 
1007,PINS QUICK DRILL  DEPUY,$787.50 
1008,FEMUR 4 (RT),"$6,750.00 "
1009,INSERT TIBIAL CURVED  4X12.5,"$5,400.00 "
1010,TIBIAL MBT TRAY SZ 3,"$5,400.00 "
1011,SCREW #202.220,$610.96 
1012,SCREW #202.218,$610.96 
1013,SCREW #201.656,$232.88 
1014,STEM FEMORAL SZ 7  DEPUY,"$11,250.00 "
1015,SCREW #30-0650,"$2,691.00 "
1016,SCREW LOCKING 3.5MM #212.125,$645.79 
1017,COBLATOR WAND ARTHRO ENT #EICA8872-01,$926.91 
1018,SCREW #209.910,"$1,330.24 "
1019,KWIRE 5/32,$18.45 
1020,HEAD 2MM DEPUY,"$2,250.00 "
1021,STENT 7X26 #5617026,$216.00 
1022,SLEEVE STERILE,$3.06 
1023,BATTERY DISPOSABLE,$360.00 
1024,SCREW #294.56,$496.13 
1025,BLADE #6125-127-90,$256.50 
1026,LAP BAND STANDARD SYSTEM #B-2240(APOLLO),"$13,801.50 "
1027,FEMUR DEPUY SZ 3 RIGHT,"$6,750.00 "
1028,INSERT  DEPUY,"$5,400.00 "
1029,SCREW #212.131,$563.63 
1030,LENS TORIC #SN6AT5,"$2,124.00 "
1031,CEMENT OPTIVAC 120GR,"$1,066.50 "
1032,MOLD CEMENT SPACER,"$5,665.50 "
1033,SUTURE ULTRABRAIDED #7210914,$77.63 
1034,CAUTERY TIP EXTENDER #E1455-6,$14.90 
1035,PLATE #01.9204,"$1,458.00 "
1036,STEM FEMURAL,"$11,250.00 "
1037,INSERT TIBIAL   #962352,"$12,258.00 "
1038,UTERINE MANIPULATOR UM-700 DO NOT ORDER,$247.50 
1039,IMPLANT BREAST #350-5504BC,"$3,019.50 "
1040,SCREW #212.202,$658.13 
1041,SCREW #02.207.090,"$1,504.26 "
1042,SUTURE TICRON #3093-51,$7.96 
1043,SCREW #201.018,$139.41 
1044,SCREW #02.205.290,$897.16 
1045,MESH PARIETEX #PC015X,"$2,667.24 "
1046,NAIL 11MM X130MM (R)  #456.424S,"$8,008.88 "
1047,SCREW #02.205.265,$907.20 
1048,SCREW #02.207.085,"$1,023.75 "
1049,STEM TRILOCK 1012-14-040,"$11,250.00 "
1050,LENS TORIC #SN6AT3,"$2,124.00 "
1051,PINS STERILE THREADED 9505-02-303 DEPUY,$787.50 
1052,FEMORAL SLEEVE FULL POROUS UNIVERS 40MM,"$18,397.12 "
1053,TROCAR NONBLADED 8MM #C0Q19,$157.50 
1054,TIBIA #5 129434150,"$5,400.00 "
1055,GUIDEWIRE NONTHREADED I14NT,$54.00 
1056,SCREW #202.214,$533.25 
1057,SCREW #202.216,$610.96 
1058,DILATOR COON,$787.50 
1059,BURR #5820-10-60,$490.68 
1060,IMPLANT PENILE 15CM,"$37,723.50 "
1061,MESH #TECR1515,$291.11 
1062,BULB(SKYTRON EQUAL)B1-010-28 PARTSOURCE,$19.88 
1063,SUTURE 5-0 PDS CLEAR #Z493G,$17.50 
1064,SUTURE POLYSORB 0 #CL886M,$56.21 
1065,INSERT/LINER 32MM 6302-5-114,"$6,705.00 "
1066,DRESSING TELFA 2X3 1961,$0.14 
1067,HEAD HUMERAL 113036,"$8,680.50 "
1068,FEMUR 183074,"$10,912.50 "
1069,XC-201-01 (X-CLOSE-TRS) VENDOR# A4070,"$8,077.50 "
1070,SUTURE VICRYL 8-0 #J548G,$48.83 
1071,SCREW #91-5305,$765.00 
1072,SCREW #91-6207,$396.00 
1073,PLATE #01-9204,"$1,458.00 "
1074,STEM POROUS #X181313,"$9,562.50 "
