IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
2025872,HC NEG PRESS WND TX <=50 SQ CM,Clinic,"$1,084.14",
2022305,HC NEG PRESS WOUND TX <=50 CM,Clinic,$241.50,
2025770,HC OFFICE CONSULTATION,Clinic,"$1,008.95",
2022341,HC OFFICE O/P EST 5 MIN,Clinic,$406.00,
2022340,HC OFFICE O/P EST 5 MIN 25,Clinic,$406.00,
2022342,HC OFFICE OUTPT EST 10 MIN,Clinic,$418.82,
2022343,HC OFFICE OUTPT EST 10 MIN 25,Clinic,$418.82,
2022346,HC OFFICE OUTPT EST 25 MIN,Clinic,$733.64,
2022347,HC OFFICE OUTPT EST 25 MIN 25,Clinic,$733.64,
2022348,HC OFFICE OUTPT EST 40 MIN,Clinic,"$1,115.42",
2022349,HC OFFICE OUTPT EST 40 MIN 25,Clinic,"$1,115.42",
2022344,HC OFFICE OUTPT EST15 MIN,Clinic,$502.87,
2022345,HC OFFICE OUTPT EST15 MIN 25,Clinic,$502.87,
2022330,HC OFFICE OUTPT NEW 10 MIN,Clinic,$458.70,
2022331,HC OFFICE OUTPT NEW 10 MIN 25,Clinic,$458.70,
2022332,HC OFFICE OUTPT NEW 20 MINUTES,Clinic,$462.98,
2022333,HC OFFICE OUTPT NEW 20 MINUTES 25,Clinic,$462.98,
2022334,HC OFFICE OUTPT NEW 30 MIN,Clinic,$688.06,
2022335,HC OFFICE OUTPT NEW 30 MIN 25,Clinic,$688.06,
2022336,HC OFFICE OUTPT NEW 45 MIN,Clinic,$736.48,
2022337,HC OFFICE OUTPT NEW 45 MIN 25,Clinic,$736.48,
2022338,HC OFFICE OUTPT NEW 60 MIN,Clinic,"$1,236.50",
2022339,HC OFFICE OUTPT NEW 60 MIN 25,Clinic,"$1,236.50",
2025449,HC OPHTHALMOSCOPY; FOLLOW-UP,Clinic,$135.48,
2023239,HC PER PM REEVAL EST PAT 65+ YR,Clinic,$624.28,
2026192,HC PER PM REEVAL EST PAT 65+ YR 25,Clinic,$624.28,
2026186,HC PER PM REEVAL EST PAT INF <1 YR 25,Clinic,$624.28,
2022791,HC PER PM REEVAL EST PT INF,Clinic,$624.28,
2025472,HC POST-OP FOLLOW-UP VISIT,Clinic,$282.92,
2022794,HC PREV VISIT EST AGE 12-17,Clinic,$624.28,
2026189,HC PREV VISIT EST AGE 12-17 25,Clinic,$624.28,
2022792,HC PREV VISIT EST AGE 1-4,Clinic,$624.28,
2026187,HC PREV VISIT EST AGE 1-4 25,Clinic,$624.28,
2026190,HC PREV VISIT EST AGE 18-39 25,Clinic,$624.28,
2026191,HC PREV VISIT EST AGE 40-64 25,Clinic,$624.28,
2022793,HC PREV VISIT EST AGE 5-11,Clinic,$624.28,
2026188,HC PREV VISIT EST AGE 5-11 25,Clinic,$624.28,
2022790,HC PREV VISIT NEW AGE 12-17,Clinic,$183.39,
2026182,HC PREV VISIT NEW AGE 12-17 25,Clinic,$183.39,
2026183,HC PREV VISIT NEW AGE 18-39 25,Clinic,$183.39,
2026184,HC PREV VISIT NEW AGE 40-64 25,Clinic,$183.39,
2022789,HC PREV VISIT NEW AGE 5-11,Clinic,$183.39,
2026181,HC PREV VISIT NEW AGE 5-11 25,Clinic,$183.39,
2022352,"HC PREV VISIT, EST, AGE 18-39",Clinic,$624.28,
2022353,"HC PREV VISIT, EST, AGE 40-64",Clinic,$624.28,
2022350,"HC PREV VISIT, NEW, AGE 18-39",Clinic,$183.90,
2022351,"HC PREV VISIT, NEW, AGE 40-64",Clinic,$183.39,
2025194,"HC PREV VISIT, NEW, AGE 65+",Clinic,$183.39,
2022153,"HC RAPID DESENSITIZATION, EA HR",Clinic,$928.57,
2026013,HC SLIT LAMP PHOTOGRAPHY (EXT),Clinic,$196.86,
2025962,"HC TELEHEALTH OFFICE OUTPT EST 15 MIN HE, GT",Clinic,$502.87,
2025963,"HC TELEHEALTH OFFICE OUTPT EST 25 MIN HE, GT",Clinic,$733.64,
2025724,HC TRANS CARE MGMT 14 DAY DISCH,Clinic,$436.33,
2025725,HC TRANS CARE MGMT 7 DAY DISCH,Clinic,$436.33,
2025478,HC VISUAL ACUITY SCREEN BILAT - QUAN,Clinic,$76.07,
2022304,HC WOUND(S) CARE NON-SELECTIVE,Clinic,$280.64,
D006063,HC ABUTMENT SUPPORTED CAST METAL CRO,Clinic: Dental clinic,"$1,777.00",
D006059,HC ABUTMENT SUPPORTED PORCELAIN 6059,Clinic: Dental clinic,"$1,977.00",
D006060,HC ABUTMENT SUPPORTED PORCELAIN 6060,Clinic: Dental clinic,"$1,850.00",
D006061,HC ABUTMENT SUPPORTED PORCELAIN FUSE,Clinic: Dental clinic,"$1,814.00",
D006058,HC ABUTMENT SUPPORTED PORCELAIN/CERA,Clinic: Dental clinic,"$1,977.00",
D006069,HC ABUTMENT SUPPORTED RETAINER 6069,Clinic: Dental clinic,"$1,956.00",
D006070,HC ABUTMENT SUPPORTED RETAINER FOR P,Clinic: Dental clinic,"$1,842.00",
D005660,HC ADD CLASP TO EXISTING PARTIAL DEN,Clinic: Dental clinic,$351.00,
D005650,HC ADD TOOTH TO EXISTING PARTIAL DEN,Clinic: Dental clinic,$280.00,
D005411,HC ADJUST COMPLETE DENTURE - MANDIBU,Clinic: Dental clinic,$115.00,
D005410,HC ADJUST COMPLETE DENTURE - MAXILLA,Clinic: Dental clinic,$117.00,
D005992,HC ADJUST MAXILLOFACIAL PROSTH APPL,Clinic: Dental clinic,$700.00,
D005422,HC ADJUST PARTIAL DENTURE - MANDIBUL,Clinic: Dental clinic,$115.00,
D007311,HC ALVEOLOPLASTY IN CONJUNCTION 7311,Clinic: Dental clinic,$446.00,
D007310,HC ALVEOLOPLASTY IN CONJUNCTION WITH,Clinic: Dental clinic,$405.00,
D007321,HC ALVEOLOPLASTY NOT IN CONJUNC 7321,Clinic: Dental clinic,$655.00,
D007320,HC ALVEOLOPLASTY NOT IN CONJUNCTION,Clinic: Dental clinic,$647.00,
D002161,"HC AMALGAM - FOUR OR MORE SURFACES,",Clinic: Dental clinic,$325.00,
D002140,"HC AMALGAM - ONE SURFACE, PRIMARY OR",Clinic: Dental clinic,$175.00,
D002160,"HC AMALGAM - THREE SURFACES, PRIMARY",Clinic: Dental clinic,$276.00,
D002150,"HC AMALGAM - TWO SURFACES, PRIMARY O",Clinic: Dental clinic,$227.00,
D003310,HC ANTERIOR (EXCLUDING FINAL RESTORA,Clinic: Dental clinic,$891.00,
D003351,HC APEXIFIC/RECAL/PULP REGEN-INIT,Clinic: Dental clinic,$463.00,
D003352,HC APEXIFIC/RECALC/PULP REGEN-INTER,Clinic: Dental clinic,$371.00,
D003353,HC APEXIFICATION/RECALCIFICATION - F,Clinic: Dental clinic,$741.00,
D003410,HC APICOECTOMY/PERIRADICULAR SUR3410,Clinic: Dental clinic,$893.00,
D003421,HC APICOECTOMY/PERIRADICULAR SUR3421,Clinic: Dental clinic,$984.00,
D003425,HC APICOECTOMY/PERIRADICULAR SUR3425,Clinic: Dental clinic,"$1,132.00",
D009910,HC APPLICATION OF DESENSITIZING MEDI,Clinic: Dental clinic,$93.00,
D009911,HC APPLICATION OF DESENSITIZING RESI,Clinic: Dental clinic,$117.00,
D000191,HC ASSESSMENT OF A PATIENT,Clinic: Dental clinic,$75.00,
D009920,"HC BEHAVIOR MANAGEMENT, BY REPORT",Clinic: Dental clinic,$247.00,
D003320,HC BICUSPID (EXCLUDING FINAL RESTORA,Clinic: Dental clinic,"$1,038.00",
D007285,HC BIOPSY OF ORAL TISSUE - HARD (BON,Clinic: Dental clinic,$624.00,
D007286,HC BIOPSY OF ORAL TISSUE - SOFT,Clinic: Dental clinic,$432.00,
D000270,HC BITEWING - SINGLE FILM,Clinic: Dental clinic,$36.00,
D000274,HC BITEWINGS - FOUR FILMS,Clinic: Dental clinic,$80.00,
D000273,HC BITEWINGS - THREE FILMS,Clinic: Dental clinic,$69.00,
D000272,HC BITEWINGS - TWO FILMS,Clinic: Dental clinic,$56.00,
D004264,HC BONE REPLACEMENT GRAFT - EACH ADD,Clinic: Dental clinic,$760.00,
D004263,HC BONE REPLACEMENT GRAFT - FIRST SI,Clinic: Dental clinic,"$1,037.00",
D000603,"HC CARIES RISK ASSESSMENT AND DOCUMENTATION, WITH A FINDING OF HIGH RISK",Clinic: Dental clinic,$50.00,
D000601,"HC CARIES RISK ASSESSMENT AND DOCUMENTATION, WITH A FINDING OF LOW RISK",Clinic: Dental clinic,$5.00,
D000602,"HC CARIES RISK ASSESSMENT AND DOCUMENTATION, WITH A FINDING OF MODERATE RISK",Clinic: Dental clinic,$30.00,
D009450,"HC CASE PRESENTATION, DETAILED AND E",Clinic: Dental clinic,$193.00,
D000340,HC CEPHALOMETRIC FILM,Clinic: Dental clinic,$159.00,
D004249,HC CLINICAL CROWN LENGTHENING - HARD,Clinic: Dental clinic,$989.00,
D007820,HC CLOSED REDUCTION OF DISLOCATION,Clinic: Dental clinic,$890.00,
D005120,HC COMPLETE DENTURE - MANDIBULAR,Clinic: Dental clinic,"$2,101.00",
D005110,HC COMPLETE DENTURE - MAXILLARY,Clinic: Dental clinic,"$2,140.00",
D000150,HC COMPREHENSIVE ORAL EVALUATION - N,Clinic: Dental clinic,$220.00,
D008090,HC COMPREHENSIVE ORTHODONTIC TRE8090,Clinic: Dental clinic,"$7,358.00",
D000180,HC COMPREHENSIVE PERIODONTAL EVALUAT,Clinic: Dental clinic,$129.00,
D000383,HC CONE BEAM BOTH JAWS,Clinic: Dental clinic,$600.00,
D000380,HC CONE BEAM CT IMAG-LIMITED FIEL,Clinic: Dental clinic,$325.00,
D000381,HC CONE BEAM FULL ARCH MAND,Clinic: Dental clinic,$400.00,
D000382,HC CONE BEAM FULL ARCH MAX,Clinic: Dental clinic,$400.00,
D000367,HC CONE BEAM INTERP BOTH JAWS,Clinic: Dental clinic,$558.00,
D000365,HC CONE BEAM INTERP FULL ARCH MAND,Clinic: Dental clinic,$400.00,
D000366,HC CONE BEAM INTERP FULL ARCH MAX,Clinic: Dental clinic,$400.00,
D000364,HC CONE BEAM INTERP LIMITED VIEW,Clinic: Dental clinic,$150.00,
D009310,HC CONSULTATION - DIAGNOSTIC SERVICE,Clinic: Dental clinic,$203.00,
D002950,"HC CORE BUILDUP, INCLUDING ANY PINS",Clinic: Dental clinic,$355.00,
D007251,HC CORONECTOMY,Clinic: Dental clinic,$639.00,
D002790,HC CROWN - FULL CAST HIGH NOBLE META,Clinic: Dental clinic,"$1,359.00",
D002792,HC CROWN - FULL CAST NOBLE METAL,Clinic: Dental clinic,"$1,297.00",
D002791,HC CROWN - FULL CAST PREDOMINANTLY B,Clinic: Dental clinic,"$1,262.00",
D002750,HC CROWN - PORCELAIN FUSED TO HIGH N,Clinic: Dental clinic,"$1,359.00",
D002751,HC CROWN - PORCELAIN FUSED TO PR2751,Clinic: Dental clinic,"$1,297.00",
D006751,HC CROWN - PORCELAIN FUSED TO PREDOM,Clinic: Dental clinic,"$1,295.00",
D006740,HC CROWN - PORCELAIN/CERAMIC,Clinic: Dental clinic,"$1,421.00",
D002740,HC CROWN - PORCELAIN/CERAMIC SUBSTRA,Clinic: Dental clinic,"$1,433.00",
D002710,HC CROWN - RESIN-BASED COMPOSITE (IN,Clinic: Dental clinic,"$1,142.00",
D002980,"HC CROWN REPAIR, BY REPORT",Clinic: Dental clinic,$383.00,
D006750,HC CROWN-PORCELAIN FUSED TO HIGH6750,Clinic: Dental clinic,"$1,384.00",
D002752,HC CROWN-PORCELAIN FUSED TO NOBLE,Clinic: Dental clinic,"$1,328.00",
D006057,HC CUSTOM ABUTMENT - INCLUDES PLACEM,Clinic: Dental clinic,"$1,348.00",
D001000,HC DENTAL CLINIC VISIT,Clinic: Dental clinic,$1.00,
D000160,HC DETAILED AND EXTENSIVE ORAL EVALU,Clinic: Dental clinic,$220.00,
D000470,HC DIAGNOSTIC CASTS,Clinic: Dental clinic,$154.00,
D004274,HC DISTAL OR PROXIMAL WEDGE PROCEDUR,Clinic: Dental clinic,$877.00,
D005421,HC DJUST PARTIAL DENTURE - MAXILLAR,Clinic: Dental clinic,$116.00,
D002953,HC EACH ADDITIONAL INDIRECTLY FA2953,Clinic: Dental clinic,$402.00,
D007990,HC EMERGENCY TRACHEOTOMY,Clinic: Dental clinic,"$1,907.00",
D009219,HC EVALUATION FOR DEEP SEDATION OR GENERAL ANESTHESIA,Clinic: Dental clinic,$153.46,
D007411,HC EXCISION OF BENIGN LESION GREATER,Clinic: Dental clinic,$924.00,
D007410,HC EXCISION OF BENIGN LESION UP TO 1,Clinic: Dental clinic,$618.00,
D007970,HC EXCISION OF HYPERPLASTIC TISSUE -,Clinic: Dental clinic,$728.00,
D009972,HC EXTERNAL BLEACHING - PER ARCH,Clinic: Dental clinic,$518.00,
D007111,"HC EXTRACTION, CORONAL REMNANTS - DE",Clinic: Dental clinic,$183.00,
D007140,"HC EXTRACTION, ERUPTED TOOTH OR EXPO",Clinic: Dental clinic,$229.00,
D000260,HC EXTRAORAL - EACH ADDITIONAL FILM,Clinic: Dental clinic,$80.00,
D000250,HC EXTRAORAL - FIRST FILM,Clinic: Dental clinic,$99.00,
D000251,HC EXTRA-ORAL POSTERIOR DENTAL RADIOGRAPHIC IMAGE,Clinic: Dental clinic,$103.00,
D008220,HC FIXED APPLIANCE THERAPY,Clinic: Dental clinic,"$1,489.00",
D006980,"HC FIXED PARTIAL DENTURE REPAIR, BY",Clinic: Dental clinic,$556.00,
D009120,HC FIXED PARTIAL DENTURE SECTIONING,Clinic: Dental clinic,$367.00,
D007960,HC FRENULECTOMY (FRENECTOMY OR FRENO,Clinic: Dental clinic,$610.00,
D007963,HC FRENULOPLASTY,Clinic: Dental clinic,$676.00,
D004355,HC FULL MOUTH DEBRIDEMENT TO ENABLE,Clinic: Dental clinic,$246.00,
D004240,"HC GINGIVAL FLAP PROCEDURE, INCL4240",Clinic: Dental clinic,$989.00,
D004241,"HC GINGIVAL FLAP PROCEDURE, INCLUDIN",Clinic: Dental clinic,$863.00,
D004210,HC GINGIVECTOMY OR GINGIVOPLASTY - F,Clinic: Dental clinic,$865.00,
D004211,HC GINGIVECTOMY OR GINGIVOPLASTY - O,Clinic: Dental clinic,$419.00,
D004212,HC GINGIVECTOMY-ACCESS FOR RESTOR,Clinic: Dental clinic,$200.00,
D004267,HC GUIDED TISSUE REGENERATION - NONR,Clinic: Dental clinic,"$1,383.00",
D004266,HC GUIDED TISSUE REGENERATION - RESO,Clinic: Dental clinic,"$1,124.00",
D005140,HC IMMEDIATE DENTURE - MANDIBULAR,Clinic: Dental clinic,"$2,348.00",
D005130,HC IMMEDIATE DENTURE - MAXILLARY,Clinic: Dental clinic,"$2,344.00",
D005222,"HC IMMEDIATE MANDIBULAR PARTIAL DENTURE û RESIN BASE (INCLUDING ANY CONVENTIONAL CLASPS, RESTS AND T",Clinic: Dental clinic,"$2,572.68",
D005221,"HC IMMEDIATE MAXILLARY PARTIAL DENTURE û RESIN BASE (INCLUDING ANY CONVENTIONAL CLASPS, RESTS AND TE",Clinic: Dental clinic,"$2,214.88",
D006080,"HC IMPLANT MAINTENANCE PROCEDURES, I",Clinic: Dental clinic,$476.00,
D006100,"HC IMPLANT REMOVAL, BY REPORT",Clinic: Dental clinic,"$1,012.00",
D006066,HC IMPLANT SUPPORTED PORCELAIN FUSED,Clinic: Dental clinic,"$2,070.00",
D006065,HC IMPLANT SUPPORTED PORCELAIN/CERAM,Clinic: Dental clinic,"$2,145.00",
D006053,HC IMPLANT/ABUTMENT SUPPORTED 6053,Clinic: Dental clinic,"$3,675.00",
D007511,HC INCISION AND DRAINAGE OF ABS 7511,Clinic: Dental clinic,$507.00,
D007510,HC INCISION AND DRAINAGE OF ABSCESS,Clinic: Dental clinic,$309.00,
D009230,"HC INHAL NITR OXIDE/ANXIOLYS,ANALGES",Clinic: Dental clinic,$117.00,
D003470,HC INTENTIONAL REIMPLANTATION (INCLU,Clinic: Dental clinic,$997.00,
D008060,HC INTERCEPTIVE ORTHODONTIC TREA8060,Clinic: Dental clinic,"$3,944.00",
D001354,HC INTERIM CARIES ARRESTING MEDICAMENT APPLICATION,Clinic: Dental clinic,$108.00,
D005811,HC INTERIM COMPLETE DENTURE (MANDIBU,Clinic: Dental clinic,"$1,221.00",
D005810,HC INTERIM COMPLETE DENTURE (MAXILLA,Clinic: Dental clinic,"$1,221.00",
D005821,HC INTERIM PARTIAL DENTURE (MANDIBUL,Clinic: Dental clinic,$958.00,
D005820,HC INTERIM PARTIAL DENTURE (MAXILLAR,Clinic: Dental clinic,$932.00,
D002941,HC INTERIM THERAPEUTIC RESTORATION û PRIMARY DENTITION,Clinic: Dental clinic,$198.00,
D009974,HC INTERNAL BLEACHING - PER TOOTH,Clinic: Dental clinic,$409.00,
D003333,HC INTERNAL ROOT REPAIR OF PERFORATI,Clinic: Dental clinic,$465.00,
D000210,HC INTRAORAL - COMPLETE SERIES (INCL,Clinic: Dental clinic,$161.00,
D000240,HC INTRAORAL - OCCLUSAL FILM,Clinic: Dental clinic,$56.00,
D000230,HC INTRAORAL - PERIAPICAL EACH ADDIT,Clinic: Dental clinic,$30.00,
D000220,HC INTRAORAL - PERIAPICAL FIRST FILM,Clinic: Dental clinic,$36.00,
D009241,HC INTRAVENOUS CONSCIOUS SEDAT 9241,Clinic: Dental clinic,$508.00,
D009242,HC INTRAVENOUS CONSCIOUS SEDATION/AN,Clinic: Dental clinic,$227.00,
D009243,HC INTRAVENOUS MODERATE (CONSCIOUS) SEDATION/ANALGESIA û EACH 15 MINUTE INCREMENT,Clinic: Dental clinic,$296.15,
D002962,HC LABIAL VENEER (PORCELAIN LAMINATE,Clinic: Dental clinic,"$1,421.00",
D000140,HC LIMITED ORAL EVALUATION - PROBLEM,Clinic: Dental clinic,$220.00,
D009215,HC LOCAL ANESTHESIA,Clinic: Dental clinic,$86.00,
D005214,HC MANDIBULAR PARTIAL DENTURE - CAST,Clinic: Dental clinic,"$2,286.00",
D005226,HC MANDIBULAR PARTIAL DENTURE - FLEX,Clinic: Dental clinic,"$2,091.00",
D005212,HC MANDIBULAR PARTIAL DENTURE - RESI,Clinic: Dental clinic,"$1,713.00",
D005213,HC MAXILLARY PARTIAL DENTURE - CAST,Clinic: Dental clinic,"$2,279.00",
D005225,HC MAXILLARY PARTIAL DENTURE - FLEXI,Clinic: Dental clinic,"$2,094.00",
D005211,HC MAXILLARY PARTIAL DENTURE - RESIN,Clinic: Dental clinic,"$1,731.00",
D007282,HC MOBILIZATION OF ERUPTED OR MALPOS,Clinic: Dental clinic,$722.00,
D003330,HC MOLAR (EXCLUDING FINAL RESTORATIO,Clinic: Dental clinic,"$1,236.00",
D009248,HC NON-INTRAVENOUS CONSCIOUS SEDATIO,Clinic: Dental clinic,$482.00,
D001310,HC NUTRITIONAL COUNSELING FOR CONTRO,Clinic: Dental clinic,$95.00,
D005932,"HC OBTURATOR PROSTHESIS, DEFINITIVE",Clinic: Dental clinic,"$1,500.00",
D009952,HC OCCLUSAL ADJUSTMENT - COMPLETE,Clinic: Dental clinic,$890.00,
D009951,HC OCCLUSAL ADJUSTMENT - LIMITED,Clinic: Dental clinic,$267.00,
D009940,"HC OCCLUSAL GUARD, BY REPORT",Clinic: Dental clinic,$839.00,
D007881,HC OCCLUSAL ORTHOTIC DEVICE ADJUSTMENT,Clinic: Dental clinic,$196.72,
D007880,"HC OCCLUSAL ORTHOTIC DEVICE, BY REPO",Clinic: Dental clinic,"$1,641.00",
D009971,"HC ODONTOPLASTY 1 - 2 TEETH, INCLUDE",Clinic: Dental clinic,$295.00,
D009440,HC OFFICE VISIT - AFTER REGULARLY SC,Clinic: Dental clinic,$247.00,
D009430,HC OFFICE VISIT FOR OBSERVATION (DUR,Clinic: Dental clinic,$220.00,
D002544,HC ONLAY - METALLIC-FOUR OR MORE SUR,Clinic: Dental clinic,"$1,265.00",
D002644,HC ONLAY - PORCELAIN/CERAMIC - FOUR,Clinic: Dental clinic,"$1,359.00",
D000145,HC ORAL EVALUATION FOR A PATIENT UND,Clinic: Dental clinic,$220.00,
D001330,HC ORAL HYGIENE INSTRUCTIONS,Clinic: Dental clinic,$74.00,
D000350,HC ORAL/FACIAL PHOTOGRAPHIC IMAGES,Clinic: Dental clinic,$110.00,
D008680,HC ORTHODONTIC RETENTION (REMOVAL OF,Clinic: Dental clinic,$865.00,
D004260,HC OSSEOUS SURGERY (INCLUDING FL4260,Clinic: Dental clinic,"$1,369.00",
D004261,HC OSSEOUS SURGERY (INCLUDING FLAP E,Clinic: Dental clinic,"$1,134.00",
D007950,"HC OSSEOUS, OSTEOPERIOSTEAL, OR CART",Clinic: Dental clinic,"$5,178.00",
D009630,"HC OTHER DRUGS AND/OR MEDICAMENTS, B",Clinic: Dental clinic,$96.00,
D000321,HC OTHER TEMPOROMANDIBULAR JOINT FIL,Clinic: Dental clinic,$264.00,
D009110,HC PALLIATIVE (EMERGENCY) TREATMENT,Clinic: Dental clinic,$172.00,
D000330,HC PANORAMIC FILM,Clinic: Dental clinic,$136.00,
D003222,HC PARTIAL PULPOTOTOMY APEXOGEN,Clinic: Dental clinic,$403.65,
D000120,HC PERIODIC ORAL EVALUATION - ESTABL,Clinic: Dental clinic,$68.00,
D008670,HC PERIODIC ORTHODONTIC TREATMENT VI,Clinic: Dental clinic,$376.00,
D004910,HC PERIODONTAL MAINTENANCE,Clinic: Dental clinic,$179.00,
D004341,HC PERIODONTAL SCALING AND ROOT 4341,Clinic: Dental clinic,$320.00,
D004342,HC PERIODONTAL SCALING AND ROOT PLAN,Clinic: Dental clinic,$241.00,
D007283,HC PLACEMENT OF DEVICE TO FACILITATE,Clinic: Dental clinic,$698.00,
D006210,HC PONTIC - CAST HIGH NOBLE METAL,Clinic: Dental clinic,"$1,359.00",
D006240,HC PONTIC - PORCELAIN FUSED TO HIGH,Clinic: Dental clinic,"$1,379.00",
D006241,HC PONTIC - PORCELAIN FUSED TO PREDO,Clinic: Dental clinic,"$1,300.00",
D006245,HC PONTIC - PORCELAIN/CERAMIC,Clinic: Dental clinic,"$1,401.00",
D006251,HC PONTIC - RESIN WITH PREDOMINANTLY,Clinic: Dental clinic,"$1,359.00",
D002952,HC POST AND CORE IN ADDITION TO CROW,Clinic: Dental clinic,$556.00,
D002955,HC POST REMOVAL (NOT IN CONJUNCTION,Clinic: Dental clinic,$383.00,
D005862,"HC PRECISION ATTACHMENT, BY REPORT",Clinic: Dental clinic,$986.00,
D002929,HC PREFAB PORC/CERAM CROWN-PRIMARY,Clinic: Dental clinic,$164.00,
D006056,HC PREFABRICATED ABUTMENT - INCLUDES,Clinic: Dental clinic,"$1,204.00",
D002954,HC PREFABRICATED POST AND CORE IN AD,Clinic: Dental clinic,$440.00,
D002930,HC PREFABRICATED STAINLESS STEEL CRO,Clinic: Dental clinic,$362.00,
D002931,HC PREFABRICATED STAINLESS STEEL2931,Clinic: Dental clinic,$419.00,
D008660,HC PRE-ORTHODONTIC TREATMENT VISIT,Clinic: Dental clinic,$628.00,
D001352,HC PREVENTIVE RESIN RESTORATION,Clinic: Dental clinic,$68.00,
D007261,HC PRIMARY CLOSURE OF A SINUS PERFOR,Clinic: Dental clinic,"$1,032.00",
D001110,HC PROPHYLAXIS - ADULT,Clinic: Dental clinic,$117.00,
D001120,HC PROPHYLAXIS - CHILD,Clinic: Dental clinic,$85.00,
D002940,HC PROTECTIVE RESTORATION,Clinic: Dental clinic,$154.00,
D002799,HC PROVISIONAL CROWN,Clinic: Dental clinic,$612.00,
D004321,HC PROVISIONAL SPLINTING - EXTRACORO,Clinic: Dental clinic,$680.00,
D004320,HC PROVISIONAL SPLINTING - INTRACORO,Clinic: Dental clinic,$708.00,
D003110,HC PULP CAP - DIRECT (EXCLUDING FINA,Clinic: Dental clinic,$111.00,
D003120,HC PULP CAP - INDIRECT (EXCLUDING FI,Clinic: Dental clinic,$117.00,
D003221,"HC PULPAL DEBRIDEMENT, PRIMARY AND P",Clinic: Dental clinic,$314.00,
D003354,HC PULPAL REGENERATION,Clinic: Dental clinic,$371.00,
D003357,HC PULPAL REGENERATION - COMPLETION OF TREATMENT,Clinic: Dental clinic,$371.00,
D003240,HC PULPAL THERAPY (RESORBABLE FI3240,Clinic: Dental clinic,$446.00,
D006190,HC RADIOGRAPHIC/SURGICAL IMPLANT IND,Clinic: Dental clinic,$250.00,
D005720,HC REBASE MAXILLARY PARTIAL DENTURE,Clinic: Dental clinic,$724.00,
D008693,"HC REBONDING OR RECEMENTING, AND/OR",Clinic: Dental clinic,$507.00,
D002915,HC RECEMENT CAST OR PREFABRICATED PO,Clinic: Dental clinic,$154.00,
D002920,HC RECEMENT CROWN,Clinic: Dental clinic,$143.00,
D006930,HC RECEMENT FIXED PARTIAL DENTURE,Clinic: Dental clinic,$229.00,
D006093,HC RECEMENT IMPLANT/ABUTMENT SUP6093,Clinic: Dental clinic,$227.00,
D006092,HC RECEMENT IMPLANT/ABUTMENT SUPPORT,Clinic: Dental clinic,$211.00,
D002910,"HC RECEMENT INLAY, ONLAY, OR PARTIAL",Clinic: Dental clinic,$136.00,
D001550,HC RE-CEMENTATION OF SPACE MAINTAINE,Clinic: Dental clinic,$109.00,
D000170,"HC RE-EVALUATION - LIMITED, PROBLEM",Clinic: Dental clinic,$220.00,
D000171,HC RE-EVALUATION û POST-OPERATIVE OFFICE VISIT,Clinic: Dental clinic,$150.00,
D005751,HC RELINE COMPLETE MANDIBULAR DE5751,Clinic: Dental clinic,$618.00,
D005731,HC RELINE COMPLETE MANDIBULAR DENTUR,Clinic: Dental clinic,$492.00,
D005750,HC RELINE COMPLETE MAXILLARY DEN5750,Clinic: Dental clinic,$618.00,
D005730,HC RELINE COMPLETE MAXILLARY DENTURE,Clinic: Dental clinic,$492.00,
D005761,HC RELINE MANDIBULAR PARTIAL DEN5761,Clinic: Dental clinic,$607.00,
D005760,HC RELINE MAXILLARY PARTIAL DEN 5760,Clinic: Dental clinic,$597.00,
D005740,HC RELINE MAXILLARY PARTIAL DENTURE,Clinic: Dental clinic,$488.00,
D008210,HC REMOVABLE APPLIANCE THERAPY,Clinic: Dental clinic,"$1,297.00",
D008681,HC REMOVABLE ORTHODONTIC RETAINER ADJUSTMENT,Clinic: Dental clinic,$216.00,
D005281,HC REMOVABLE UNILATERAL PARTIAL DENT,Clinic: Dental clinic,"$1,359.00",
D007450,HC REMOVAL OF BENIGN ODONTOGENIC CYS,Clinic: Dental clinic,$905.00,
D001555,HC REMOVAL OF FIXED SPACE MAINTAINER,Clinic: Dental clinic,$98.00,
D007530,HC REMOVAL OF FOREIGN BODY FROM MUCO,Clinic: Dental clinic,$520.00,
D007240,HC REMOVAL OF IMPACTED TOOTH - COMPL,Clinic: Dental clinic,$639.00,
D007230,HC REMOVAL OF IMPACTED TOOTH - PARTI,Clinic: Dental clinic,$521.00,
D007220,HC REMOVAL OF IMPACTED TOOTH - SOFT,Clinic: Dental clinic,$418.00,
D007540,HC REMOVAL OF REACTION PRODUCING FOR,Clinic: Dental clinic,$987.00,
D005510,HC REPAIR BROKEN COMPLETE DENTURE BA,Clinic: Dental clinic,$277.00,
D005620,HC REPAIR CAST FRAMEWORK,Clinic: Dental clinic,$378.00,
D006090,HC REPAIR IMPLANT SUPPORTED PROSTHES,Clinic: Dental clinic,$977.00,
D008691,HC REPAIR OF ORTHODONTIC APPLIANCE,Clinic: Dental clinic,$278.00,
D005630,HC REPAIR OR REPLACE BROKEN CLASP,Clinic: Dental clinic,$342.00,
D005610,HC REPAIR RESIN DENTURE BASE,Clinic: Dental clinic,$274.00,
D005640,HC REPLACE BROKEN TEETH - PER TOOTH,Clinic: Dental clinic,$240.00,
