83894,$67.00 
AMIODARONE 200MG TAB, $-   
AMIODARONE 50MG/ML 18ML, $-   
AMIODARONE 50MG/ML 9ML, $-   
AMIODARONE 50MG/ML 9ML, $-   
AMIODARONE 900MG 18ML, $-   
AMIODARONE IN D5W 360MG/200ML, $-   
AMITRIP/CHLORDIAZ 10-25 TAB, $-   
AMITRIP/CHLORDIAZ 5-12.5 TAB, $-   
AMITRIP/CHLORDIAZ. 12.5-5MG TAB, $-   
AMITRIPTYLINE (ELAVIL),$102.52 
AMITRIPTYLINE 10MG TAB, $-   
AMITRIPTYLINE 10MG/ML INJ 10ML, $-   
AMITRIPTYLINE 25MG TAB, $-   
AMITRIPTYLINE 50MG TAB, $-   
AMITRIPTYLINE 75MG TAB, $-   
AMLODIPINE 10MG TAB, $-   
AMLODIPINE 2.5MG TAB, $-   
AMLODIPINE 5MG TAB, $-   
AMLODIPINE/BENAZEPRIL 10/20, $-   
AMLODIPINE-ATORVASTATIN 5-10 TAB, $-   
AMLODIPINE-BENAZEPRIL 5/20, $-   
AMLODIPINE-VALSARTAN 5-160 TABLET, $-   
AMMONIA (ARTERIAL), $-   
AMMONIA 2% INHALANT 0.33ML, $-   
"AMMONIA,VENOUS",$112.00 
AMMONIUM LACTATE 12% LOT 225ML, $-   
AMNIO-CONSTITUTIONAL CYTO (ESOTER, $-   
AMNIOTIC FLUID CULTURE,$390.92 
AMOEBA,$57.00 
"AMOEBA,HEMAGGLUTINATION TEST",$264.00 
AMOXAPINE 50MG TAB, $-   
AMOXAPINE 50MG TAB, $-   
AMOXI/CLAV 400-57MG/5ML 100ML, $-   
AMOXI/CLAV POT 400-57MG/5ML 50ML, $-   
AMOXICIL/CLAV 125MG/5ML SUSP 75ML, $-   
AMOXICIL/CLAV 250MG/5ML SUSP 75ML, $-   
AMOXICIL/CLAV. 250/5ML SUSP 100ML, $-   
AMOXICIL-CLAV 200-28.5MG/5ML 75ML, $-   
AMOXICIL-CLAV 400MG/5ML SUSP 75ML, $-   
AMOXICILLIN 125MG/5ML 100ML, $-   
AMOXICILLIN 125MG/5ML 150ML, $-   
AMOXICILLIN 125MG/5ML 150ML, $-   
AMOXICILLIN 125MG/5ML 80ML BOTTLE, $-   
AMOXICILLIN 125MG/5ML SUSP 100ML, $-   
AMOXICILLIN 125MG/5ML SUSP UD, $-   
AMOXICILLIN 200MG/5ML 100ML, $-   
AMOXICILLIN 200MG/5ML SUSP 50ML, $-   
AMOXICILLIN 200MG/5ML SUSP 5ML UD, $-   
AMOXICILLIN 200MG/5ML SUSP 75ML, $-   
AMOXICILLIN 250MG 5ML SUSP., $-   
AMOXICILLIN 250MG CAP, $-   
AMOXICILLIN 250MG/5ML 150ML, $-   
AMOXICILLIN 250MG/5ML 5ML, $-   
AMOXICILLIN 250MG/5ML 80ML, $-   
AMOXICILLIN 250MG/5ML SUSP 100ML, $-   
AMOXICILLIN 250MG/5ML SUSP 15ML, $-   
AMOXICILLIN 250MG/5ML SUSP UD, $-   
AMOXICILLIN 400MG/5ML 50ML, $-   
AMOXICILLIN 400MG/5ML SUSP 75ML, $-   
AMOXICILLIN 500MG CAP, $-   
AMOXICILLIN 875MG TABLET, $-   
AMOXICILLIN SUSP 125MG/5ML 100ML, $-   
AMOXICILLIN SUSP 250MG/5ML 80ML, $-   
AMOXICILLIN SUSP 400MG/5ML UD, $-   
AMOXICILLIN/CLAV 200/28.5MG 5ML, $-   
AMOXICILLIN/CLAV 250MG CHEW TAB, $-   
AMOXICILLIN/CLAV 250MG TAB, $-   
AMOXICILLIN/CLAV 400-57MG/5ML50ML, $-   
AMOXICILLIN/CLAV 500MG TAB, $-   
AMOXICILLIN-CLAV. 875/125 TAB, $-   
AMPHETAMINE CONFIRMATION,$70.56 
AMPHETAMINE QUANT, $-   
AMPHETAMINE SALT 10MG, $-   
AMPHETAMINE SCREEN,$73.50 
"AMPHETAMINE SCREEN, URINE",$81.00 
AMPHETAMINE/DEXTROAMPHETAMINE 5MG, $-   
AMPHETAMINE-DEXTROAMPHET CP24 5MG, $-   
AMPHETAMINE-DEXTROAMPHET TAB 20MG, $-   
AMPHETAMINE-DEXTROAMPHETAMI 20MG, $-   
AMPHETAMINE-DEXTROAMPHETAMI 7.5MG, $-   
AMPHETAMINE-DEXTROAMPHETAMIN 3.75, $-   
AMPHETAMINES CONF,$131.20 
AMPHOTERECIN B LIPID COMPLEX 50MG, $-   
AMPHOTERECIN B LIPOSOMAL 50MG INJ, $-   
AMPHOTERICIN B 2MG/ML 3ML SYR, $-   
AMPHOTERICIN B 50MG INJ., $-   
AMPHOTERICIN B LIPOSOMAL 10MG INJ, $-   
AMPICILLIN 1 GRAM ADV, $-   
AMPICILLIN 1 GRAM INJ., $-   
AMPICILLIN 125MG INJ., $-   
AMPICILLIN 125MG/5ML SUSP 100ML, $-   
AMPICILLIN 1GM IVPB, $-   
AMPICILLIN 2 GM, $-   
AMPICILLIN 2 GM ADV, $-   
AMPICILLIN 250MG CAP, $-   
AMPICILLIN 250MG INJ., $-   
AMPICILLIN 250MG/5ML SUSP 100ML, $-   
AMPICILLIN 500MG CAP, $-   
AMPICILLIN 500MG INJ., $-   
AMPICILLIN/SULBACTAM 1.5GM INJ., $-   
AMPICILLIN-SULBACTAM 1.5GM ADV, $-   
AMPICILLIN-SULBACTAM 3GM ADV, $-   
AMPICILLIN-SULBACTAM 3GM INJ, $-   
AMPLIF.OF NUC. ACID (ON 6730),$94.00 
AMPLIFICATION 6456,$94.00 
AMPLIFIED PROBE,$149.00 
AMPUTATION FINGER W DIRECT CLO,"$4,836.00 "
AMPUTATION FINGER W/NEURECTOMI,"$4,836.00 "
AMPUTATION INTERPHALANGEAL JNT,"$8,031.00 "
AMPUTATION OF TOE PF,"$1,160.00 "
AMYL NITRATE SOLN 0.3ML, $-   
AMYLASE,$109.00 
"AMYLASE, BODY FLUID", $-   
"AMYLASE, BODY FLUID",$109.00 
"AMYLASE, URINE",$109.00 
"AMYLASE, URINE 24 HR",$109.00 
"AMYLASE,FRACTIONATED", $-   
"AMYLASE,RANDOM URINE",$109.00 
"AMYLASE,TOTAL [SENDOUT]",$109.00 
AMYLASE/CREATININE RATIO, $-   
AMYLASE/LIPASE, $-   
AMYLASE/LIPASE/PROTEASE CAPSULES, $-   
AMYLASE-LIPASE-PROTEASE, $-   
AMYLASE-LIPASE-PROTEASE CR 20, $-   
AMYLASE-LIPASE-PROTEASE CR CAP, $-   
AMYLASE-PROTEASE-LIPASE CAP, $-   
ANA COMPREHENSIVE, $-   
ANA IGG,$129.00 
ANA SCREEN,$129.00 
ANA SCREEN WITH REFLEX,$129.00 
ANA TITER,$82.00 
ANA TITER(LABCORP),$129.00 
ANA W REFLEX,$129.00 
ANA(BUTLER),$129.00 
ANA/LYZER WITHOUT RHEUMATOID, $-   
ANA3 CASCADE, $-   
ANAEROBE ID-CHRG ONLY,$72.00 
ANALGESICS(80329),$73.50 
ANALGESICS(80331),$147.00 
ANALYZE 20-25 CELLS (FOR 6446),$309.00 
"ANAPLASMA PHAGOCYTOPHILUM, DNA PC",$290.00 
ANASTROZOLE 1 MG TABLET, $-   
ANEMIA PROFILE A, $-   
ANEMIA PROFILE A, $-   
ANEMIA PROFILE B, $-   
ANES COMPLICATED BY EMERG COND,$100.00 
"ANES INTEG,EXT,A TRUNK",$50.00 
"ANES INTEG,MUS,NER HEAD",$50.00 
ANES INTRAPERT PROC UPPER,$50.00 
ANES LOWER INTES ENDO PROC,$50.00 
ANES MALE GENITALIA PROC,$50.00 
ANES PATIENT OF EXTREME AGE,$100.00 
ANES SCREEN COLON ENDO PROC,$50.00 
ANES TUBAL LIGATION/TRANSEC,$50.00 
ANES UPPER GI ENDO PROC,$50.00 
ANES UPPER&LOWER ENDO PROC,$50.00 
ANES VAGINAL PROC,$50.00 
ANES VEINS KNEE & POP AREA,$50.00 
ANES VEINS LOWER LEG NOS,$50.00 
ANES VEINS UPPER LEG,$50.00 
ANESTHESIA,"$1,648.00 "
ANESTHESIA FOR ENDOSCOPY,$181.00 
ANESTHETIC MOUTHWASH 180ML, $-   
ANGIOTENSIN CONVERT ENZYME,$143.00 
ANGIOTENSIN-CONVERTING ENZ.CSF,$143.00 
ANNA-1 (ON 6561 PANEL),$183.00 
ANNA-2 (ON 6561 PANEL),$183.00 
ANTACID CHEWABLE TABLETS, $-   
ANT-DSDNA(DOUBLE-STRANDED),$76.00 
ANTI HU,$127.00 
ANTIBODY IDENTIFICATION,$139.00 
ANTIBODY INDENTIFICATI-CHARGE ONL,$139.00 
ANTIBODY PLATELET ANTIBODY,$544.00 
ANTIBODY SCREEN,$89.00 
ANTIBODY SCREEN-CHRG ONLY,$89.00 
ANTIBODY TITER,$109.00 
ANTIBODY(86609),$29.00 
"ANTIBODY, ACTINOMYCES(86602)",$70.00 
"ANTIBODY, ASPERGILLUS(86606)",$179.00 
"ANTIBODY, INFLUENZA(86710)",$86.00 
"ANTICARDIOLIPIN AB,IGA",$100.00 
ANTI-CARDIOLIPIN ANTIBODY, $-   
ANTICARDIOLIPIN IGG,$100.00 
ANTICARDIOLIPIN IGG/M CONFIRM, $-   
ANTICARDIOLIPIN IGM,$100.00 
ANTI-CENTROMERE,$194.00 
ANTICHROMATIN ANTIBODIES IGG,$100.00 
ANTICRYPTOCOCCAL ANTIBODY,$151.00 
ANTIDEPRESSANT(80334),$20.00 
ANTIDEPRESSANT(80337),$73.50 
ANTIDEPRESSANT(80338),$45.00 
ANTIDEPRESSANTS,$20.00 
ANTIDEPRESSANTS,$25.00 
ANTI-DNA ANTIBODY,$76.00 
ANTI-DNA DS,$76.00 
ANTI-DNA SS,$104.00 
ANTI-DNASE B TITER,$153.00 
ANTIEPILEPTICS(80341),$45.00 
ANTIFUNGAL SUSCEPT 4 DRUGS,$91.00 
ANTIFUNGAL TESTING - MICAFUNGIN,$91.00 
ANTIFUNGAL TESTING FLUCONAZOLE,$91.00 
"ANTIFUNGAL TESTING, AMPHO & KETOC",$91.00 
"ANTIFUNGAL TESTING, AMPHOTERICIN",$91.00 
"ANTIFUNGAL TESTING, FLUCONAZOLE",$91.00 
"ANTIFUNGAL TESTING, FLUCYTOSINE",$91.00 
"ANTIFUNGAL TESTING, ITRACONAZOLE",$91.00 
"ANTIFUNGAL TESTING, VORICONAZOLE",$91.00 
ANTIGEN IDENTIFICATION,$392.00 
ANTIGEN SCREEN(86904),$174.00 
"ANTIGEN SCREEN, DONOR",$174.00 
ANTI-GLOMERULAR BASEMENT MEMBRANE,$268.00 
ANTI-GM I ANTIBODY,$268.00 
ANTI-H.FLU B,$148.00 
ANTIHEMOPHILIC FACTOR VIII 1000U, $-   
ANTI-HISTONE,$194.00 
ANTI-HU (CSF ONLY),$183.00 
ANTI-INTRINSIC FACTOR,$107.00 
ANTI-ISLET CELL ANTIBODY,$124.00 
ANTI-JO-1,$194.00 
ANTI-MAG ANTIBODY,$268.00 
ANTI-MICROSOMAL AB,$108.00 
ANTI-MITOCHONDRIAL ANTIBODY,$100.00 
ANTIMYELOPEROXIDASE AB'S (PANCA),$100.00 
ANTI-NEURONAL NUCLEAR AB (ANNA), $-   
ANTI-NEUTROPHIL CYTOPLASMIC AB, $-   
ANTINEUTROPHIL CYTOPLASMIC AB(ANC, $-   
"ANTINUCLEAR ANTIBODIES, IFA",$129.00 
ANTINUCLEAR ANTIBODY (ON 6461),$129.00 
ANTINUCLEAR ANTIBODY CASCADE,$129.00 
ANTI-PARIETAL CELL ABS,$100.00 
"ANTIPHOSPHATIDYLSERINE IGG,IGM,IG", $-   
ANTIPHOSPHOLIPID AB. (PANEL), $-   
ANTI-PHOSPHOLIPID IGG/IGM, $-   
ANTI-PLATELET ANTIBODY, $-   
ANTI-PM-1,$194.00 
ANTIPROTEINASE 3,$100.00 
ANTIPSYCHOTICS(80342),$323.03 
ANTIPSYCHOTICS(80344),$115.00 
ANTIPY-BENZ-PHENYL OTIC SOLN 13ML, $-   
ANTIPYRINE AND BENZOCAINE 10ML, $-   
ANTIPYRINE-BENZ. OTIC DROPS 15ML, $-   
ANTIPYRINE-BENZOCAINE 10ML, $-   
ANTI-RI (CSF ONLY),$183.00 
"ANTI-RI ANTIBODIES, SERUM",$183.00 
ANTI-SCLERODERMA-70,$194.00 
ANTISCLERODERMA-70 ANTIBODIES,$194.00 
ANTISKELETAL ANTIBODY,$183.00 
ANTI-SMITH,$194.00 
ANTI-SMITH,$194.00 
ANTI-SMITH RNP,$194.00 
ANTI-SS-A(RO),$194.00 
ANTI-SS-B(LA),$194.00 
ANTITHROMBIN III,$222.00 
ANTI-THROMBIN III,$222.00 
ANTITHROMBIN III 0.02ML, $-   
ANTITHROMBIN III ACTIVITY,$222.00 
ANTITHYROID ANTIBODIES,$70.00 
ANTI-YO,$127.00 
ANTI-YO ANTIBODIES CSF, $-   
APAP/PHENYLTOLOXAMINE 650/60, $-   
APAP-BUTALBITAL-CAFF TAB, $-   
APAP-BUTAL-CAFF-CODEINE 30MG CAP, $-   
APAP-DIPHENHYDRAMINE 500-38MG TAB, $-   
APAP-PHENTOLOXAMINE 325-30MG TAB, $-   
APIXABAN 2.5MG TABLET, $-   
APIXABAN 5 MG, $-   
"APOLIPOPROTEIN,EACH",$132.00 
APOLIPOROTEIN A1 & B, $-   
APP OF FINGER (SP-DYN),$422.10 
APP OF FINGER (SP-STATIC),$455.70 
APP OF SHORT ARM (SP- STATIC),$455.70 
APP OF SHORT ARM (SP-DYN),$422.10 
APPL FIG OF 8 CAST FINGER F1,$316.00 
APPL FIG OF 8 CAST FINGER F2,$316.00 
APPL FIG OF 8 CAST FINGER F3,$316.00 
APPL FIG OF 8 CAST FINGER F4,$316.00 
APPL FIG OF 8 CAST FINGER F5,$316.00 
APPL FIG OF 8 CAST FINGER F6,$316.00 
APPL FIG OF 8 CAST FINGER F7,$316.00 
APPL FIG OF 8 CAST FINGER F8,$316.00 
APPL FIG OF 8 CAST FINGER F9,$316.00 
APPL FIG OF 8 CAST FINGER FA,$316.00 
APPL FIG OF 8 CAST GAUNTLET BIL,$631.00 
APPL FIG OF 8 CAST GAUNTLET LT,$316.00 
APPL FIG OF 8 CAST GAUNTLET RT,$316.00 
APPL FIG OF 8 CAST LONG ARM BIL,"$1,435.00 "
APPL FIG OF 8 CAST LONG ARM LT,$717.00 
APPL FIG OF 8 CAST LONG ARM RT,$717.00 
APPL FIG OF 8 CAST SHORT ARM BIL,"$1,435.00 "
APPL FIG OF 8 CAST SHORT ARM LT,$717.00 
APPL FIG OF 8 CAST SHORT ARM RT,$717.00 
APPL SHORT LEG CAST WALK AMB TYPE,$717.00 
APPLIC 1/> ARAS WHPOOL-FLUIDOTHE,$126.00 
APPLIC 1/> AREAS PARRAFIN BATH,$86.10 
APPLIC 1/> AREAS PARRAFIN BATH,$86.10 
APPLIC 1/> AREAS WHIRLPOOL,$126.00 
APPLIC 1/> AREAS WHIRLPOOL,$145.00 
APPLIC 1/> VASOPNEUMATIC DEVICES,$126.00 
APPLIC 1/> VASOPNEUMATIC DEVICES,$126.00 
APPLIC 1/>WHIRLPOOL-FLUIDOTHERAPY,$145.00 
APPLIC MOD 1/> AREAS E-STIM 15MIN,$131.25 
APPLIC MOD 1/> AREAS E-STIM 15MIN,$131.25 
APPLIC MOD 1/> AREAS IONTO 15MIN,$154.35 
APPLIC MOD 1/> CONTRAST BATH 15M,$126.00 
APPLIC MOD 1/> CONTRAST BATH 15M,$126.00 
APPLIC MOD 1/> ELEC STIM UNATTEND,$126.00 
APPLIC MOD 1/> ELEC STIM UNATTEND,$126.00 
APPLIC MOD 1/> E-STIM-INTERFERREN,$126.00 
APPLIC MOD 1/> E-STIM-INTERFERREN,$126.00 
APPLIC MOD 1/> MAN TRACTION 15MIN,$154.35 
APPLIC MOD 1/> MECHANICAL TRACTIO,$126.00 
APPLIC MOD 1/> ULTRASOUND 15MIN,$126.00 
APPLIC MOD 1/> ULTRASOUND 15MIN,$126.00 
APPLIC SURFACE NEUROSTIMULATOR,$126.00 
APPLIC SURFACE NEUROSTIMULATOR,$126.00 
APPLICATION CAST HAND/LOW FOREARM,$160.00 
APPLICATION CAST LONG ARM PF,$196.00 
APPLICATION CAST SHORT ARM PF,$155.00 
APPLICATION CAST SHORT LEG PF,$214.00 
APPLICATION CAST THIGH TO ANKL PF,$286.00 
APPLICATION FIGURE EIGHT SPLINT,$316.00 
APPLICATION FINGER SPLINT F8,$524.00 
APPLICATION FINGER SPLINT F9,$524.00 
APPLICATION FINGER SPLINT ST F1,$524.00 
APPLICATION FINGER SPLINT ST F2,$524.00 
APPLICATION FINGER SPLINT ST F3,$524.00 
APPLICATION FINGER SPLINT ST F4,$524.00 
APPLICATION FINGER SPLINT ST F5,$524.00 
APPLICATION FINGER SPLINT ST F6,$524.00 
APPLICATION FINGER SPLINT ST F7,$524.00 
APPLICATION LONG ARM SPLINT BIL,$631.00 
APPLICATION LONG ARM SPLINT RT,$316.00 
APPLICATION LONG LEG CAST BIL,"$1,435.00 "
APPLICATION LONG LEG CAST LT,$717.00 
APPLICATION LONG LEG CAST RT,$717.00 
APPLICATION LONG LEG SPLINT BIL,"$1,047.00 "
APPLICATION LONG LEG SPLINT RT,$524.00 
APPLICATION SHORT ARM SPLINT STBI,$631.00 
APPLICATION SHORT ARM SPLINT STRT,$316.00 
APPLICATION SHORT LEG CAST BIL,"$1,435.00 "
APPLICATION SHORT LEG CAST LT,$717.00 
APPLICATION SHORT LEG CAST RT,$717.00 
APPLICATION SHORT LEG SPINT LT,$316.00 
APPLICATION SPLINT LONG LEG,$524.00 
APPLICATION SPLINT LONG LEG PF,$179.00 
APPLICATON SHORT LEG SPLINT BIL,$631.00 
APPLICATON SHORT LEG SPLINT RT,$316.00 
APPLICATOR CHLORAPREP 26ML,$36.18 
APRACLONIDINE 0.5% OPTH SOLN 5ML, $-   
APROTININ FIBRINOGEN THROMBIN 4ML, $-   
APROTININ-FIBRINOGEN-THROMBIN10ML, $-   
"APROTONIN 10,000 K.I.U./ML INJ.", $-   
"APT, FECES",$57.00 
APTT MIX,$121.28 
AQUAPHOR HEALING OINT, $-   
AQUAPHOR ORIGINAL OINT 396GM, $-   
AQUATIC THERAPY W/THER EXC 15MIN,$178.00 
AQUATIC THERAPY W/THERAP EXERCISE,$178.00 
ARBO VIRUS IGG CSF, $-   
ARBO VIRUS IGM CSF, $-   
AREDIA 90MG VIAL, $-   
ARFORMOTEROL TARTRATE 15MCG/2ML, $-   
ARGATROBAN 250MG/2.5ML VIAL, $-   
ARGATROBAN IN NACL 50MG 50ML, $-   
ARGENTAFFI STAIN,$107.00 
ARIPIPRAZOLE 15MG TABLET, $-   
ARIPIPRAZOLE 2MG TABLET, $-   
ARIPIPRAZOLE 5MG, $-   
ARIPIPRAZOLE 662MG/2.4ML, $-   
ARMBOARD TARRYBOARD ADULT,$7.13 
ARMBOARD TARRYBOARD CHILD,$9.00 
AROMATIC SOLVENTS METABOLITES, $-   
ARSENIC(82175),$109.00 
"ARSENIC, 24HR URINE",$109.00 
"ARSENIC, WHOLE BLOOD",$109.00 
ARTERIAL AMMONIA FOR CHARGE PANEL,$112.00 
ARTERIAL CATH F TRANSFUSION PE,"$2,996.00 "
ARTERIAL PUNCTURE,$69.00 
ARTHROCENTESIS INT JOINT W/O US,$653.71 
ARTHROCENTESIS INT JOINT W/O USPF,$163.00 
ARTHROCENTESIS MAJ JOINT W/O US,$572.25 
ARTHROCENTESIS MAJ JOINT W/O USPF,$196.00 
ARTHROCENTESIS SM JOINT W/O US,$653.71 
ARTHROCENTESIS SM JOINT W/O US PF,$144.00 
ARTHROPOD EXAM,$76.00 
ARTIFICIAL SALIVA 60ML, $-   
ARTIFICIAL TEARS 0.5% SOLN 15ML, $-   
ARTIFICIAL TEARS 1% SOLN 0.4ML, $-   
ARTIFICIAL TEARS 3% SOLN 30ML, $-   
ARTIFICIAL TEARS OPTH SOLN 15ML, $-   
ARTIFICIAL TEARS OPTH SOLN 15ML, $-   
ARTIFICIAL TEARS OPTH SOLN 15ML, $-   
ARTIFICIAL TEARS OPTH SOLN 15ML, $-   
ARTIFICIAL TEARS OPTH SOLN 30ML, $-   
ASCORBIC & FOLIC ACID-IRON CR TAB, $-   
ASCORBIC ACID,$237.00 
ASCORBIC ACID (VIT C) 250MG TAB, $-   
ASCORBIC ACID (VIT C) 500MG TAB, $-   
ASCORBIC ACID 500MG TABLET, $-   
ASCORBIC ACID 500MG/5ML DROP 50ML, $-   
ASCORBIC ACID 500MG/ML 50ML INJ., $-   
ASCORBIC ACID INJ 250MG/ML 2ML, $-   
ASCRIPTIN 325MG, $-   
ASENAPINE SL 5MG TAB, $-   
ASENAPINE SL TABLET 10MG, $-   
ASO TITER,$71.00 
ASO TITER,$71.00 
ASP/INJ GANGLION CYST,$752.00 
"ASP/INJ RENAL CYST/PELVIS,PERCUT","$1,360.00 "
"ASP/INJ RENAL CYST/PELVIS,PERCUT","$1,360.00 "
"ASP/INJ RENAL CYST/PELVIS,PERCUT","$1,360.00 "
"ASP/INJ RENAL CYST/PELVIS,PERCUT","$1,360.00 "
ASPARAGINASE 10000U INJ., $-   
ASPERGILLUS FLAV ANTIBODIES,$179.00 
ASPERGILLUS FLAVUS ANTIBODIES,$179.00 
ASPERGILLUS FUMI ANTIBODIES,$179.00 
ASPERGILLUS FUMI PRECIPITATING AB,$179.00 
ASPERGILLUS FUMI.(ON6754 & 6761),$179.00 
ASPERGILLUS GALACTOMANNAN AG,$265.00 
ASPERGILLUS NIGER ANTIBODIES,$179.00 
ASPERGILLUS NIGER ANTIBODY (L.C.),$179.00 
ASPIRATION &/OR INJ THYROID CYST,"$1,435.00 "
ASPIRIN 300MG SUPP, $-   
ASPIRIN 300MG W/COD 30MG TAB, $-   
ASPIRIN 325MG TAB, $-   
ASPIRIN 325MG TABLET, $-   
ASPIRIN 600MG SUPP, $-   
ASPIRIN 650MG/BUTALBITAL 50MG TAB, $-   
ASPIRIN CHEW 81MG TAB, $-   
ASPIRIN EC 165MG TAB, $-   
ASPIRIN EC 325MG TAB, $-   
ASPIRIN EC 500MG TAB, $-   
ASPIRIN EC 81MG TAB, $-   
ASPIRIN GUM 16EA/BOX, $-   
ASPIRIN SUPP 125MG, $-   
ASPIRIN W/ANTACID 325MG TAB, $-   
ASPIRIN/CAFFEINE 500-32MG TAB, $-   
ASPIRIN-APAP-CAFFEINE TABLET, $-   
ASPIRIN-SOD. BICARB EFF TAB, $-   
ASSESS APHASIA W/HR PER HOUR,$344.40 
ASSISTIVE TECHNOLOGY ASSESSMENT,$285.00 
AST (SGOT),$33.00 
ASTEMIZOLE 10MG TAB, $-   
ATACAND 8MG, $-   
ATAPULGITE 600MG/15ML ELIXIR 30ML, $-   
ATAZANAVIR 300MG CAPSULE, $-   
ATENOLOL 0.5MG/1ML INJ. 10ML, $-   
ATENOLOL 25MG TAB, $-   
ATENOLOL 50MG TAB, $-   
ATENOLOL 5MG/ML SUSP 120ML, $-   
ATENOLOL/CHLORTHAL 100-25MG TAB, $-   
ATENOLOL/CHLORTHAL 50-25MG TAB, $-   
ATHLETIC SUPPORTER, $-   
ATOMOXETINE HCL 25MG CAPSULE, $-   
ATOMOXETINE HCL 40MG CAPSULE, $-   
ATORVASTATIN 10MG TAB, $-   
ATORVASTATIN 20MG TAB, $-   
ATORVASTATIN 40MG, $-   
ATORVASTATIN 80MG TABLET, $-   
ATOVAQUONE 750MG/5ML SUSP 30ML, $-   
ATOVAQUONE SUSP. 750MG/5ML 5ML, $-   
ATRACURIUM 10MG/ML 5ML SDV, $-   
ATRACURIUM 10MG/ML INJ. 10ML, $-   
ATROPINE 0.1MG/1ML INJ 10ML, $-   
ATROPINE 0.4MG/1ML INJ. 1ML, $-   
ATROPINE 0.4MG/ML 20ML MDV, $-   
ATROPINE 1% 5ML, $-   
ATROPINE 1% OPTH 2ML, $-   
ATROPINE 1% OPTH SOLN 15ML, $-   
ATROPINE 1% OPTH SOLN 1ML UD, $-   
ATROPINE 1MG/ML 1ML INJECTION, $-   
ATROPINE SYRG 0.05MG/ML 5ML, $-   
ATTENTION CURRENT STATUS,$0.01 
ATTENTION DISCHARGE STATUS,$0.01 
ATTENTION PROJECTED STATUS,$0.01 
ATUSS G SYRUP 5ML ORAL SYRINGE, $-   
ATYPICAL PNEUMONIA PANEL, $-   
AUDITORY REHAB POST LINGUAL HLOSS,$234.00 
AUDITORY REHAB PRE-LINGUAL HLOSS,$234.00 
AUGMENTIN ES 600MG SUSP 50ML, $-   
AUGMENTIN XR 1000-62.5MG TABLET, $-   
AURANOFIN 3 MG CAP, $-   
AUROTHIOGLUCOSE 50MG/ML INJ 10ML, $-   
AUTOLOGOUS RBC,$789.00 
AVALIDE 150-12.5MG, $-   
AVEENO COLLOIDAL OATMEAL BATH, $-   
AVEENO OILATED BATH, $-   
AVITENE 35X35 SHEET, $-   
AVUL NAIL PLATE SIMP EA ADDL,$256.00 
AVULSION EA ADDL NAIL PLATE PF,$79.00 
AXID AR 75MG, $-   
AXONA PACKET 40GM, $-   
AZATHIOPRINE 100MG INJECTION, $-   
AZATHIOPRINE 50MG TAB, $-   
AZELASTINE NASAL SPRAY 17ML, $-   
AZELASTINE NASAL SPRAY 30ML, $-   
AZELASTINE OPHTH.DROPS 0.05%, $-   
AZILSARTAN 40MG TABLET, $-   
AZILSARTAN 80MG TABLET, $-   
AZITHROMCIN 200MG/5ML 15ML, $-   
AZITHROMYCIN 100MG/5ML SUSP 15ML, $-   
AZITHROMYCIN 1GM PACKET, $-   
AZITHROMYCIN 1GM POWDER, $-   
AZITHROMYCIN 200MG/5ML 30ML, $-   
AZITHROMYCIN 200MG/5ML 5ML, $-   
AZITHROMYCIN 200MG/5ML SUSP 15ML, $-   
AZITHROMYCIN 250MG CAP, $-   
AZITHROMYCIN 250MG CAP 6EA, $-   
AZITHROMYCIN 500MG INJ., $-   
AZITHROMYCIN 600 MG TABLET, $-   
AZITHROMYCIN-BENZ OPTH 1% 2.5ML, $-   
AZTREONAM 1GM INJ., $-   
AZTREONAM 2 GM INJ., $-   
AZTREONAM 2GM INJ., $-   
AZTREONAM 500MG INJECTION, $-   
AZTREONAM IN D5W 1GM/50ML, $-   
"B CELLS, TOTAL COUNT",$274.00 
B COMPLEX MULTIVITAMINS, $-   
B COMPLEX TABLET, $-   
B COMPLEX VITAMIN TABLET, $-   
B COMPLEX W/VIT C TAB, $-   
B-2 GLYCOPROTEIN 1 ANTIBODIES GAM, $-   
B72.3,$331.00 
BABESIA MICROTI IGG ANTIBODIES,$229.32 
BABY SHAMPOO 105ML, $-   
BABY SHAMPOO 444ML, $-   
"BACITRACIN 50,000 UNIT INJ.", $-   
BACITRACIN 500U/GM 28.4GM, $-   
BACITRACIN OINT 15GM, $-   
BACITRACIN OINT 30G, $-   
BACITRACIN OINT U/D, $-   
BACITRACIN OPHTH OINT 3.5G, $-   
BACITRACIN OPTH OINT 3.5GM, $-   
BACITRACIN- POLYMYXIN B CR 1 OZ, $-   
BACITRACIN TOPICAL OINT 15GM, $-   
BACITRACIN-POLYMIX B POWDER 10GM, $-   
BACLOFEN 0.05MG/ML 1ML AMPULE, $-   
BACLOFEN 10 MG TAB, $-   
BACLOFEN 1000MCG/ML 20ML, $-   
BACLOFEN 20MG TAB, $-   
BACLOFEN 25MCG 0.0125ML, $-   
BACLOFEN 25MCG/0.025ML, $-   
BACLOFEN 40MG 20ML INJECTION, $-   
BACLOFEN INTRATHECAL AMPULE 1ML, $-   
BACLOFEN INTRATHECAL RFL 10MG/5ML, $-   
BACLOFEN PF 2MG/ML SOLUTION, $-   
BACLOFEN POWDER 0.1GM, $-   
BACLOFEN(LIORESAL),$317.00 
BACLOFEN/MORPHINE 2-7MG/ML 20ML, $-   
