Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
1622218,TRAY PLASTIC SURGERY,$411.00,
1622219,TRAY SIGMOID-PROCTO,$629.00,
1622222,TRAY THORACOSTOMY ER,$864.00,
1622224,TRAY TROCAR NON-DISP,$539.00,
1622226,TRAY TRACHEOSTOMY,$489.00,
1622227,LOOPS LEEP,$203.00,
1622230,TRAY UROLOG NON-DISP,$626.00,
1622232,TRAY UMBILICAL CATH,$245.00,
1622233,TUBE LACRIMAL INTUBATION,$341.00,
1622235,TUBING CONNECT 6',$86.00,
1622237,TUBE CANTOR,$636.00,
1622239,TUBE BLAKEMORE INTES,$1103.00,
1622240,TUBE FEEDNG INTERFLX,$277.00,
1622241,TUBE ENDOTRACHEAL,$126.00,
1622242,TUBE SPECIMEN LUKENS,$108.00,
1622243,TUBE FEEDING INFANT,$75.00,
1622244,TUBE LINTON,$1581.00,
1622245,TUBE NASOGASTRIC FEEDING,$75.00,
1622246,ENDO GATOR AUXILIARY JET,$7.50,
1622247,ENDO GATOR TUBING,$46.50,
1622249,TUBE FEEDING ENTERIC,$201.00,
1622250,TUBE MILLER-ABBOTT,$714.00,
1622251,TUBING ENTERAL PUMP,$119.00,
1622252,TUBE TRACH SHILEY,$750.00,
1622253,TUBE TRACH NON DISP,$750.00,
1622254,TUBE RECTAL,$154.00,
1622257,TUBE TRACH DISP,$634.00,
1622258,TUBE N/G SALEM SUMP,$109.00,
1622259,TUBE N/G LEVINE,$137.00,
1622260,DISP SPECULUM VAG,$60.00,
1622263,BOTTLE UNDERWATER DRN,$403.00,
1622264,URINEMETER,$425.00,
1622267,TUCKS (PKG),$102.00,
1622274,TROCAR VERSAPORT SERIES,$215.00,
1622275,GW,$299.00,
1622278,DRAIN HEIMLICH VALVE,$158.00,
1622279,AMERICAINE,$93.00,
1622282,DISP INFANT HOOD LARGE,$84.00,
1622284,PAD PERI EACH,$49.00,
1622285,CANE METAL ADJUST,$405.00,
1622287,DRSG STRTCH GZE 4 EA,$35.00,
1622290,BAG FECAL INCONT,$112.00,
1622294,BURRON ACCU. BLOC CON'T E,$200.00,
1622296,TRAY NERVE BLOCK,$474.00,
1622297,CAST FIBRGLS LEG SH,$427.00,
1622301,CATH INTRAUTERINE,$293.00,
1622305,CATH SUCTION,$38.00,
1622308,DRAIN THORACIC,$508.00,
1622309,CATH RADIAL ARTERY,$247.00,
1622310,DRAPE STERI 1012,$96.00,
1622312,DRAPE STERI 1010,$176.00,
1622313,DRSG IMPREGNATED SMALL,$49.00,
1622314,DRAPE STERI 1050,$135.00,
1622316,DRAPE STERI 1030,$149.00,
1622318,DRAPE STERI 1015,$156.00,
1622320,KIT HEMOCULT SLIDE,$76.00,
1622325,PAD EYE EA,$35.00,
1622334,IV SET WITH FILTER,$262.00,
1622335,OST STARTER SET,$273.00,
1622336,IV LOOP,$62.00,
1622339,MASK BILILITE,$54.00,
1622349,OST KARAYA POWDER,$139.00,
1622353,SUCTION SET UP,$65.00,
1622355,SUCTION CATH-N-GL BX,$795.00,
1622356,SHIELD EYE,$70.00,
1622363,SYRINGE IRRIGATION,$251.00,
1622364,TRAY DRSG CVP,$30.00,
1622365,SWAB BETADINE,$35.00,
1622372,TRAY GASTRIC LAVAGE,$456.00,
1622378,TRAY MYELOGRAM,$321.00,
1622383,TUBE HOLDER,$95.00,
1622387,VALVE ANTI-REFLUX,$113.00,
1622389,URINEMETER W/BAG,$326.00,
1622398,SENSOR TEMP,$29.00,
1622402,TRAY SWAN GNZ INSERT,$1056.00,
1622408,NDL BIOPSY,$620.00,
1622410,TRAY TRIPL LUMN CATH,$514.00,
1622412,CATH SWAN G 3-LUMEN,$1669.00,
1622413,BANISH II,$35.00,
1622417,KIT PRESSURE MONITNG,$859.00,
1622418,IV METRISET W/FILTER,$189.00,
1622419,CATH SWAN G PACING,$2488.00,
1622425,CLEANER CHIX BX,$21.00,
1622429,PAD EGGCRT WHEELCHAIR,$121.00,
1622431,SET ABSCESS DRAINAGE,$231.00,
1622439,CATH ANGIOPLAST BALLOON,$1719.00,
1622441,GW ANGIO,$132.00,
1622443,HYDROGEN PEROXIDE 4 OZ,$616.00,
1622445,NDL BIOPSY X-RAY,$252.00,
1622446,RESTRAINT BELT POSEY,$317.00,
1622447,CATH ANGIO X-RY SPEC,$159.00,
1622449,SET NEPHROSTOMY,$690.00,
1622450,RESTRAINT WRIST,$104.00,
1622456,TUBING PRESSURE 12,$428.00,
1622457,TUBING PCA PUMP,$174.00,
1622475,CLAMP SOFTJAW VASC INSERT,$136.00,
1622488,KIT PNEUMOTHORAX,$668.00,
1622493,TRAY GI LAB INSTRUMT,$185.00,
1622496,CATH VIP PACNG W/BAL,$766.00,
1622503,DRAPE TOWEL STRL PK2,$333.00,
1622504,ARMBOARD ALL SIZES,$35.00,
1622514,TRAY THORACOTOMY,$89.00,
1622516,PRB PACING SWAN/GZ,$940.00,
1622518,ELECTRODE PACNG TEMP,$658.00,
1622539,SET BILIARY DRAINAGE,$231.00,
1622540,DISP BIOPSY PUNCH,$32.00,
1622554,MESH PANTIE,$23.00,
1622583,DRSG COVERLET LG,$50.00,
1622589,CLAMP CORD,$57.00,
1622593,CATH SUCTION DEELEE,$47.00,
1622612,SPLINT FIBRGLS ALL,$195.00,
1622615,DRSG COMPRESSN LEG,$321.00,
1622625,UNDERPAD DISP,$14.00,
1622631,BETADINE SCRUB 8OZ,$93.00,
1622634,DISP PILLOW,$39.00,
1622637,MATTRESS FLOATATION,$435.00,
1622647,DOUCHE BETADINE,$55.00,
1622652,TUBE GASTRO SILICONE,$191.00,
1622657,DISP BIOPSY FORCEP,$413.00,
1622658,INTRO 5FR,$20.00,
1622659,DILATOR ESOPHAGEAL,$839.00,
1622661,IV SET PUMP W/FILTER,$111.00,
1622667,VALVE LOPEZ,$47.00,
1622669,TUBE ENDOTRACH INFNT,$126.00,
1622687,BETADINE SOLN 4 OZ,$39.00,
1622691,CATH SUCTION NFANT,$86.00,
1622699,TUBE CONNECT,$34.00,
1622720,ADAPTER MALE/MALE1,$35.00,
1622725,GOWN SURGICAL DISP,$57.00,
1622727,BAG ENEMA XRAY,$125.00,
1622728,DRSG TELFA 4X8 ADHES,$65.00,
1622767,KIT SCOPE CARE,$120.00,
1622771,PILLOW SHOULDR ABDCT,$737.00,
1622772,NDL PROTECTED,$54.00,
1622777,DRSG SORBSAN 4X8,$112.00,
1622778,KIT INSTRMT CORD BLD,$111.00,
1622786,PACK OB HYGIENE,$34.00,
1622843,KIT FACIA CLOSURE W/SUT P,$340.00,
1622845,NDL ARTERIAL THINWALL,$20.00,
1622853,DUAL TIP APPLICATOR,$181.00,
1622912,TUBE ENDOTRACH NERVE MONITOR,$987.00,
1623001,REACHER OT,$181.00,
1623011,OT THERAPLAST,$38.00,
1623014,OT BATH SPNG LG HAND,$70.00,
1623015,OT SPLINTING MATERIAL,$158.00,
1623025,OT GLOVE ISOTONER,$56.00,
1623036,OT KNIFE/FORK SWEDSH,$34.00,
1623040,OT THERAPUTTY,$137.00,
1623041,OT WRIST SUPPORT,$93.00,
1623044,OT I-FOAM HAND EXERC,$34.00,
1623046,OT WRIST COCK-UP,$84.00,
1623051,CHUX (PKG OF 5),$42.00,
1623052,CHUX EA,$10.00,
1623100,HUMIDIFIER O2 DISP RT,$107.00,
1623102,TUBE EXTENSN O2 RT,$49.00,
1623103,AMBU BAG DISP RT,$431.00,
1623104,CANNULA O2 RT,$80.00,
1623105,RT RESTR MITT O2,$280.00,
1623106,USN NEB INSPIRN RT,$111.00,
1623107,VENT CIRCUIT MECH  RT,$236.00,
1623108,MASK O2 ALL SIZES RT,$108.00,
1623111,RT HUMIDIFIER PREFIL,$107.00,
1623112,PRB RT OXIMTR ADULT,$291.00,
1623117,HAND HELD NEB RT,$115.00,
1623119,MASK AEROSOL RT,$77.00,
1623120,MASK VENTI RT,$80.00,
1623122,FILTER RT BACTERIA,$61.00,
1623125,TUBE AEROSOL RT,$56.00,
1623126,TENT CANOPY RT,$200.00,
1623128,SPIROMETR INCENTV RT,$241.00,
1623129,USN NEB SUPPLY RT,$147.00,
1623130,BUTTON RT TRACH,$1073.00,
1623131,TUBE CONNECT O2 RT,$19.00,
1623134,PRB RT OXIMTR INFT/PED,$227.00,
1623135,RT TUBING IPPB,$77.00,
1623137,PEAK FLOW METER RT,$132.00,
1623138,AEROCHAMBER RT,$146.00,
1623139,MASK IPPB/BIPAP RT,$115.00,
1623140,RT T-PIECE AEROSOL,$119.00,
1623145,BAG AEROSOL DISP RT,$34.00,
1623146,DISP SENSOR TEMP RT,$107.00,
1623148,MASK NON-REBREATH RT,$92.00,
1623153,AMBU BAG PEDI RT,$151.00,
1623155,MASK/CANNULA O2 RT,$49.00,
1623158,VENT HUMIDIFIER RT,$51.00,
1623159,RT HUMIDIFIER BUBBLE,$97.00,
1623165,RT RESPIGARD,$54.00,
1623173,MASK O2 PEDS RT,$108.00,
1623177,RT ADAPTER VENT,$35.00,
1623181,RT HAND PERCUSSOR,$132.00,
1623190,DRSG STICK,$72.00,
1623192,CHLORAZENE,$37.00,
1623198,ADAPTED SPOON,$84.00,
1623200,DYCEM,$144.00,
1623202,OT CUP,$60.00,
1623204,ADAPTED FORK,$84.00,
1623206,ELASTIC SHOELACE,$50.00,
1623208,PULL ZIPPER,$38.00,
1623225,BUTTON ORTHO,$176.00,
1623227,KIT ESSURE STERILIZATION,$2793.00,
1623528,TUBE GASTROSTOMY REPL,$609.00,
1623753,NDL MACROPLASTIQUE,$90.00,
1623764,KCI MATTRESS COVER,$585.00,
1623787,HEMOSTATIC PWDR KIT,$919.00,
1623789,TRAY SUTURE REMOVAL,$14.00,
1623806,BLOCK BITE,$37.00,
1623840,MCATH CORDIS TRANSIT,$1244.00,
1623881,MCATH PROWLER PLUS,$2110.00,
1624003,PT BOOT TX BUCKS,$613.00,
1624010,PT IMMOB KNEE 20,$817.00,
1624016,PT SLING KNEE KODEL,$388.00,
1624037,PT THERMOPHORE LG,$405.00,
1624046,PT FINGER SPLNT A/SZ,$47.00,
1624059,PT CPM PADS,$385.00,
1624064,ADAPTER MULTIFLO 3-WAY,$62.00,
1624087,KIT ANKLE DISTRACTOR STRA,$149.00,
1624091,STAPLER ROTIC,$1038.00,
1624126,NDL RETROBULBAR,$123.00,
1624139,CONNECTOR 5IN PLASTIC,$19.00,
1624148,STAPLER VERSA TAC 174023,$838.00,
1624156,TUBING PRESSURE,$241.00,
1624187,ENDO PNUT,$183.00,
1624243,SUTURE STAINLESS STEEL,$288.00,
1624245,WASHER ORTHO,$0.00,
1624250,VALVE TRACH SPEAKING,$600.00,
1624251,FEEDING SPIKE,$76.00,
1624252,SECTION HANDLE TOOTHBRUSH,$92.00,
1624253,FEEDING SPIKE W/2BAGS,$109.00,
1624255,FEEDING SPIKE W/FLUSH,$92.00,
1624257,FEEDING SPIKE W/BAG,$92.00,
1624293,DILATOR BALLOON,$2292.00,
1624296,CANNULA ERCP,$286.00,
1624316,KIT ORAL CARE VAPREVENT,$52.00,
1624320,KIT PEG,$462.00,
1624330,STNT BILIARY,$482.00,
1624332,SNARE POLYPECTOMY,$188.00,
1624334,BLN RETRIEVAL,$527.00,
1624345,BAG ICE,$34.00,
1624363,PRB CAUTERY BICAP,$1020.00,
1624393,MESH PANTY,$51.00,
1624394,SHOE HORN,$136.00,
1624396,SOCK AID,$84.00,
1624400,TUBE ENDOBRONCHIAL,$412.00,
1624402,STOCKING ANTI EMBOLISM RE,$247.00,
1624405,KIT MORPHINE REFILL,$343.00,
1624407,ENDO CHERRY DISSECTOR,$318.00,
1624409,HEMOCUE,$349.00,
1624414,STOCKING ANTI EMBOLISM OV,$247.00,
1624555,TRAY PROCEDURE SMALL,$30.00,
1624590,DRSG FLEXZAN 4X8,$241.00,
1624595,KIT PICC LINE ACCESSORY,$333.00,
1624652,PAD PREP,$21.00,
1624686,SYRINGE 60CC,$12.00,
1624690,KIT BREAST PUMP HAND HELD DLX,$52.00,
1624856,LAP DISC,$2775.00,
1624861,RESTRAINT VEST POSEY,$132.00,
1624884,NDL INTRAOSSEOUS,$420.00,
1624886,CATH CEREBRAL,$177.00,
1624899,CATH B FLEXIMA W/PIGTAIL LOC,$340.00,
1625067,FILTER SYSTEM GREENFIELD JUGULAR,$2475.00,
1625075,FILTER SYSTEM GREENFIELD FEMORAL,$2475.00,
1625081,GOWN GASTROPLASTY-2,$84.00,
1625199,DRSG WOUND POLYURETHANE FOAM,$30.00,
1625305,CATH ANGIO PIGTAIL,$133.00,
1625323,CATH HYSTERSALPINOGRAPHY,$202.00,
1625334,REAMER 8MM,$923.00,
1625340,REAMER LOW PROFILE,$878.00,
1625342,REAMER 10MM,$923.00,
1625348,FLIP CUTTER,$1300.00,
1625433,CATH PT DEV ARROW-TREROTOLA,$1447.00,
1625438,ELECTRODE PREMIE,$19.00,
1625498,CARTER THOMASON CLOSURE SYSTEM,$364.00,
1625503,SPACEMAKER BALLOON,$2129.00,
1625586,BX DIAPER TODDLER,$195.00,
1625743,RUMI KOH EFFICIENT,$284.00,
1625750,CAUTERY OPTEMP,$29.00,
1625751,SET VENTILATOR,$54.00,
1625752,CUTTING BLOCK NYLON,$298.00,
1625753,SITE OPTH CAUTERY,$123.00,
1625754,EVAC UROVAC BLADDER,$220.00,
1625755,SITE CASSETTE,$1179.00,
1625756,DISP CORD FOR BOVIE,$1306.00,
1625757,BELT SANITARY,$7.00,
1625758,TRAY OPTHALMIC DRSG,$563.00,
1625762,DRAPE STERILE,$47.00,
1625763,SNARE WIRE,$404.00,
1625764,NDL COUNTER,$39.00,
1625766,INFUSA-PART,$2703.00,
1625767,NDL CRICOTHYROTOMY,$234.00,
1625768,CATH FRENCH(ROB-NEL),$16.00,
1625769,SHEET EXTREMITY,$182.00,
1625770,PRB HYPO/HYPER SKIN,$248.00,
1625773,KIT ORTHESTIL DEVICE,$200.00,
1625777,BATH COMFORT WIPES,$52.00,
1625778,DISP MANIPULATOR UTERINE,$133.00,
1625781,RETRACTOR VAGINAL/CERVICA,$291.00,
1625787,CLAVE MULT USE,$60.00,
1625789,IMMOBILIZER HAND,$124.00,
1626198,SURGIFOAM,$797.00,
1626220,CIRC BIPAP,$83.00,
1626229,CAST FIBERGLASS LET,$1100.00,
1626261,GLIDE SCOPE GVL COVER,$43.00,
1626319,FILTER VENA CAVA BIRD,$2682.00,
1626343,GLIDEWIRE SUPER STIFF,$203.00,
1626418,KIT NEBULIZER,$32.00,
1626576,REDI BATH SHOWER CAP,$13.00,
1626600,SPECIALTY SUPPLY,$0.00,
1626707,GUN BIOPSY CT,$395.00,
1626715,SMART CAP,$46.50,
1626962,FIBRIN SEALANT,$1310.00,
1627023,SPONGE NEURO,$81.00,
1627213,STNT WALL,$2040.00,
1627285,SYRINGE INJECTR XRAY,$42.00,
1627795,PRESSURE INFUSOR BAG,$41.00,
1627890,SPLINT OCL ARM LONG,$80.00,
1627916,SPLINT OCL ARM SHORT,$42.00,
1627991,RUMI COLORED TIP,$139.00,
1628006,SCREW MANDIBULAR SM,$1638.00,
1628008,SCREW MANDIBULAR,$1821.00,
1628010,FILTER MICRON,$57.00,
1628012,WIPE MENTOR,$67.00,
1628013,TUBE VENT,$98.00,
1628014,J-VAC,$437.00,
1628015,STAPLE KLEIMAN 20/20,$390.00,
1628016,TUBING CYSTOTOME IRR,$222.00,
1628017,SUCTION SUPER SUCKER,$411.00,
1628018,INSTAT,$206.00,
1628019,PIN BALL-ALL JORGAN,$342.00,
1628020,CUTTER GIA BOWEL,$2272.00,
1628021,PATCH TEFLON,$102.00,
1628022,SYS CEMENT MIX BOWL,$491.00,
1628023,TUBING TUR UROMATIC,$107.00,
1628024,NEBULIZER HEART,$202.00,
1628026,GRASPING VANTC FORCEPS,$1052.00,
1628027,CUTTER GIA BOWEL RELOAD,$1738.00,
1628028,DRAPE VAG BIB,$202.00,
1628029,TENS PADS-2,$35.00,
1628030,NDL SURGI NEEDLE,$382.00,
1628031,RING FALLOPIAN PR,$500.00,
1628033,DRAIN I+O,$359.00,
1628035,LOOP MYRINGOTOMY,$207.00,
1628036,SET SYNTHES,$84.00,
1628038,PORT SURGI,$899.00,
1628040,DRAIN ROUND DAVOL,$183.00,
1628041,CYSTOTOME STRAIGHT,$118.00,
1628042,PUMP DAVOL IRRIGATOR,$150.00,
1628043,CYSTOMANOMETER,$188.00,
1628044,PUMP DAVOL ARTHRO,$428.00,
1628046,HEAD DAVOL,$102.00,
1628047,TRAY EPIDURAL CONT,$1100.00,
1628048,EVAC DAVOL,$275.00,
1628049,PACK DRAPE BASIC,$204.00,
1628052,BOUGIES,$93.00,
1628054,BIOMET PLUGS,$640.00,
1628056,COLLOSTAT,$166.00,
1628058,TRAY CLYBURN FIXATOR,$220.00,
1628060,EXCHANGER HEAT/MOIST,$65.00,
1628076,CONVERTER LAPAROSCOPIC,$145.00,
1628078,CLIP ENDOCLIP LAPARO,$2903.00,
1628084,BLOOD WARMER SUPPLY,$104.00,
1628089,HOOD LAMINAR,$301.00,
1628092,EXCHANGER TRACHEAL,$7975.00,
1628094,DRAPE STERI-IOBAN LG,$160.00,
1628095,DRAPE THERMADRAPE,$33.00,
1628109,DRAPE STERI 1061,$115.00,
1628113,SUTURE ORTHO,$1067.00,
1628120,DEV FOG RESIST,$227.00,
1628124,CLIP ANEURYSM,$1716.00,
1628134,INSUFFLATOR CO2,$252.00,
1628215,CATH COUNCIL,$261.00,
1628224,ENDO LOOP,$580.00,
1628227,DRSG SURGICEL 4X8,$350.00,
1628229,VAC HEPBURN TREPHIN,$343.00,
1628237,PACK GASTRIC STAPLNG,$3704.00,
1628240,GLASSES POST OP,$113.00,
1628242,KIT FOG REDUCTION,$251.00,
1628244,PIN CAPS,$47.00,
1628248,TUR ENDOSCOPY CABLE,$289.00,
1628249,KIT BONE PREP I-M,$428.00,
1628260,STAPLE HEMOCLIP,$742.00,
1628261,CATH TRIPLE LUMEN,$418.00,
1628262,PRB LITHOTRIP 9FR,$665.00,
1628265,PRB LITHOTRIP 5FR,$665.00,
1628271,ANCHOR QUICK,$1103.00,
1628276,CATH EPIDURAL RACZ TUN-L-,$2060.00,
1628277,CATH CYSTIC DUCT,$529.00,
1628280,TRAY MYRINGOTOMY,$346.00,
1628283,SYS DRAINAGE TLS,$65.00,
1628288,SUTURE DEV CAPIO,$144.00,
1628292,INST POCKET,$60.00,
1628299,RETRACTOR BOOKWALTER,$241.00,
1628303,KIT LAPARO AUTO ACCESS,$2384.00,
1628319,STAPLE ENDO GIA,$1571.00,
1628320,LAPARO ENDOGRASP,$940.00,
1628332,LASER TIP SAPHIRE,$711.00,
1628335,ENDO GAUGE,$134.00,
1628337,KIT ECU OPERATING,$2384.00,
1628343,STAPLER ENDO HERNIA,$1075.00,
1628364,STAPLE LAPARO HERNIA,$1320.00,
1628365,KNIFE ACL GRAFT,$237.00,
1628369,DILATORS VESSEL,$60.00,
1628370,LAPARO ENDO BABCOCK,$940.00,
1628376,KIT LAPARO ENDO-CHOLE ACC,$3982.00,
1628389,LASER MASK SURGICAL,$33.00,
1628396,GLIDEWIRE ANGLED/STRAIGHT,$247.00,
1628410,ELECTRODE ZOLL PACING,$39.00,
1628435,CATH IABP,$9245.00,
1628989,DRAPE ANGIO,$83.00,
1629000,ADAPTER SWIVEL,$182.00,
1629008,ADAPTER CATH,$55.00,
1629010,DISP ARTHROSCOPE,$333.00,
1629013,TUBE ARTHR IRRIG,$263.00,
1629016,TUBE ARTHR SPIKE,$121.00,
1629017,BAR ARCH,$223.00,
1629020,BAG DECANTER,$57.00,
1629021,BLADE ARTHRO DISP,$527.00,
1629023,BLADE ARTHRO CUTTING,$962.00,
1629026,DRAPE INTESTINAL BAG,$479.00,
1629030,BLADE DIONICS,$543.00,
1629032,BLADE DERMATOME,$168.00,
1629033,BLADE BEAVER,$200.00,
1629034,BLADE CRANIOTOME,$354.00,
1629036,BLADE BEAVER ORTHO,$222.00,
1629040,BLADE GREISHABER,$545.00,
1629042,BLADE SAW GIGLI,$276.00,
1629045,BLADE HALL LARGE,$376.00,
1629047,BLADE HALL A/S,$291.00,
1629048,BLADE EYE,$480.00,
1629054,BLADE 3-M,$486.00,
1629055,BLADE SHAVNG STRYKER,$819.00,
1629058,BONE WAX,$111.00,
1629059,BLADE URETHRATOME,$136.00,
1629062,EXTENSION TIP BOVIE,$112.00,
1629066,BOOT ARTHRO,$93.00,
1629067,CIRCUIT ANES BREATH,$134.00,
1629069,BRA MAMMARY SUPPORT,$419.00,
1629074,BRUSH FEMORAL CANAL,$385.00,
1629076,BURR HOLE BUTTONS,$194.00,
1629077,BRUSH CYTOLOGY,$435.00,
1629078,BSS PLUS,$869.00,
1629081,CANNULA IRRIGATING,$286.00,
1629082,COVER CAMERA ORTHO,$27.00,
1629083,CANNULA FISHER,$753.00,
1629084,COVER/DRAPE CAMERA,$285.00,
1629085,CAST FIBRGLAS ARM LG,$727.00,
1629086,CANNULA CONCEPT PLST,$72.00,
1629087,CAST CHANGE OR,$912.00,
1629088,CANNULA ACUFLEX,$0.00,
1629089,CANNULA /NEEDLE COLLAGEN,$747.00,
1629092,CATH BRONCH ENDO RT,$188.00,
1629093,CAST FIBRGLAS LEG LG,$1274.00,
1629094,CATH CHOLANGIO,$329.00,
1629098,CATH BRONCH ENDO LT,$641.00,
1629099,CATH BILIARY,$491.00,
1629102,CATH EPIDURAL,$231.00,
1629105,CATH FOGARTY ARTERIAL,$404.00,
1629108,CATH DILATATION,$1620.00,
1629112,KIT CATH HICKMAN,$858.00,
1629114,CATH HICKMAN,$1235.00,
1629115,CATH GROSHONG,$2484.00,
1629116,CATH HEMED PORT-A,$2249.00,
1629118,CATH HAHN VITA CUFF,$1690.00,
1629125,CATH QUINTON HEMO,$781.00,
1629126,CATH MALECOT,$247.00,
1629129,CATH STAMEY,$278.00,
1629131,CATH TENCHOFF,$875.00,
1629135,CATH SUPRAPUBIC,$577.00,
1629136,CATH URETERAL DISP,$397.00,
1629140,TIP CAUTERY EXT,$154.00,
1629141,CAUTERY PENCIL DISP,$204.00,
1629142,CAUTERY CONCEPT,$555.00,
1629143,CAUTERY PAD,$76.00,
1629144,CAUTERY CLEANER,$68.00,
1629145,CAUTERY MALLIS,$192.00,
1629148,CAUTERY EYE DISP,$367.00,
1629154,CEMENT MIXING BOWL,$214.00,
1629155,SUPPLIES CELL SAVER,$2065.00,
1629156,CEMENT SYRINGE,$520.00,
1629157,CEMENT HOOK,$137.00,
1629159,CEMENT GUN,$210.00,
1629161,CLIP PARL JAW SPRING,$158.00,
1629163,CLIP LEROY,$84.00,
1629166,CLIP HULKA,$373.00,
1629167,CLIP VENA CAVA,$1539.00,
1629169,CLIP RANEY,$503.00,
1629174,CRYOEXTRACTOR,$662.00,
1629176,DERMABOND,$311.00,
1629180,BAG CYSTO DRAIN/HOSE,$248.00,
1629181,DERMACARRIER,$172.00,
1629182,DISP APRON CYSTO,$60.00,
1629183,DILATOR URETERAL,$665.00,
1629185,SET DILATOR URETERAL,$111.00,
1629186,TUBING CYSTO,$196.00,
1629189,DERMATONE HEAD,$229.00,
1629190,KIT DRAIN HYSTERO,$482.00,
1629191,DRAIN AMBRANSON,$223.00,
1629192,DRAIN SUPRAPUBIC,$458.00,
1629195,DRAIN FLAT KIT,$343.00,
1629196,DRAIN SUMP,$139.00,
1629197,DRAIN CHAFFIN/JACK PRATT,$289.00,
1629200,DRAPE BARRIER FIELD,$165.00,
1629201,DRAPE EYE,$75.00,
1629202,DRAPE BACK TABLE,$76.00,
1629203,DRAPE CHYMO,$287.00,
1629205,DRAPE CASSETTE,$192.00,
1629207,DRAPE EQUIP COVER,$1055.00,
1629209,DRAPE FACE REST COVR,$229.00,
1629210,DRAPE LASER,$356.00,
1629212,DRAPE LAP SHEET,$288.00,
1629217,DRAPE UNDER BUTTOCKS,$287.00,
1629220,DRAPE SHEET 3/4,$138.00,
1629222,DRAPE PERI/GYN,$111.00,
1629223,DRAPE SPLIT SHT THYR,$111.00,
1629224,DRAPE MICROSCOPE,$420.00,
1629225,DRAPE SPLIT SHEET,$188.00,
1629226,DRAPE MAYO COVER,$57.00,
1629228,DRAPE SHEET 3/4 LAP,$111.00,
1629229,DRAPE STERI LG 1040,$212.00,
1629230,DRSG COTTON ROLL,$187.00,
1629231,DRAPE THYROID,$219.00,
1629232,DRAPE X-RAY,$136.00,
1629234,DRAPE UROLOGICAL,$144.00,
1629235,DRAPE THERM BLANKET,$33.00,
1629237,DRAPE U,$161.00,
1629238,DRSG EYE OR,$44.00,
1629239,DRAPE TOWEL DISP,$96.00,
1629240,DURAFILM,$772.00,
1629241,CATH FILIFORM 4FR,$479.00,
1629243,FORCEPS BIOPSY JUMBO,$491.00,
1629245,FIXATOR EXTERNAL LG,$0.00,
1629246,EVAC ELLIK,$210.00,
1629249,FILM EA PICTURE,$34.00,
1629250,KIT GASTRIC ACCESS,$4149.00,
1629255,BIOPSY FORCEPS HOT,$413.00,
1629257,DISP GRASPING FORCEPS,$753.00,
1629258,LIDOCAINE 2% CAPSULE,$1254.00,
1629262,GIRDLE LIPOSUCTION,$412.00,
1629273,GRFT UMBILICAL VEIN,$8088.00,
1629276,GRFT VELOUR STR,$2842.00,
1629278,GRFT VELOUR BIFUR,$3930.00,
1629286,GW BARD,$135.00,
1629288,GUIDE PIN RICH,$0.00,
1629292,HEMOVAC MINI,$933.00,
1629293,HEADREST MAYFIELD,$265.00,
1629295,HEADREST FOAM,$113.00,
1629298,CLIP HEMOCLIP/LIGACLIP,$223.00,
1629300,HUMI UTERINE MANIP,$501.00,
1629304,HOOD LAMINAR FLOW,$1776.00,
1629305,IMP TENDON ACHILLES,$344.00,
1629310,IMP MAMMARY (1),$0.00,
1629312,IMP LENS IO-AMO,$614.00,
1629314,IMP TOE GREAT,$1437.00,
1629315,IMP CORNEA HUMAN,$0.00,
1629317,IMP FINGER JOINT,$1592.00,
1629318,BLANKET WARMING BAIR HUGGER,$291.00,
1629321,IMP TOE HINGED,$1221.00,
1629325,INTERCEED (OG/GYN),$1304.00,
1629331,INTRO HICKMAN,$1131.00,
1629334,KIT CATH JEJUNOSTOMY,$364.00,
1629337,STNT J SINGLE,$1846.00,
1629342,KIT JEJUNOSTOMY,$613.00,
1629345,KNIFE MYRINGOTOMY,$208.00,
1629347,KNIFE MICRO,$477.00,
1629350,KIT LTA,$74.00,
1629353,DISP LIGHT HANDLE,$54.00,
1629355,LASER SMOKE EVAC,$584.00,
1629357,SUPPLIES LASER C02,$2232.00,
1629362,DISP ANESTHESIA MASK,$102.00,
1629366,MARKING PEN SKIN,$68.00,
1629367,KIT MENISCECTOMY,$509.00,
1629368,KIT LAPAROSCOPE HERNIA,$6416.00,
1629370,NDL CYSTOTOME,$123.00,
1629372,NDL CHYMO,$260.00,
1629373,PACK EYE CUSTOM,$817.00,
1629382,NDL TOUHY,$160.00,
1629387,STIMULATOR NERVE,$359.00,
1629391,PACK ACCESS PAK,$123.00,
1629394,PACK CYSTOSCOPY,$204.00,
1629397,OXIMETER/OXISENSOR,$293.00,
1629399,PACK ARTHROSCOPY,$1109.00,
1629400,PACK LAPAROSCOPY,$390.00,
1629405,PACK PHACO,$1974.00,
1629408,PACK LAPAROTOMY,$546.00,
1629409,MASK LARYNGEAL AIRWAY,$3658.00,
1629412,PAD ANODE BX,$287.00,
1629415,PACKNG VAGINAL,$83.00,
1629416,PAD MAGNETIC INSTRMT,$95.00,
1629418,PAD GROUNDING,$80.00,
1629420,BLADE PHACO,$951.00,
1629421,TIP PHACO,$520.00,
1629422,PERFORATOR CRANIO,$679.00,
1629423,PIN GUIDE,$399.00,
