Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
"20805 Replantation, forearm(radius/ulna to radial carpal jt), complete amputation",,19089
"20808 Replantation, hand(hand thru MCP jt), complete amputation",,22404
"20816 Replantation,digit(MCP jt to flexor sublimis tendon),complete amputation",,12676
"20822 Replantation,digit(distal tip to sublimis tendon),complete amputation",,11602
"20824 Replantation,thumb(CMC jt to MP jt),complete amputation",,13531
"20827 Replantation,thumb(distal tip to MPJ),complete amputation",,11917
"20838 Replantation,foot,complete amputation",,16854
"20900 Bone graft,any donor area;minor or small",,1353
"20902 Bone graft,any donor area;major or large",,1947
20910 Cartilage graft;costochondral,,2998
20912 Cartilage graft;nasal septum,,3166
20920 Fascia lata graft;by stripper,,2600
"20922 Fascia lata graft;by incision & area exposure, complex/sheet",,3222
20924 Removal of tendon for graft,,4318
20926 Removal of tissue for graft,,3366
20930 Spinal bone allograft-morseliz,,798
20931 Spinal bone allograft,,673
20936 Autograft for spine surgery only (list separately in addition to primary code),,614
20937 Spinal bone autograft,,1021
"20938 Autograft spine surgery; structural, bicortical/tricortical (in addition to primary code)",,1114
20950 Monitor interstitial fluid pressure of muscle compartment syndrome,,595
20955 Bone graft w/ microvasc anastomosis;fibula,,15919
20956 Bone graft microvascular; iliac crest,,16616
20957 Bone graft w/ microvasc anastomosis; metatarsal,,13809
20962 Bone graft microvascular;other than fib/iliac crest/metatarsal,,13379
20969 Free osteocutaneous flap microvasc;other than iliac crest/metatarsal/great toe,,17782
20970 Free osteocutaneous flap w/ microvasc anast;iliac crest,,16055
20972 Free osteocutaneous flap w/ microvasc anast;metatarsal,,12334
20973 Free osteocutaneous flap w/ microvasc anast;great toe w/ web space,,16148
20974 Electrical stimulation to aid bone healing; noninvasive,,257
20975 Electrical stimulation to aid bone healing; invasive,,1113
"20979 Low intensity ultrasound stimulation to aid bone healing,noninvasive",,201
20982 Ablation therapy for reduction/eradication of 1 or more bone tumors incl imaging guidance when,,2132
20983 Ablation therapy for reduction/eradication of 1> bone tumors incl image guidance when performe,,2521
"20985 Comp-assist surg navigational proc for musculoskeletal proc,imageless",,820
"21010 Arthotomy, temporomandibular joint",,4280
21011 Excision face lesion sc < 2 cm,,1855
21012 Excision face lesion subq 2 cm/>,,2193
"21013 Excision, tumor, soft tissue of face and scalp, subfascial; less than 2 cm",,2270
21014 Excision tumor soft tiss face/scalp deep; 2cm/>,,3606
"21015 Radical resection of tumor (eg, sarcoma) soft tissue of face/scalp; less than 2 cm",,4044
"21016 Radical resection of tumor (eg, sarcoma) soft tissue of face/scalp; 2 cm/greater",,5854
21025 Excision of bone;mandible,,4347
21026 Excision of bone;facial bone(s),,2923
21029 Rmvl by contouring of b9 tumor of facial bone,,3731
21030 Excision of benign tumor/cyst of maxilla/zygoma by enucleation and curettage,,2790
21031 Excision of torus mandibularis,,1726
21032 Excision of maxillary torus palatinus,,1706
21034 Excision of malignant tumor of maxilla/zygoma,,6643
"21040 Excision of benign tumor/cyst of mandible, by enucleation and/or curettage",,2792
21044 Excision of malignant tumor of mandible;,,5760
21045 Excision of malignant tumor of mandible;radical resection,,7019
21046 Excision of b9 tumor/cyst of mandible;req intra-oral osteotomy,,7325
21047 Exc b9 tumor/cyst mandible;req extra-oral osteotomy&partial mandibulectomy,,8384
21048 Exc b9 tumor/cyst maxilla;req intra-oral osteotomy,,7509
21049 Excision of benign tumor/cyst of maxilla; req extra-oral osteotomy and partial maxillectomy,,7849
"21050 Condylectomy, temporomandibular joint",,5624
"21060 Meniscectomy, partial/complete TMJ",,5322
21070 Remove Coronoid Process,,5013
"21073 Manipulation of TMJ,therapeutic,req anes service",,1660
"21100 Appl of halo for maxillofacial fixation,incl rmvl",,2254
"21110 Appl of interdental fix device for other than fx/dislocation,incl rmvl",,4637
21116 Injection procedure for TMJ arthography,,275
21120 Genioplasty;augmentation,,3364
"21121 Genioplasty;sliding osteotomy,1 piece",,4299
"21122 Genioplasty;sliding osteotomies,>2 osteotomies",,4706
"21123 Genioplasty;sliding,augmentation w/interpositional bone graft",,5844
"21125 Augmentation,mandibular body/angle;prosthetic material",,5045
"21127 Augmentation, Lower Jaw Bone",,6793
"21210 Graft, bone; nasal/maxillary/malar areas",,5629
"21230 Graft; rib cartilage, autogenous,to face,chin,nose/ear",,4693
"21235 Graft; ear cartilage, autogenous, to nose/ear",,3775
21244 Reconstruction of mandible w/transosteal bone plate,,7893
21310 Closed tx of nasal bone fx w/o manipulation,,166
21315 Closed treatment of nasal bone fracture; w/o stabilization,,1025
21320 Closed tx of nasal bone fx;w/ stabilization,,890
21325 Open tx of nasal fx;uncomplicated,,3234
21330 Open tx of nasal fracture; complicated w/internal and/or external skelelal fixation,,3871
21335 Open tx of nasal fracture; w/concomitant open tx of fractured septum,,4862
"21336 Open tx of nasal septal fx,w/wo stabilization",,4411
21337 Closed treatment nasal septal fracture w/wo stabilization,,2001
21338 Open tx of nasoethmoid fx;w/o external fixation,,5149
21339 Open tx of nasoethmoid fx;w/ external fixation,,5773
"21340 Perq tx of nasoethmoid cplx fx,incl rpr of canthal ligaments and/or nasolacrimal apparatus",,8109
21343 Open tx of depressed frontal sinus fx,,8109
"21344 Open tx of comp frontal sinus fx, via coronal appr or mlt appr",,9607
"21345 Closed tx of nasomaxillary complex fx,w/ interdental fixation",,4411
"21346 Open tx of nasomaxillary cplx fx,w/ wiring and/or local fixation",,6096
21347 Open tx of nasomaxillary complex fx;req multiple open approaches,,7425
"21348 Open tx of nasomaxillary cplx fx,w/ bone graft (incl obtg grf)",,7675
"21355 Percutaneous Tx of Fx of malar area, incl. zygomatic arch and malar tripod,w/ manipulation",,2126
21356 Open treatment of depressed zygomatic arch fracture (eg Gilles approach),,2509
"21360 Open Tx of depressed malar Fx, incl. zygomatic arch and malar tripod",,3517
21365 Open tx complicated involving cranial nerve incl zygomatic arch & malar tripos; w/internal fix,,7160
"21366 Open Tx of complicated Fx(s) of malar area, incl. zygomatic arch and malar tripod;w/ internal",,8242
21385 Open Tx of orbital floor blowout Fx;transantral approach,,4510
21386 Open treatment of orbital floor blowout fracture; periorbital approach,,4545
21387 Open Tx of orbital floor blowout Fx;combined approach,,4777
21390 Open tx of orbital floor blowout fx; periorbital approach w/alloplastic/other implant,,5251
21395 Open Tx of orbital floor blowout Fx;periorbital approach w/ bone graft(incl. obtaining graft),,6397
"21400 Closed Tx of Fx of orbit, except blowout;w/o manipulation",,1080
"21401 Closed Tx of Fx of orbit, except blowout;w/ manipulation",,1950
"21406 Open Tx of Fx of orbit, except blowout;w/o implant",,3713
"21407 Open Tx of Fx of orbit, except blowout;w/o manipulation",,4270
"21408 Open Tx of Fx of orbit, except blowout;w/ manipulation",,5740
"21421 Closed Tx of palatal or maxillary Fx, w/ interdental fixation",,4577
21422 Open tx of palatal/maxillary fx(LeFort I);,,4403
"21423 Open Tx of palatal or maxillary Fx; complicated, multiple approaches",,5420
21431 Closed Tx of craniofacial separation (Lefort III) w/ interdental fixation,,4982
21432 Open Tx of craniofacial separation (LeFort III); w/ wiring and/or interdental fixation,,4732
"21433 Open Tx of craniofacial separation (LeFort III); complicated, multiple surgical approaches",,11190
"21435 Open Tx of craniofacial separation (LeFort III); complicated, utilizing internal and/or extern",,8931
"21436 Open Tx of craniofacial separation (LeFort III); complicated, mult. Approach, internal fixatio",,11176
21440 Closed Tx of mandibular or maxillary alveolar ridge Fx,,3308
21445 Open Tx of mandibular or maxillary alveolar ridge Fx,,4258
21450 Closed Tx of mandibular Fx; w/o manipulation,,3456
21451 Closed Tx of mandibular Fx; w/ manipulation,,4415
"21452 Percutaneous Tx of mandibular Fx, w/ external fixation",,2394
21453 Closed treatment of mandibular fracture with interdental fixation,,5443
21454 Open Tx of mandibular Fx w/ external fixation,,3572
21461 Open Tx of mandibular Fx; w/o interdental fixation,,6461
21462 Open tx mandibular fx; with internal fixation,,7088
21465 Open Tx of mandibular condylar Fx,,6069
21470 Open tx complicated mandibular fx by multiple surgical approaches incl internal fixation,,7802
21480 Closed treatment of temporomandibular dislocation; initial/subsequent,,200
"21485 Closed Tx of temporomandibular dislocation; complicated, initial or subsequent",,4080
21490 Open Tx of temporomandibular dislocation,,5992
"21497 Interdental wiring, for conditions other than Fx",,4315
"21501 Incision and drainage, deep abscess/hematoma, neck/thorax",,2512
"21502 I&D,deep abscess/hematoma,soft tiss of neck/thorax;w/partial rib ostectomy",,3194
"21510 Incision,deep,w/opening of bone cortex,thorax",,2858
21550 Biopsy of neck/chest,,999
"21552 Excision, tumor, soft tissue neck/anterior thorax subcutaneous; 3cm/>",,2847
"21554 Excision tumor soft tiss neck/anterior thorax, subfascial; 5 cm/>",,4626
"21555 Excision, tumor, soft tissue neck/anterior thorax subcutaneous; <3cm",,2202
"21556 Excision, tumor soft tissue of neck/anterior thorax, subfascial; < 5 cm",,3434
"21557 Radical resection of tumor (eg, sarcoma), soft tissue of neck/anterior thorax; less than 5 cm",,5887
"21558 Radical resection of tumor (eg, sarcoma) soft tissue of neck/anterior thorax; 5 cm or greater",,8428
"21600 Excision of rib,partial",,3671
21610 Costotransversectomy,,6961
21615 Excision first and/or cervical rib;,,3997
21616 Excision first and/or cervical rib;w/ sympathectomy,,5278
"21620 Ostectomy of sterum, partial",,3281
21627 Sternal debridement,,3533
21630 Radical resection of sternum;,,7710
21632 Radical resection of sternum;w/mediastinal lymphadenectomy,,7589
21685 Hyoid myotomy & suspension,,6480
21700 Division of scalenus anticus;w/o resection of cervical rib,,2310
21705 Division of scalenus anticus;w/ resection of cervical rib,,3403
"21720 Division of sternocleidomastoid for torticolis,open op;w/o cast appl",,3367
"21725 Division of sternocleidomastoid for torticolis,open op;w/ cast appl",,3137
21740 Reconstructive repair of pectus excavatum/carinatum;open,,7748
21750 Closure of median sternotomy separation w/wo debridement,,4033
"21800 Closed tx of rib fx w/o fixation,uncomplicated,each",,736
21811 Open treatment of rib fracture(s) with internal fixation includes thoracoscopic visualization,,2888
21812 Open treatment of rib fracture(s) with internal fixation includes thoracoscopic visualization,,4039
21813 Opent treatment of rib fracture(s) with internal fixation includes thoracoscopic visualization,,5506
21820 Closed tx of sterum fx,,994
21825 Open tx of sternum fx w/wo skeletal fixation,,3504
21920 Biopsy soft tissue of back,,952
"21925 Biopsy,soft tissue back/flank;deep",,2312
"21930 Excision tumor soft tissue, back or flank; less than 3 cm",,2662
21931 Excision tumor soft tissue back/flank; 3 cm />,,3214
21932 Exc soft tiss back/flank < 5 cm,,4433
"21933 Excision tumor soft tissue, back/flank; 5cm/>",,4655
"21935 Radical resection of tumor (eg, sarcoma) soft tissue of back/flank; less than 5 cm",,6513
"21936 Radical resection of tumor (eg, sarcoma) soft tissue of back/flank; 5 cm or greater",,8811
"22010 I&D, open, deep abscess (subfascial), posterior spine; cervical/thoracic/cervicothoracic",,6015
"22015 I&D, open, deep abscess (subfascial), posterior spine; lumbar/sacral/lumbosacral",,5715
"22100 Partial exc posterior vertebral comp bony les,1 segment;cervical",,5876
"22101 Partial exc posterior vertebral comp bony les,1 segment;thoracic",,5488
"22102 Partial exc posterior vertebral comp bony les,1 segment;lumbar",,5121
"22103 Partial exc posterior vertebral comp bony les,1 segment;each addl segment",,855
"22110 Partial exc vertebral body bony les,w/o decompression,1 segment;cervical",,6712
"22112 Partial exc vertebral body bony les,w/o decompression,1 segment;thoracic",,6633
"22114 Partial exc vertebral body bony les,w/o decompression,1 segment;lumbar",,6391
"22116 Partial exc vertebral body bony les,w/o decompression,1 segment;leach addl segment",,846
"22206 Osteotomy spine,posterior/posteriolateral appr,3columns,1segment;thoracic",,14793
"22207 Osteotomy spine,posterior/posteriolateral appr,3columns,1segment;lumbar",,14817
"22208 Osteotomy spine,posterior/posteriolateral appr,3columns,1segment;each addl segment",,3571
"22210 Osteotomy spine,posterior/posteriolateral appr,1 segment;cervical",,11086
"22212 Osteotomy spine,posterior/posteriolateral appr,1 segment;thoracic",,9317
"22214 Osteotomy spine,posterior/posteriolateral appr,1 segment;lumbar",,9350
"22216 Osteotomy spine,posterior/posteriolateral appr,1 segment;each addl segment",,2219
"22220 Osteotomy spine,incl discectomy,anterior appr,1 segment;cervical",,10173
"22222 Osteotomy spine,incl discectomy,anterior appr,1 segment;thoracic",,9089
"22224 Osteotomy spine,incl discectomy,anterior appr,1 segment;lumbar",,10005
"22226 Osteotomy spine,incl discectomy,anterior appr,1 segment;each addl segment",,2214
"22310 Closed tx of vertebral body fx,w/o manipulation,req/incl casting/bracing",,1811
22315 Closed tx vertebral fx and/or dislocation req casting/bracing,,4932
22318 Open tx and/reduction of odontoid fx and/or dislocation; w/o grafting,,10091
"22319 Open tx and/or reduction odontoid fx/dislocation,anterior appr,w/ graft",,11205
22325 Open tx &/or reduction vertebral fx &/or dislocation posterior approach; lumbar,,9045
22326 Open tx &/or reduction vertebral fx &/or dislocation posterior approach; cerical,,9270
22327 Open tx &/or reduction vertebral fx &/or dislocation posterior approach: thoracic,,9348
22328 Open tx &/or reduction vertebral fx &/or dislocation posterior approach; each addl fx vertebra,,1706
"22505 Manipulation of spine req. anesthesia, any region",,788
"22510 Percutaneous vertebroplasty (bone biopsy included when performed) 1 vertebral body, unilateral",,2848
"22511 Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body unilateral",,2698
"22512 Percutaneous vertebroplasty (bone biopsy included when performed) 1 vertebral body, unilateral",,1528
"22513 Percutaneous vertebral augmentation 1 vertebral body, unilateral or bilateral cannulation incl",,3325
22514 Percutaneous vertebral augmentation 1 vertebral body unilateral or bilateral cannulation incl,,3123
22515 Percutaneous vertebral augmentation 1 vertebral body unilateral or bilateral cannulation incl,,1621
"22526 Perq intradiscal electrothermal annuloplasty,uni/bi-lateral;1 level",,2165
"22527 Perq intradiscal electrothermal annuloplasty,uni/bi-lateral;each addl level",,963
"22532 Arthrodesis,lateral extravcavitary,incl min discectomy;thoracic",,11064
"22533 Arthrodesis,lateral extravcavitary,incl min discectomy;lumbar",,10469
"22534 Arthrodesis,lateral extravcavitary,incl min discectomy;each addl segment",,2204
"22548 Arthrodesis,anterior trans/extra-oral,clivus-C1-C2,w/wo exc of odontoid process",,12054
"22551 Arthrodesis,anterior interbody;below C2",,10611
"22552 Arthrodesis,anterior interbody;each addl interspace",,2391
"22554 Arthrodesis,anterior interbody,incl discectomy;cervical below C2",,7917
"22556 Arthrodesis, anterior interbody incl disectomy; thoracic",,10364
"22558 Arthrodesis, anterior interbody, incl discectomy;lumbar",,9623
22585 Additional Spinal Fusion,,4146
"22586 Arthrodesis,pre-sacral interbody,w/posterior instrumentation,L5-S1",,9229
"22590 Arthrodesis, posterior technique, craniocervical (occiput-C2)",,9820
"22595 Arthrodesis, posterior technique, atlas-axis (C1-C2)",,9373
"22600 Arthrodesis, posterior/posterolateral single level; cervical below C2 segment",,8098
"22610 Arthrodesis, posterior/posterolateral single level; thoracic",,7950
"22612 Arthrodesis, posterior/posterolateral single lelvel; lumbar",,9948
22614 Arthrodesis posterior or posterolateral; each addl vertebral segment,,2372
"22630 Arthrodesis, posterior interbody technique single interspace; lumbar",,9645
"22632 Arthrodesis, posterior interbody technique; lumbar each addl interspace",,1935
"22633 Arthrodesis,combined posterior/posterolateral w/posterior interbody;lumbar",,11417
"22634 Arthrodesis,combined posterior/posterolateral w/posterior interbody;each addl interspace/segme",,3010
"22800 Arthrodesis,posterior,spinal deformity,w/wo cast;upto 6 segments",,8533
"22802 Arthrodesis,posterior,spinal deformity,w/wo cast;7-12 segments",,13089
"22804 Arthrodesis, posterior, for spinal deformity; 13/more vertebral segments",,15049
"22808 Arthrodesis,anterior,spinal deformity,w/wo cast;2-3 segments",,11341
"22810 Arthrodesis,anterior,spinal deformity,w/wo cast;4-7 segments",,12597
"22812 Arthrodesis,anterior,spinal deformity,w/wo cast;>8 segments",,13915
"22818 Kyphectomy,circumferential exposure spine&resection;1/2 segment",,13820
"22819 Kyphectomy,circumferential exposure spine&resection;>3 segment",,16695
22830 Exploration Of Spinal Fusion,,5141
22840 Posterior non-segmental instrumentation across 1 interspace,,4624
22841 Internal spinal fixation by wiring spinous processes,,4617
22842 Insert Spine Fixation Device,,4632
