Procedure Number,Description,Standard Charge
114127,HC US FETAL ECHO CARDIAC F/U,"$1,529.51 "
114129,HC US FETAL CARDIAC DOPPLER COMPL,"$1,529.51 "
114131,HC US FETAL CARDIAC DOPPLER F/U,"$1,172.62 "
114133,HC US TRANSVAGINAL NON OB,"$1,172.62 "
114135,HC US HYSTEROSONOGRAM W DOPPLER,"$1,529.51 "
114137,HC US PELVIS COMPLETE NON OB,"$1,223.60 "
114139,HC US PELVIC NONOB LIMITED OR F/U,"$1,091.05 "
114141,HC US SCROTUM AND CONTENTS,"$1,172.62 "
114143,HC US TRANSRECTAL,"$1,019.67 "
114145,HC US PROSTATE VOLUME STUDY,"$1,172.62 "
114147,HC US EXTREMITY JOINT COMPLETE,"$1,172.62 "
114149,HC US EXTRMITY LIMITED AREA,$611.80 
114151,HC US INFANT HIPS DYNAMIC,$611.80 
114153,HC US PERICARDIOCENTESIS S/I,$602.30 
114155,HC US GUIDED PSEUDOANURYSM/AVF,"$1,344.98 "
114157,HC US GUIDED VASCULAR ACCESS,"$1,289.80 "
114159,HC US GUIDED ABLATION PARENCHYMA,$930.41 
114161,HC US GUIDED NEEDLE PLACEMENT S/I,"$1,393.07 "
114163,HC US GUIDANCE AMNIOCENTESIS S/I,"$1,370.36 "
114165,HC US GUIDED INTERSTITIAL APPLIC,"$5,081.32 "
114169,HC US GUIDANCE INTRAOPERATIVE,"$1,019.67 "
114171,HC TISSUE DOPPLER,$611.80 
114173,HC US CIMT RISK STUDY,$167.12 
114175,HC VESSEL MAPPING HEMO ACCESS,"$1,771.01 "
114177,HC US AAA SCREENING,"$1,019.67 "
114181,HC BREAST TOMOSYNTHESIS SCR BI,$40.79 
114185,HC PET BRAIN METABOLIC FUNCTION,"$8,956.53 "
114187,HC PET IMAG SKULL-MIDTHIGH INIT,"$6,050.81 "
114189,HC PET IMAGING WHOLE BODY,"$6,211.93 "
114191,HC PET CT LIMITED AREA,"$8,185.91 "
114193,HC PET CT SKULL BASE-MIDTHIGH,"$8,575.22 "
114195,HC PET CT WHOLE BODY,"$8,985.45 "
114197,HC TRACHEOSTOMY TUBE CHANGE,$403.13 
114199,HC ARTERIAL PUNCTURE,$310.62 
114201,HC VENT MANAGEMENT INITIAL DAY,"$2,855.08 "
114203,HC VENT MANAGEMENT SUBSEQUENT,"$2,809.14 "
114205,HC INHALATION TREATMENT,$260.02 
114207,HC CONTINUOUS NEB FIRST HR,$367.78 
114209,HC CONTINUOUS NEB ADDL HRS,$294.23 
114211,HC CPAP INITIATION/MANAGEMENT,"$2,176.07 "
114213,HC DEMO/EVAL PT UTILIZE RT DEVICE,$314.87 
114215,HC CHEST PHYSIOTHERAPY INITIAL,$501.33 
114217,HC CHEST PHYSIOTHERAPY SUBSEQUENT,$229.17 
114219,HC RESP STRENGTH THER EA 15 MIN,$582.74 
114221,HC RESP FCN THERAPY EA 15 MIN,$74.54 
114223,HC RESP FCN THERAPY GROUP,$74.54 
114225,HC HYPERBAR OXY THER PER SESSION,"$3,000.78 "
114227,HC FULL BODY CHAMB HBO PER 30 MIN,$712.54 
114229,HC PINNACLE CHAR POST OFFER PER15,$33.21 
114231,HC POST OFFER IRON WORKERS,$76.30 
114235,HC POST OFFER RAMBLIN EXPRESS,$66.15 
114237,HC POST OFFER SINTON DAIRY,$66.15 
114243,HC PT APPLY SPLINT LONG ARM,$899.39 
114249,HC PT APPLY SPLINT LONG LEG,$231.23 
114251,HC PT STRAPPING KNEE,$137.98 
114253,HC PT STRAPPING HEEL AND/OR FOOT,$156.50 
114255,HC PT STRAPPING TOES,$129.67 
114259,HC PT APP MLTLAY COMP UPR LEG,$240.25 
114261,HC PT APP MLTLAY COMP UPR ARM,$137.86 
114263,HC PT APP MLTLAY COMP ARM/HAND,$137.86 
114265,HC PT BIOFEEDBACK,$277.14 
114267,HC PT ROM TEST EA EXTREMITY/TRUNK,$20.13 
114269,HC CANALITH REPOSITIONING,$99.23 
114271,HC PT MECHANICAL TRACTION,$119.00 
114273,HC PT VASOPNEUMATIC DEVICES,$169.46 
114275,HC PT PARAFFIN BATH,$152.04 
114277,HC PT WHIRLPOOL/FLUIDOTHERAPY,$253.49 
114281,HC PT E-STIM ATTENDED EA 15 MIN,$303.75 
114283,HC PT IONTOPHORESIS EA 15 MIN,$134.62 
114285,HC PT ULTRASOUND EA 15 MIN,$200.27 
114289,HC PT THERAPEUTIC EXER EA 15 MIN,$192.22 
114291,HC PT NEUROMUSC RE-ED EA 15 MIN,$212.33 
114293,HC PT AQUATIC THERAPY W/EX 15 MIN,$143.63 
114295,HC PT GAIT TRAINING EA 15 MIN,$201.53 
114297,HC PT MASSAGE EA 15 MIN,$230.14 
114299,HC WC/AUTO MED MASSAGE EA 15 MIN,$32.91 
114301,HC DRY NEEDLING ADDTL 15 MIN,$24.24 
114303,HC DRY NEEDLING INITIAL 15 MIN,$120.99 
114305,HC PT MANUAL THERAPY EA 15 MIN,$204.28 
114307,HC PT GROUP THERAPY,$131.14 
114309,HC PT THERAPEUTIC ACT EA 15 MIN,$180.63 
114311,HC PT SENSORY INTEGRATION EA 15 MIN,$156.82 
114313,HC PT ADL TRAINING EA 15 MIN,$226.50 
114315,HC PT COMMUNITY REINTEG EA 15 MIN,$173.86 
114317,HC PT WHEELCHAIR MANAGE EA 15 MIN,$210.56 
114319,HC PT WORK HARDENING INITIAL 2HRS,$513.11 
114323,HC PT DEBRIDE SELECT <=20 SQ CM,$597.39 
114325,HC PT DEBRIDE SELECT >20 SQ CM,"$1,069.14 "
114327,HC PT DEBRIDE NONSELECTIVE,$270.11 
114333,HC PT PHYSICAL PERFORM TEST 15 MIN,$72.41 
114335,"HC PT ORTHO MNGMNT/TRAINING UPPER, LOWER, TRUNK INITIAL EA 15 MIN",$161.61 
114337,"HC PT PROSTHETICS TRAINING UPPER, LOWER, TRUNK INITIAL EA 15 MIN",$174.82 
114339,HC PT CHECKOUT ORT/PROS EA 15 MIN,$124.57 
114341,HC PT E-STIM UNATTENDED,$155.48 
114343,HC MOBILITY CURRENT STATUS,$0.01 
114345,HC MOBILITY GOAL STATUS,$0.01 
114347,HC MOBILITY DISCH STATUS,$0.01 
114349,HC BODY POS CURRENT STATUS,$0.01 
114351,HC BODY POS GOAL STATUS,$0.01 
114353,HC BODY POS DISCH STATUS,$0.01 
114355,HC CARRY CURRENT STATUS,$0.01 
114357,HC CARRY GOAL STATUS,$0.01 
114359,HC CARRY DISCH STATUS,$0.01 
114361,HC SELF CARE CURRENT STATUS,$0.01 
114363,HC SELF CARE GOAL STATUS,$0.01 
114365,HC SELF CARE DISCH STATUS,$0.01 
114367,HC OTH PT/OT CURRENT STATUS,$0.01 
114369,HC OTH PT/OT GOAL STATUS,$0.01 
114371,HC OTH PT/OT DISCH STATUS,$0.01 
114373,HC SUB PT/OT CURRENT STATUS,$0.01 
114375,HC SUB PT/OT GOAL STATUS,$0.01 
114377,HC SUB PT/OT DISCH STATUS,$0.01 
114383,HC OT APPLY SPLINT LONG ARM,$899.39 
114385,HC OT APP SPLINT SHORT ARM STATIC,$786.48 
114387,HC OT APP SPLINT SHORT ARM DYNAM,$817.62 
114389,HC OT APPLY SPLINT FINGER STATIC,$165.73 
114391,HC OT APPLY SPLINT FINGER DYNAMIC,$182.45 
114397,HC OT ROM TEST EA EXTREMITY/TRUNK,$127.33 
114399,HC OT ROM TEST HAND(S),$17.94 
114401,HC OT COGNITIVE PERF TEST PER HR,$270.38 
114403,HC OT VASOPNEUMATIC DEVICES,$169.46 
114405,HC OT PARAFFIN BATH,$152.04 
114407,HC OT WHIRLPOOL/FLUIDOTHERAPY,$253.49 
114411,HC OT E-STIM ATTENDED EA 15MIN,$303.75 
114413,HC OT IONTOPHORESIS EA 15MIN,$257.81 
114415,HC OT CONTRAST BATHS EA 15MIN,$34.59 
114417,HC OT ULTRASOUND EA 15MIN,$200.27 
114419,HC OT THERAPEUTIC EXER EA 15MIN,$192.22 
114421,HC OT NEUROMUSC RE-ED EA 15MIN,$212.33 
114423,HC OT MASSAGE EA 15MIN,$230.14 
114425,HC OT MANUAL THERAPY EA 15MIN,$204.28 
114427,HC OT GROUP THERAPY,$89.92 
114429,HC OT THERAPEUTIC ACT EA 15MIN,$180.63 
114431,HC OT COGNITIVE SKILLS EA 15MIN,$72.12 
114433,HC OT SENSORY INTEGRATION EA 15MI,$325.64 
114435,HC OT ADL TRAINING EA 15MIN,$226.50 
114437,HC OT COMMUNITY REINTEG EA 15MIN,$261.04 
114439,HC OT WHEELCHAIR MANAGE EA 15MIN,$210.56 
114441,HC OT DEBRIDE SELECT <=20 SQ CM,$597.39 
114443,HC OT DEBRIDE SELECT >20 SQ CM,"$1,069.14 "
114445,HC OT DEBRIDE NONSELECTIVE,$270.11 
114447,HC OT PHYSICAL PERFORM TEST 15MIN,$270.52 
114449,"HC OT ORTHO MNGMNT/TRAINING UPPER, LOWER, TRUNK INITIAL EA 15 MIN",$346.28 
114451,HC OT CHECKOUT ORT/PROS EA 15MIN,$316.81 
114453,HC OT E-STIM UNATTENDED,$32.99 
114455,HC MOBILITY CURRENT STATUS,$0.01 
114457,HC MOBILITY GOAL STATUS,$0.01 
114459,HC MOBILITY DISCH STATUS,$0.01 
114461,HC BODY POS CURRENT STATUS,$0.01 
114463,HC BODY POS GOAL STATUS,$0.01 
114465,HC BODY POS DISCH STATUS,$0.01 
114467,HC CARRY CURRENT STATUS,$0.01 
114469,HC CARRY GOAL STATUS,$0.01 
114471,HC CARRY DISCH STATUS,$0.01 
114473,HC SELF CARE CURRENT STATUS,$0.01 
114475,HC SELF CARE GOAL STATUS,$0.01 
114477,HC SELF CARE DISCH STATUS,$0.01 
114479,HC OTH PT/OT CURRENT STATUS,$0.01 
114481,HC OTH PT/OT GOAL STATUS,$0.01 
114483,HC OTH PT/OT DISCH STATUS,$0.01 
114485,HC SUB PT/OT CURRENT STATUS,$0.01 
114487,HC SUB PT/OT GOAL STATUS,$0.01 
114489,HC SUB PT/OT DISCH STATUS,$0.01 
114495,HC SPEECH TREATMENT,$344.62 
114497,HC SPEECH GROUP THERAPY,$196.53 
114499,HC SPEECH BEHAV QUALIT ANALYS VOICE,$142.56 
114501,HC TREAT SWALLOWING DYSFUNCTION,$416.04 
114503,HC SPEECH EVAL VOICE PROSTHESIS,$88.32 
114505,HC SPEECH EVAL NONSPEECH COMMUN DEV,$180.07 
114507,HC SP TREAT NONSPEECH COMMUN DEV,$171.97 
114509,HC SPEECH EVAL SPEECH DEVICE 1ST HR,$532.91 
114511,HC SPEECH EVAL SPEECH DEVICE ADDL 30,$203.95 
114513,HC TREATMENT SPEECH GENERATING DEVICE,$283.66 
114515,HC SPEECH ASSESS APHASIA PER HR,$470.70 
114517,HC SPEECH COGNITIVE PERF TEST PER HR,$487.68 
114519,HC SPEECH COGNITIVE SKILLS EA 15MIN,$282.41 
114521,HC SPEECH SENSORY INTEGRATION EA 15MI,$325.64 
114523,HC SWALLOW CURRENT STATUS,$0.01 
114525,HC SWALLOW GOAL STATUS,$0.01 
114527,HC SWALLOW DISCH STATUS,$0.01 
114529,HC MOTOR SPEECH CURR STATUS,$0.01 
114531,HC MOTOR SPEECH DISCH STATUS,$0.01 
114533,HC LANG COMP CURRENT STATUS,$0.01 
114535,HC LANG COMP GOAL STATUS,$0.01 
114537,HC LANG COMP DISCH STATUS,$0.01 
114539,HC LANG EXPR CURRENT STATUS,$0.01 
114541,HC LANG EXPR GOAL STATUS,$0.01 
114543,HC LANG EXPR DISCH STATUS,$0.01 
114545,HC ATTEN CURRENT STATUS,$0.01 
114547,HC ATTEN GOAL STATUS,$0.01 
114549,HC ATTEN DISCH STATUS,$0.01 
114551,HC MEMORY CURRENT STATUS,$0.01 
114553,HC MEMORY GOAL STATUS,$0.01 
114555,HC MEMORY DISCH STATUS,$0.01 
114557,HC VOICE CURRENT STATUS,$0.01 
114559,HC VOICE GOAL STATUS,$0.01 
114561,HC VOICE DISCH STATUS,$0.01 
114563,HC OTH SPEECH LANG CURR STAT,$0.01 
114565,HC OTH SPEECH LANG GOAL STAT,$0.01 
114567,HC OTH SPEECH LANG DSCH STAT,$0.01 
114569,HC MOTOR SPEECH GOAL STATUS,$0.01 
114573,HC SP SPEECH FLUENCY EVAL,$173.69 
114575,HC SP SPEECH PRODUCTION EVAL,$140.92 
114577,HC SPEECH SOUND LANG COMPREHEN,$239.19 
114579,HC SP EVAL SWALLOW FUNCTION,$595.62 
114581,HC SPEECH EVAL SWALLOW W/FLUORO,$714.75 
114583,HC SPEECH EVAL AUD REHAB STATUS 1 HR,$127.16 
114585,HC AMPUTATION FINGER/THUMB,"$6,301.43 "
114587,HC ANOSCOPE DIAGNOSTIC,$912.26 
114589,HC ANOSCOPE FB REMOVAL,"$1,733.55 "
114593,HC BURN CARE COMPLEX,"$1,168.32 "
114595,HC BURN CARE SIMPLE,$595.39 
114597,HC BURR HOLE,"$3,730.42 "
114599,HC CAST REMOVAL,"$1,517.11 "
114601,HC CAST REVISION,"$1,517.11 "
114603,HC CAST/SPLINT FINGER/TOE,$506.14 
114605,HC CAST/SPLINT LONG ARM,$759.21 
114607,HC CAST/SPLINT LONG LEG,$562.99 
114609,HC CAST/SPLINT SHORT ARM,$632.68 
114611,HC CAST/SPLINT SHORT LEG,$496.67 
114613,HC INSERT CENTRAL LN NONTUN >=5YR,"$2,949.32 "
114615,HC CHANGE CYSTO TUBE SIMPLE,$881.65 
114617,HC CHEMICAL CAUTERIZATION,$290.84 
114619,HC CLOSED REDUCT LOWER EXTREMITY,$752.95 
114621,HC CLOSED REDUCT UPPER EXTREMITY,$614.50 
114623,HC CLOSED REDUCTION DISLOC TMJ,"$1,130.58 "
114625,HC CLOSED REDUCTION FINGER/TOE,$454.43 
114627,HC CLOSED REDUCTION NASAL FX,"$9,183.24 "
114629,HC CLOSED TRMT RAD HEAD SUBL,$756.13 
114631,HC COMPARTMENT SYNDROME,$767.64 
114633,HC CONTROL NOSEBLEED ANTERIOR,$519.86 
114635,HC CONTROL NOSEBLEED POSTERIOR,$517.78 
114637,HC CONTROL OROPHARYNGEAL BLEED,"$2,145.40 "
114639,HC CYSTO DILATE COMPL,"$6,027.00 "
114641,HC CYSTOURETHOSCOPY SIMPL,"$2,095.01 "
114643,HC DEBRIDE SKIN/TISSUE/MUSCLE,$972.20 
114645,HC EARWAX REMOVAL IMPACTED,$548.82 
114647,HC ED OB GYN PROCEDURE,"$4,265.86 "
114649,HC ED PROCEDURE NOS,"$1,552.75 "
114651,HC EVAC OF SUBUNGUAL HEMATOMA,$812.67 
114653,HC REMOVAL NAIL INCL MATRIX /PLATE,"$3,733.46 "
114655,HC EXCISION HEMORRHOID,"$4,440.37 "
114657,HC FB REMOVAL EAR/NOSE/THROAT,$417.82 
114659,HC FB REMOVAL EYE W/ SLIT LAMP,$731.35 
114661,HC FB REMOVAL EYE W/O SLIT LAMP,$690.53 
114663,"HC FB REMOVAL, SIMPLE","$1,433.44 "
114665,HC FECAL DISIMPACTION W ANESTH,"$3,236.67 "
114667,HC FIBEROPTIC SCOPE EXAM,"$1,371.55 "
114669,HC FNA WITHOUT IMAGING GUIDANCE,$770.02 
114671,HC REPLACE GASTRIC TUBE WO GDE,"$2,483.32 "
114673,HC GRAFT  DERM AUTO 1ST 100 SQCM,"$3,649.43 "
114675,HC I&D ABSCESS PERIRECTAL/ISCHIAL,"$7,400.04 "
114677,HC I&D BURSA UPPER EXTREMITY,"$4,533.65 "
114679,HC I&D CYST/ABSCESS COMPLEX,"$2,382.49 "
114681,HC I&D HEMATOMA/SEROMA,"$5,984.57 "
114683,HC I&D PERITONSILAR ABSCESS,"$4,096.19 "
114685,HC INCISE/DRAIN CYST ABSCESS,$991.35 
114687,HC INCISION HEMORRHOID,"$3,700.31 "
114689,HC INJ ASP JOINT SMALL,$455.69 
114691,HC INJ BLOOD PATCH,"$1,629.23 "
114693,HC INJECTION TRIGGER POINT,"$1,844.68 "
114695,HC INSERT SUPRAPUBIC CATHETER,"$8,820.63 "
114697,HC INTUBATION IN ED,"$1,888.71 "
114699,HC IRRIGATE CORPORA CAVERNOSA,$771.99 
114701,HC IUD REMOVAL,"$1,179.84 "
114703,HC LARYNGOSCOPY,"$5,237.79 "
114705,HC LUMBAR PUNCTURE,"$1,888.05 "
114707,HC NAIL REMOVAL/REPAIR,$581.52 
114709,HC NASAL ENDO WITH BLEED CNTRL,"$3,212.90 "
114711,HC NERVE BLOCK,"$1,468.12 "
114717,HC PARACENTESIS ABDOMINAL INIT,"$2,814.92 "
114719,HC PERICARDIOCENTESIS,"$2,377.66 "
114721,HC PLACE/REPLACE ORO/NASO TUBE,"$1,166.02 "
114723,HC PUNCTURE ASP ABSCESS/CYST,$837.73 
114725,HC REMOVAL SKIN TAGS 15 OR <,$599.38 
114727,HC REPAIR BLOOD VESSEL,$202.44 
114729,HC REPAIR TENDON OR NERVE,$865.66 
114731,HC REPAIR LACERATION TONGUE,"$2,228.09 "
114735,HC TEETH REMOVAL,$750.20 
114737,HC TENOSYNOVECTOMY,"$2,169.48 "
114739,HC THORACENTESIS,"$3,537.93 "
114741,HC THORACOTOMY,"$14,051.10 "
114743,HC TISSUE TRANSF/REARR <10 SQCM,"$6,574.26 "
114745,HC TRACH/CRICOTHYROTOMY,"$1,031.00 "
114747,HC VAG PACK/HEMO AGT INTRO NON-OB,$346.91 
114749,HC VAGINAL DELIVERY,"$6,977.85 "
114751,HC WD LACERATION REPAIR COMPLEX,$893.45 
114753,HC WD LACERATION REPAIR SIMPLE,$620.46 
114755,HC WD LACERATION RPR INTERMEDIATE,$744.55 
114757,HC WD LACRTION RPR COMPLEX ADD ON,"$1,253.70 "
114759,HC WOUND EXPLORATION,"$2,255.47 "
114803,HC INJ TENDON SHEATH/LIGAMENT,$413.47 
114805,HC INJ TRIGGER PTS 1-2 MUSCLES,"$1,844.68 "
114807,HC INJ ASP JOINT INTERM,$455.69 
114809,HC INJ ASP JOINT MAJOR,$479.74 
114811,HC INSERT WIRE/PIN W SKELETAL FX,"$8,569.17 "
114853,HC CLOSED TX DISTAL RAD FX W MAN,"$1,636.54 "
114939,HC STRAPPING UNNA BOOT-RT,$507.11 
114941,HC CONTROL NOSEBLEED ANTERIOR SIMPLE UNI,$433.21 
114943,HC INTUBATION ENDOTRACH EMERGENT,"$1,104.86 "
114945,HC CHEST TUBE INSERTION,"$4,637.39 "
114953,HC BLOOD DRAW FROM IMPLANTED PORT,$504.88 
114955,HC BLOOD DRAW FROM CVC/PICC,$615.67 
114957,HC ARTERIAL PUNCTURE,$452.01 
114959,HC ART SAMPLE/MONITR/TRNSFUS PERC,"$2,013.12 "
114961,HC INTRAOSSEOUS INFUSION,$942.29 
114963,HC THROMBOLYSIS CEREBRAL IV INFUS,"$1,131.60 "
114965,HC GASTRIC LAVAGE,"$1,198.41 "
114967,HC BLADDER IRRIGATION,"$1,615.66 "
114969,HC INSERT STRAIGHT CATHETER,$994.65 
114971,HC INSERT INDWELLING CATH SIMPLE,$986.00 
114973,HC INSERT INDWELLING CATH COMPLEX,"$1,183.19 "
114975,HC FETAL NON-STRESS TEST,"$1,708.15 "
114987,HC NASOPHARYNGOSCOPY,"$3,454.55 "
114989,HC IV INFUSION HYDRATION 31MIN-1H,$600.62 
114991,HC IV INFUSION HYDRATION ADDL HR,$485.60 
114993,HC IV INFUSION NON-CHEMO INIT HR,"$1,018.61 "
114995,HC IV INFUSION NON-CHEMO ADDL HR,$702.85 
114997,HC IV INFUSION SEQUENTIAL TO 1HR,$818.65 
114999,HC IV INFUSION CONCURRENT,$818.65 
115002,HC SQ INFUSION THERAPY 15MIN-1HR,$387.85 
115004,HC SQ INFUSION THERAP ADDL HR,$360.55 
115006,HC INJECTION SQ/IM,$447.24 
115008,HC IV PUSH SINGLE OR INITIAL DRUG,$656.82 
115010,HC IV PUSH SEQUENTIAL NEW DRUG,$656.82 
115012,HC IV PUSH SEQ SAME DRUG >30 MIN,$638.96 
115018,HC CS BY SAME PHY EA ADDL 15 MIN,$644.20 
115020,HC ED LEVEL I,$632.50 
115022,HC ED LEVEL II,"$1,218.02 "
115024,HC ED LEVEL III,"$2,622.50 "
115026,HC ED LEVEL IV,"$5,627.50 "
115028,HC ED LEVEL V,"$11,827.75 "
115030,HC CRITICAL CARE FIRST 30-74MIN,"$11,979.00 "
115032,HC CRITICAL CARE EA ADD 30,"$4,277.55 "
115034,HC TYPE B ED LEVEL I,$405.66 
115036,HC TYPE B ED LEVEL II,$959.42 
115038,HC TYPE B ED LEVEL III,"$1,878.05 "
115040,HC TYPE B ED LEVEL IV,"$3,333.26 "
115042,HC TYPE B ED LEVEL V,"$5,902.48 "
115066,HC REMOVAL SKIN TAGS 15 OR <,$173.47 
115290,HC REM CER W/INSTRUMENTATION,$245.88 
115304,HC IV INFUSION NON-CHEMO INIT HR,$510.53 
115306,HC IV INFUSION NON-CHEMO ADDL HR,$388.43 
115350,HC SPIROMETRY,$831.52 
115352,HC BRONCHODILAT RESPONSE PRE/POST,"$1,592.61 "
115354,HC BRONCHOSPASM EVAL W AGENT,"$2,233.77 "
115356,HC VITAL CAPACITY TOTAL,$214.94 
115362,"HC CARDIOPULMONARY EXC TESTING, VENT, RECORDINGS","$2,155.35 "
115366,HC PFT TEST PLETHYSMOGRAPY,"$1,311.38 "
115368,HC PFT TEST BY GAS,"$1,311.38 "
115370,HC C02/MEMBANE DIFFUSE CAPACITY,"$1,311.38 "
115374,HC PULSE OXIMETRY SINGLE,$269.21 
115376,HC PULSE OXIMETRY MULTIPLE,$529.17 
115378,HC PULSE OXIMETRY OVERNIGHT,$321.21 
115380,HC ETCO2 MONITORING,$327.84 
115384,HC AUDITORY EP BAEP COMPREHENSIVE,"$2,950.94 "
115386,HC AUDITORY EP BAEP LIMITED,$180.47 
115388,HC CARDIOPULMONARY RESUSCITATION,"$2,102.43 "
115390,HC TRANSCUTAENOUS PACING TEMP,"$2,081.41 "
115392,HC CARDIOVERSION EXTERNAL,"$7,091.08 "
115394,HC CARDIOASSIST EXTERNAL,$116.75 
115396,HC IN PERSON PROGRAM AND INTERROGATION PACER DEVICE SINGLE OR LEADLESS,$224.85 
115398,HC IN PERSON PROGRAM AND INTERROGATION PACER DEVICE DUAL,$303.02 
115400,HC IN PERSON PROGRAM AND INTERROGATION PACER DEVICE MULTIPLE,$378.75 
115402,HC EVAL PROGRM ICD SNGL IN PERS,$362.80 
115404,HC EVAL PROGRM ICD DUAL IN PERS,$431.95 
115406,HC EVAL PROGRM ICD MULT IN PERS,$539.94 
115410,HC IN PERSON PRE POSTOP PPROGRAM AND INTERROGATION PACER DEVICE,$144.24 
115412,HC PRE POSTOP ICD DEVICE EVAL,$144.24 
115414,HC IN PERSON INTERROGATION PACER DEVICE,$180.33 
115416,HC INTER EVAL ICD DEVICE IN PERS,"$1,049.38 "
115418,HC IN PERSON PROGRAM AND INTERROGATION IMPLANTABLE CARDIOVASCULAR PHYSIOLOGIC DEVICE (ICM),$923.43 
115420,HC IN PERSON INTERROGATION SUBCUTANEOUS CARDIAC RHYTHM DEVICE (LOOP),$326.26 
115422,HC EVAL PM PHONE R-STRIP 90 DAY,$147.03 
115424,HC REMOTE INTERROGATION PACER OR ICD OR LEADLESS DEVICE UP TO 90 DAYS,$147.03 
115426,HC REMOTE INTERROGATION PHYSIOLOGIC DEVICE OR SUBCUTNEOUS CARDIAC RHYTHM DEVICE UP TO 30 DAYS,$305.90 
115430,HC BUNDLE OF HIS RECORDING,"$5,671.29 "
115432,HC RIGHT VENTRICULAR RECORDING,"$1,055.52 "
115434,HC INTRAVENTRICUL/ATRIAL MAPPING,"$6,502.25 "
115436,HC INTRAVENTRICULAR PACING,"$5,671.29 "
115438,HC INTRACARDIAC EP 3D MAPPING,"$7,417.04 "
115440,HC ESOPH RECRD ATRIAL ELECTROGRAM,"$8,672.86 "
115442,HC INDUCT ARRHYTHMIA/ELEC PACING,"$2,773.09 "
115444,HC COMP EP EVALW/O INDUCT ARRHYTH,"$10,064.16 "
115446,HC COMP EP EVAL W INDUCT ARRHYTH,"$10,064.16 "
115448,HC COMP EP EVAL W LT ATRIA RECORD,"$12,335.85 "
115450,HC COMP EP EVAL W LT VENT RECORD,"$11,199.36 "
115452,HC PROGRAM STIMULATE W DRUG INF,"$4,108.84 "
115454,HC EP F/U STUDY W INDUCT ARRHYTH,"$12,546.98 "
115456,HC EVALUATE ICD LEADS AT IMPLANT,"$2,570.03 "
115458,HC EVAL ICD LEADS & GEN AT IMPLNT,"$8,080.02 "
115460,HC EVAL EP THRESHOLD ICD DEFIB,"$4,842.48 "
115462,HC ABLATE AV NODE,"$21,135.10 "
115464,HC TILT TABLE STUDY,"$2,543.25 "
115466,HC INTRACARDIAC ECHO W/DX OR TX,"$14,815.21 "
115468,"HC BIOIMPEDANCE, CV ANALYSIS",$298.62 
115470,HC EVAL ANTITACHYCARDIA PACE,"$1,932.95 "
115474,HC CARDIOVERSION INTERNAL OWN,$276.25 
115476,HC PROGRAM AND INTERROGATION PACER DEVICE ONLY NO LEADS,$258.02 
115478,HC ECP PER TREATMENT,$738.24 
115488,HC OPT COHER TOMOGRAPHY INIT VES,"$7,330.43 "
115490,HC OPT COHER TOMOGRAPHY ADD VES,"$7,330.43 "
115492,HC INSERT REPLACE PACER LEADLESS RIGHT VENTRICULAR,"$19,175.42 "
115494,HC REMOVE PACER GENERTOR LEADLESS RIGHT VENTRICULAR,"$9,307.54 "
115496,HC EVAL PROGRM LLS IN PERS,$877.09 
115498,HC PRE POSTOP PACE LLS EVAL,$411.01 
115500,HC INTER EVAL LLS DEVICE IN PERS,$877.09 
115504,HC INS PACE GEN SNGL,"$11,770.83 "
115506,HC INS PACE GEN DUAL,"$16,631.32 "
115508,HC INS PACE GEN MULT,"$18,993.65 "
115510,HC REM REPL PACE GEN SNGL,"$11,717.99 "
115512,HC REM REPL PACE GEN DUAL,"$14,061.59 "
115514,HC REM REPL PACE GEN MULT,"$16,517.73 "
115516,HC INS ICD OR SICD GEN ONLY SNGL,"$33,251.59 "
115518,HC INS RPL ICD SYSTEM DUAL,"$58,515.48 "
115520,HC INS RPL ICD SYSTEM SNGL,"$58,515.48 "
115522,HC REM REPL ICD OR SICD GEN SNGL,"$34,711.10 "
115524,HC REM REPL ICD OR SICD GEN DUAL,"$48,165.18 "
115526,HC REM REPL ICD OR SICD GEN MULT,"$66,834.08 "
115528,HC INS RPL SICD SYS W EVAL PROG,"$86,257.31 "
115530,HC INS SICD LEAD,"$15,866.64 "
115532,HC REM SICD LEAD,"$7,990.94 "
115534,HC REPO SICD LEAD SNGL,"$7,990.94 "
115536,HC TRANSCATHETER REPLACEMENT VALUE AORTIC TAVI FEMORAL PERCUT APPROACH,"$40,835.00 "
115538,HC TRANSCATHETER  REPLACEMENT VALUE AORTIC TAVI FEMORAL OPEN APPROACH,"$42,922.97 "
115540,HC TRANSCATHETER  REPLACEMENT VALUE AORTIC TAVI ILIAC OPEN APPROACH,"$40,835.00 "
115542,HC TRANSCATHETER  REPLACEMENT VALUE AORTIC TAVI TRANSAORTIC OPEN APPROACH,"$37,959.03 "
115544,HC TRANSCATHETER  REPLACEMENT VALUE AORTIC TAVI W/BYPASS OPEN  PERIPHERAL ART & VEN CANNULATION,"$15,260.80 "
115554,HC CATH PLC CAR ADDL EXTRN CAR,"$8,002.41 "
115568,HC THRMBOLY NOCOR NOCRAN ART INIT,"$5,843.84 "
115574,HC PLC STENT ART W/WO ANPL INI,"$25,433.36 "
115580,HC COR ANGIOPLSTY PRIM VSL/BR,"$18,263.37 "
115582,HC COR ANGIOPLSTY ADDL BRANCH,"$11,103.34 "
115584,HC COR ATHR WWOANGP PRI VSL/BR,"$17,698.09 "
