No.,General Description,Charge
30128631,"HC URIC ACID, RASBURICASE THERAPY",81.00
30128632,"HC REDUCING SUBSTANCES, URI",78.00
30128633,"HC BLOOD, GLUCOSE",56.00
30128634,"HC POST DIALYSIS BUN,PLASMA/SERUM",153.00
30128635,"HC TESTOSTERONE, FREE & TOT, PEDS",0.00
30128636,"HC TESTOSTERONE, FREE & TOT, ADULT",0.00
30128637,HC MITOCHONDRIAL ANTIBODY,239.00
30128638,HC ANTI SMOOTH MUSCLE IGG AB,239.00
30128639,"HC BUSULFAN, PEDIATRIC, SAMPLE 7",150.00
30128640,HC POSACONAZOLE,215.00
30128641,HC METHADONE SCREEN,268.00
30128642,"HC BASIC METABOLIC PANEL, FASTING",585.00
30128643,"HC BASIC METABOLIC PANEL, RANDOM",585.00
30128644,"HC COMPREHENSIVE METABOLIC PANEL, FASTING",997.00
30128645,"HC COMPREHENSIVE METABOLIC PANEL, RANDOM",997.00
30128646,"HC 1,25- DIHYDROXY VITAMIN D",329.00
30128647,"HC BUSULFAN, ADULT, SAMPLE 5",150.00
30128648,"HC BUSULFAN, ADULT, SAMPLE 6",150.00
30128649,HC METHADONE SCREEN,268.00
30128650,HC OPIATES URINE QUAL EIA,268.00
30128651,HC BENZODIAZ URINE QUAL EIA,268.00
30128652,HC THC URINE QUAL EIA,268.00
30128653,HC BARBITUR URINE QUAL EIA,268.00
30128654,HC AMPHET URINE QUAL EIA,268.00
30128655,HC COCAINE METAB SCRN EIA,268.00
30128656,"HC OXYCODONE SCREEN, URINE",268.00
30128657,HC DRUGS OF ABUSE SCREENING PANEL,268.00
30128658,HC CARBONMONOXIDE QUANT,266.00
30128659,HC METHEMOGLOBIN QUANT,83.00
30128660,HC CYSTATIN C WITH EGFR,167.00
30128661,"HC FOLATE, SERUM",214.00
30128662,"HC ESTRADIOL, ULTRASENSITIVE",260.00
30128663,HC PROCALCITONIN,316
30128664,HC ISAVUCONAZOLE,240.00
30200024,HC UCSF AUTO COLL&PROC,630.00
30200113,HC HELICOBACTER PYLORI AB,234.00
30200114,HC CDC DOSE WITH % OF WBCS,213.00
30200115,HC MEASLES ANTIBODY,183.00
30200116,"HC HEPATITIS A ANTIB, TOTAL",198.00
30200117,HC ANTI-HBS ANTIBODY,217.00
30200118,"HC ANTI-HBC, TOTAL",214.00
30200119,HC HEPATITIS A IGM ANTIBODY,232.00
30200120,HC ANTICARDIOLIPIN IGG,305.00
30200121,HC ANTICARDIOLIPIN IGM,305.00
30200122,HC CMV ANTIBODY STATUS,154.00
30200123,HC HEPATITIS C ANTIBODY,208.00
30200124,HC HTLV-I/II ANTIBODY,266.00
30200125,HC RPR ROUTINE QUAL,164.00
30200127,HC ANTI-THYROID PEROXIDASE,243.00
30200128,HC FLOW CYTO T CELLS TOTAL,213.00
30200129,HC ABSOLUTE CD4 & CD8 COUNT,310.00
30200130,HC VIRAL SEROLOGY AB 1 & 2,297.00
30200131,HC VDRL CSF QUAL,164.00
30200132,HC TREPONEMAL AB CONF TEST,164.00
30200133,HC ANTI DS DNA AB,280.00
30200134,"HC ANTIBODY, COCCIDIOIDES",61.00
30200135,HC ANA TITER,261.00
30200136,HC TOXOPLASMA IGM AB,172.00
30200137,HC TOXOPLASMA IGG ANTIBODY,168.00
30200138,HC MONOSPOT HETEROPH SCREEN,205.00
30200139,HC CD3 & CD19 CELLS W/ CD4,0.00
30200140,HC GLIADIN ANTIBODIES,0.00
30200141,HC NEUTROPHIL CYTOPLASMIC ABS,0.00
30200142,"HC KT/LT CHAINS, FREE",0.00
30200143,HC HSV 1 & 2 ABS,0.00
30200144,HC HTLV-I/II ANTIBODIES,0.00
30200145,HC HIV ANTIBODY SCREEN,297.00
30200147,HC SERUM PREPARATION & STORAGE,65.00
30200148,HC IMMUNE CELL FUNCTION ASSAY,364.00
30200149,HC HLA CLASS I & CLASS II ANTIB,810.00
30200150,HC B-CELL CROSSMAT CYTOTOXICITY,364.00
30200151,HC HLA ANTIBODY - CLASS I PRA,200.00
30200152,HC HLA ANTIBODY - CLASS II PRA,200.00
30200153,HC HLA ANTIBODY - CLASS I SINGLE ANTIGEN,350.00
30200154,HC HLA ANTIBODY - CLASS II SINGLE ANTIGEN,350.00
30200155,HC RHEUM FACT SERUM QUAL,164.00
30200156,HC HEPATITIS B CORE IGM AB,198.00
30200157,HC RUBELLA ANTIBODY,208.00
30200158,HC CH50 SERUM,231.00
30200159,HC C4 ANTIGEN SERUM,199.00
30200160,HC C3 ANTIGEN SERUM,199.00
30200161,HC RPR PRENATAL QUAL,164.00
30200162,HC C-REACTIVE PROTEIN,132.00
30200163,HC C-REACTIVE PROTEIN HIGH SENSI,198.00
30200164,HC VARICELLA-ZOSTER ANTIBOD,211.00
30200165,HC CONFIRMATION TEST FOR AB,204.00
30200166,HC ANA SCREEN,215.00
30200167,HC RHEUM FACT SERUM QUANT,103.00
30200168,HC RPR ROUTINE QUANT,97.00
30200169,HC VDRL CSF QUANT,97.00
30200170,HC RPR PRENATAL QUANT,78.00
30200171,HC HAPTOGLOBIN QUANT,123.00
30200172,HC CMV AB IGG,154.00
30200173,HC SCL70 ANTIBODY,181.00
30200174,HC MUMPS ANTIBODIES,157.00
30200175,HC B2G ANTIBODY IGG,145.00
30200176,HC B2G ANTIBODY IGM,145.00
30200177,HC LYME ANTIBODY,49.00
30200178,"HC LYME AB TOTAL, CSF",157.00
30200179,HC NEUTROPHIL OXIDATIVE INDEX,222.00
30200181,HC ABO GROUP,178.00
30200182,HC RBC AG DONOR CELLS,162.00
30200183,HC RH TYPE,167.00
30200184,HC DIRECT COOMBS TEST,123.00
30200185,HC RBC AG PATIENT CELLS,307.49
30200186,HC ISOAGGLUTININ TITR,315.00
30200187,HC DIRECT COOMBS C3,123.00
30200188,HC ANTIBODY SCREEN RBC,272.00
30200189,HC ANTIBODY ID RBC,531.00
30200190,HC INDIRECT COOMBS QUAL,198.00
30200191,HC DIRECT COOMBS IGG,123.00
30200192,HC THAW FROZ PLASMA DERIVAT,244.00
30200193,HC RBC ANTIBODY ELUTION EA,502.00
30200194,HC CROSSMATCH NON-STAND AHG,454.00
30200195,HC AB SCREEN RBC NON-STAN,272.00
30200196,HC CDM DOSE/% OF WBCS,213.00
30200197,HC CD34 STEM CELL QUANTITAT,1363.00
30200198,HC ANTIHUMAN GLOBULIN INDIRECT,198.00
30200211,HC CRYOPRECIPITATE POOLING,181.00
30200223,HC AUTO CROSSMATCH (T & B CELL) BY FLOW CYTOMETRY,400.00
30200224,HC AUTO ANTIBODY SCREEN,337.00
30200225,HC KIR GENOTYPING,200.00
30200226,HC HLA-B27 TYPING,125.00
30200227,HC HLA CLASS I TYPING - INTERMEDIATE RESOLUTION,350.00
30200228,HC CYTOTOXIC ANTIBOD SCREEN & PRA,395.00
30200229,HC B-CELL CROSSMA CYTOTOXICIT DTT,589.00
30200230,HC B-CELL CROSSMA BY CYTOTO TITER,639.00
30200231,HC T-CELL CROSSMAT CYTOTOXICITY,364.00
30200232,HC T-CELL CROSSMA CYOTOX TITER,639.00
30200233,HC B-CELL CROSSMA FLOW CYTOMETRY,589.00
30200234,HC EXTRA REGION SERUM MAINTENANCE,25.00
30200235,HC HLA ANTIBODY - CLASS I SINGLE ANTIGEN TITER,900.00
30200236,HC HLA ANTIBODY - CLASS II SINGLE ANTIGEN TITER,900.00
30200255,HC DIRECT COOMBS C3,123.00
30200257,HC CMV IGM AB (CMVIGM),305.00
30200266,HC HAV IGG ANTIBODY,52.00
30200267,"HC HBS ANTIBODY, QUANT",99.00
30200285,HC HIV-1/2 AB DIFFERENTIATION,0.00
30200286,"HC  DIGOXIN QUANT, TOTAL",232.00
30200287,HC  HIV-1 ANTIBODY,212.00
30200288,HC  HIV -2 ANTIBODY,212.00
30200289,HC HEP B SURFACE ANTIGEN,214.00
30200291,HC NON-TREPONEMA (RPR) FOR MONITORING,164.00
30200292,HC TREPONEMA AB  SCREEN (SYPHILIS),183.00
30200293,"HC SJOGREN’S AB,  ANTI-SS-A-RO52",181.00
30200294,"HC SJOGREN’S AB,  ANTI-SS-A-RO60",181.00
30200295,"HC SJOGREN’S AB,  ANTI-SS-B",181.00
30200296,HC PERIPHERAL CD34 ENUMERATION,880.00
30200297,HC QUANTIFERON GOLD TB,550.00
30200298,HC C-REACTIVE PROTEIN,132.00
30200299,HC C-REACTIVE PROT HIGHLY SENSITIVE,198.00
30500001,HC FONDAPARINUX ASSAY,712.00
30500002,HC URINALYSIS AUTO W/MICRO,153.00
30500003,HC URINALYSIS AUTO ROUTINE,112.00
30500004,"HC URINALYSIS, MICROSCOPIC",64.00
30500005,HC PREG TST URINE COLOR CMP,352.00
30500006,HC OCC BLD FEC 1-3 DET DIAG,63.00
30500007,HC APT TEST,158.00
30500008,HC HEMOSIDERIN URINE,157.00
30500009,HC PH STOOL,108.00
30500010,"HC REDUCING SUBSTANCES, STO",261.00
30500011,HC BLEEDING TIME,366.00
30500012,HC BLOOD COUNT AUTO DIFF,80.00
30500013,HC NUCLEATED RBC COUNT,182.00
30500014,HC SMEAR PREP,77.00
30500015,HC BLOOD SMEAR FOR MORPHOLO,182.00
30500017,"HC HEMATOCRIT, MANUAL",51.00
30500018,HC HEMATOCRIT,93.00
30500019,"HC HEMATOCRIT, AUTOMATED",93.00
30500020,HC HEMOGLOBIN,52.00
30500021,HC CBC W/AUTO DIFF & PLT CO,199.00
30500022,HC CBC AUTO W/PLT COUNT,186.00
30500023,HC MANUAL CELL COUNT,29.00
30500024,HC RBC COUNT AUTOMATED,5.00
30500025,HC RETICULOCYTE COUNT-MANUA,118.00
30500026,HC RETICULOCYTE COUNT AUTO,108.00
30500027,"HC LEUKOCYTE COUNT, AUTOMATED",70.00
30500028,HC NUCLEATED BONE MARROW CE,70.00
30500029,HC PLATELET COUNT AUTOMATED,113.00
30500030,HC ARGATROBAN ASSAY,196.00
30500031,HC FACTOR II ACTIVITY,303.00
30500032,HC FACTOR V ACTIVITY,267.00
30500033,HC FACTOR VII ACTIVITY,305.00
30500034,HC FACTOR VIII ACT 1 STAGE,366.00
30500040,HC VON WILLEBRAND FACTOR AG,181.00
30500043,HC FACTOR IX ACTIVITY,350.00
30500044,HC FACTOR X ACTIVITY,394.00
30500045,HC FACTOR XI ACTIVITY,253.00
30500046,HC ANTITHROMBIN III ACTIVITY,249.00
30500047,HC PROTEIN C ACTIVITY,231.00
30500048,"HC PROTEIN S, FREE",316.00
30500050,HC MODIFIED INHIBITORY TITER,214.00
30500063,"HC COAGU TIME ACTIVATED, TEG",177.00
30500064,"HC D-DIMER, QUANT. ASSAY",450.00
30500065,HC FIBRINOGEN ACTIVITY,186.00
30500068,HC HEINZ BODIES; DIRECT,57.00
30500069,HC KLEIHAUER-BETKE TEST,616.00
30500070,HC HEPARIN LEVEL,303.00
30500071,HC HEPARIN PRE-ABSORPTION,147.00
30500089,HC LUPUS ANTICOAGULANT HEXA,220.00
30500090,HC PROTHROMBIN TIME,127.00
30500091,HC RUSSELL VIPER VENOM DIL,227.00
30500092,HC ERYTHROCYTE SED NON-AUTO,132.00
30500093,HC THROMBIN TIME,180.00
30500094,"HC PTT, ACTIVATED",265.00
30500096,HC CHLOROACETATE ESTERASE S,310.00
30500097,HC NON-SPECIFIC ESTERASE ST,329.00
30500098,HC MYELOPEROXIDASE STAIN,329.00
30500099,HC BF CELL COUNT/DIFF,271.00
30500100,HC CSF CELL COUNT & DIFFERE,271.00
30500101,"HC CRYSTALS, JOINT FLUID",211.00
30500102,"HC CRYSTALS, BILIARY FLUID",211.00
30500103,HC POST-VASECTOMY SPERM CNT,672.00
30500104,HC SPERM COUNT & MOTILITY,383.00
30500105,HC SEMEN ANALYSIS W/MORPHOL,268.00
30500132,HC THROMBIN AGONIST,445.00
30500133,HC PLATELET AGGREG AGONIST,445.00
30500134,HC THROMBOELASTOGRAM,0.00
30500136,HC PTT INHIBITOR SCREEN,0.00
30500137,HC PT INHIBITOR SCREEN,0.00
30500147,HC HEMOGLOBIN,52.00
30500148,HC NCPL HEMACUE HEMOGLOBIN 1,52.00
30500149,HC NCPL HEMACUE HEMOGLOBIN 2,52.00
30500151,HC HEPARIN NEUTRALIZATION,147.00
30500155,HC SAMPLE PROCESSING FOR INSTITUTION,58.00
30500156,HC PT INHIBITOR SCREEN,0.00
30500157,HC PTT INHIBITOR SCREEN,0.00
30500158,HC RISTOCETIN COFACTOR,278.00
30500160,"HC HEMATOCRIT, AUTOMATED",93.00
30500161,"HC COAGU TIME ACTIVATED, TEG",177.00
30500162,HC ARU TEST,445.00
30500163,HC PRU TEST,445.00
30500164,HC APHERESIS CELL COUNT,271.00
30600001,HC EPIDEMIOLOGY CULT,418.00
30600004,HC SUSCEPT BY PARTICLE AGGLUT,334.00
30600005,"HC CRYPTOCOCCAL ANTIGEN,SC",334.00
30600006,HC CRYPTOCOCCAL ANTIGEN TIT,308.00
30600008,HC CONCENTRATE AFB OR PARAS,147.00
30600009,HC USP STERILITY TEST-AER &,573.00
30600010,HC BLOOD CULTURE,573.00
30600012,HC STOOL CULT AER SALM/SHIG,131.00
30600013,"HC SALMONELLA,CULTURE FOR",291.00
30600014,HC E COLI 0157 STOOL CULT,216.00
30600015,"HC YERSINIA,CULTURE FOR",216.00
30600016,"HC VIBRIO,CULTURE FOR",216.00
30600017,HC CAMPYLOBACTER STOOL CULT,216.00
30600018,"HC RESPIRATORY CULTURE,AERO",279.00
30600019,"HC ENT TISSUE CULTURE,AEROB",279.00
30600020,"HC GENITAL CULTURE,AEROBIC",279.00
30600021,HC CATHETER TIP CULTURE,279.00
30600022,"HC CSF CULTURE,AEROBIC",279.00
30600023,"HC BODY FLUID CULTURE,AEROB",279.00
30600024,"HC BODY TISSUE CULTURE,AERO",279.00
30600025,"HC SURG.DRAINAGE CULTURE,AE",279.00
30600026,"HC WOUND CULTURE,AEROBIC",279.00
30600027,"HC STERILE SITE CULTURE,ANA",298.00
30600028,"HC WOUND CULTURE,ANAEROBIC",298.00
30600029,HC ID ANAEROBE DEFIN EA ISO,244.00
30600030,HC ID AEROBE DEFIN EA ISO,205.00
30600031,"HC STAPH AUREUS,CULTURE FOR",206.00
30600032,"HC GRP A STREP,CULTURE FOR",206.00
30600033,"HC B. CEPACIA,CULTURE FOR",217.00
30600034,"HC LEGIONELLA,CULTURE FOR",206.00
30600035,"HC GONOCOCCUS,CULTURE FOR",206.00
30600036,"HC GROUP B STREP,CULTURE FO",206.00
30600037,"HC PARASITES,CULTURE FOR",765.00
30600038,HC TRICHOMONAS CULTURE,206.00
30600040,HC URINE CULT W/PRES ID,231.00
30600041,"HC FUNGAL CULTURE,SKIN",184.00
30600042,"HC FUNGAL CULT,TISSUE EXCEP",173.00
30600043,"HC FUNGAL CULT,YEAST/ASPERG",173.00
30600044,"HC FUNGAL CULTURE,BLOOD",555.00
30600045,HC FUNGAL ID DEFIN YEAST,225.00
30600046,HC MOLD ID DEFIN,244.00
30600047,HC MYCOBACT CULTURE DIRECT,253.00
30600048,HC MYCOBACTERIAL CULT W/CON,253.00
30600049,HC MYCOBACTERIAL CULT W/CON,253.00
30600050,HC VIRAL/CHLAMYDIA CUL TYPING FA,71.00
30600051,HC CULT TYPING AGGLU,123.00
30600052,HC MISC CULT ID BY DNA,366.00
30600053,HC ID DNA PROBE: N. GONORRH,364.00
30600054,HC ARTHROPOD MACROSCOPIC ID,145.00
30600055,HC IDENT OF PARASITE,61.00
30600056,HC PINWORM PREP,125.00
30600057,HC HOMOGENIZE TISSUE FOR CU,185.00
30600059,HC SUSCEPT E-TEST EA AGENT,189.00
30600060,HC SUSCEPT AGAR DIL EA AGNT,177.00
30600061,HC SUSCEPT DISK EA PLATE,170.00
30600062,HC SUSCEPTIB ENZYME DETECT,112.00
30600063,HC YEAST SUSCEPTBLTY BY MIC,174.00
30600064,HC SUSCEPT MIC EA PLATE,174.00
30600065,HC GRAM STAIN,114.00
30600066,HC KOH PREP OF TISSUE FOR F,90.00
30600067,"HC MYCOBACTERIA(AFB),SMEAR",90.00
30600068,HC COCCIDIA STAIN FOR,90.00
30600070,"HC PARASITES,GIEMSA STN FOR",306.00
30600071,"HC MICROSPORIDIUM,TRICHROME",306.00
30600072,"HC PARASITES,WET MOUNT FOR",235.00
30600073,HC DIFFICILE CYTOTOXIN,359.00
30600074,HC VIRAL TISS CULT ROUTINE,352.00
30600075,HC VIRAL TISS CULT SIMPLE,352.00
30600076,HC TISSUE CULTURE NEUTRALIZ,520.00
30600077,"HC VIRAL CULTURE,SHELL",285.00
30600078,HC ADENOVIRUS AG BY DFA,352.00
30600079,HC INFLUENZA B AG BY DFA,399.00
30600080,HC INFLUENZA A AG BY DFA,222.00
30600081,HC PARAINFLUENZA AG BY DFA,417.00
30600083,HC VARICELLA ZOSTER AG DFA,335.00
30600085,HC HERPES SIMP AG POLY DFA,443.00
30600087,HC C. DIFFICILE TOXIN ANTIGEN,153.00
30600089,HC GIARDIA AG EIA QUAL MULT,222.00
30600090,HC ROTAVIRUS AG EIA QUAL MUL,147.00
30600091,HC GDH SOMATIC ANTIGEN EIA,124.00
30600092,HC CHLAMYDIA AMP DNA DETECT,514.00
30600093,HC C. DIFICILE AMPLIFIED PROBE,339.00
30600094,HC CMV QUANT PCR,413.00
30600097,HC EBV DNA QUANT BY NUCLEIC ACID,780.00
30600098,HC GRP A STREP DIRECT OBS,259.00
30600099,HC HCV GENOTYPING,603.00
30600100,HC REFERRAL CULTURE,274.00
30600101,"HC PARASITES,GIEMSA STN FOR",415.00
30600103,HC FAT STAIN FEC URINE RESP,294.00
30600104,HC SENDOUT PROCESSING & HAN,90.00
30600126,HC HCV RNA BY BDNA QUANT,711.00
30600127,HC HBSAG EIA QUAL MULT STEP,214.00
30600128,"HC HIV-1 RNA BY BDNA,QUANTI",969.00
30600129,"HC NAIVE/MEMORY TCELLS, MARKER 1",210.00
30600130,"HC NAIVE/MEMORY TCELLS, MARKER 2",199.00
30600131,"HC NAIVE/MEMORY TCELLS, MARKER 3",199.00
30600132,"HC NAIVE/MEMORY TCELLS, MARKER 4",199.00
30600133,"HC NAIVE/MEMORY TCELLS, MARKER 5",199.00
30600134,HC NAIVE/MEMORY T CELLS MARKER 6,199.00
30600136,HC CLOSTRIDIUM DIFICILE ANTIGEN,0.00
30600137,HC HEPATITIS B DNA QUANT.,303.00
30600138,"HC BKV DNA, QUANT PCR",426.00
30600143,HC CRYPROCOCCUS CULTURE FOR,271.00
30600145,HC FLUA/HINI PCR DETECTION,482.00
30600158,HC HBSAG CONFIRMATION,129.00
30600159,HC FLUA/HINI PCR DETECTION,482.00
30600162,HC RAPID FLU A/B RSVPCR,0.00
30600164,HC FLU A/HINI PCR DETECTION,483.00
30600165,HC RAPID FLU A/B RSVPCR,838.00
30600170,HC RESPIRATORY VIRUS PANEL BY PCR,3712.00
30600171,HC HIV AG/AB COMBO,305.00
30600172,"HC NON-STERILE SITE CULTURE, AEROBIC",279.00
30600173,"HC STERILE SITE CULTURE, AEROBIC",279.00
30600174,"HC NON STERILE SITE CULTURE, ANAEROBIC",298.00
30600175,HC BACTERIAL VAGINOSIS/YEAST SCREEN,114.00
30600176,HC SHIGA TOXIN ASSAY,0.00
30600177,HC PERIPHERAL BLOOD CULTURE,573.00
30600178,HC CENTRAL BLOOD CULTURE,573.00
30600179,HC CHLAMD TRACH/ N. GONNORR DNA,0.00
30600181,HC RAPID FLU A/B PCR,0.00
30600185,"HC  HSV PCR, QUALITATIVE",0.00
30600188,"HC CRYPTOCOCCAL ANTIGEN,SCREEN",384.00
30600189,HC CRYPTOCOCCAL ANTIGEN TITER,406.00
30600190,HC PROD STERILITY TESTING - BCHO,0.00
30600191,"HC HPV DNA, HIGH RISK WITH REFLEX",1174.00
30600192,"HC HPV DNA, HIGH RISK W/O REFLEX",1174.00
30600193,HC HPV DNA GENOTYPE,1211.00
30600194,HC HIV AG/AB COMBO,305.00
30600195,"HC ADENOVIRUS, DNA",426.00
30600196,HC CULTURE SCREEN ONLY,573.00
30600197,HC SUSCEPT BY IMMUNOLOGIC METHOD,123.00
30600198,HC GIARDIA EIA,206.00
30600199,HC CT/GC RNA,0.00
30600200,HC TRICHOMONAS VAGINALIS RNA,208.00
30600201,HC ACANTHAMOEBA CULTURE & SMEAR,206.00
30600202,HC GIEMSA STAIN,306.00
30600203,HC RAPID FLU A/B/ RSV RNA,838.00
30600204,HC RESPIRATORY PATHOGEN PANEL PCR,3712.00
30600205,"HC HSV DNA, QUAL CSF",0.00
30600206,HC MRSA SCREEN,206.00
30600207,"HC HSV DNA, QUAL NON- CSF",0.00
30600208,HC ID AFB BY MALDI TOF,252.00
30700015,HC MEASURE TIMED URINE COLL,62.00
30900003,"HC EOSINOPHILS, URINE",448.00
30900006,HC C9ORF72 REPEAT EXPANSION,780.00
30900010,HC PROCESSING PBSC-BCHO,2800.00
30900011,HC PROCESSING BM-BCHO,2135.00
30900012,HC CRYOPRESERVATION-BCHO,2264.00
30900013,HC RBC DEPLETE-BCHO,6234.00
30900014,HC SNP ARRAY-PRENATAL ANALYSIS,4206.00
30900015,HC SNP ARRAY-TISSUE & POC ANALYSIS,4206.00
30900016,HC SNP ARRAY -  BLOOD ANALYSIS,4206.00
30900017,HC SNP ARRAY -  CANCER ANALYSIS,4206.00
30900020,HC CALRETICULIN EXON 9 MUTATION ANALYSIS,780.00
30900041,HC HEMATOPOIETIC CELL BOOST TXP,1938.00
30900042,HC SNP ARRAY FAMILY FOLLOW UP,2316.00
30900068,HC FLT3 MUTATIONS,0.00
30900069,HC 1P19Q FISH ANALYSIS,0.00
30900070,HC ALK GENE REARRANGEMENT TEST BY FISH,2151.00
30900071,HC EGFR AMPLIFICATION BY FISH,895.00
30900072,HC ERBB2 FISH ANALYSIS  (ALSO KNOWN AS HER2),1222.00
30900073,HC EWSR1 BY FISH,1172.00
30900074,HC ISOCHROMOSOME 17Q BY FISH,1194.00
30900075,HC MYCN BY FISH,1194.00
30900076,HC MYC (C-MYC) BY FISH,1194.00
30900077,HC PTEN DELETION BY FISH,895.00
30900078,HC SSI8 (SYT) BY FISH,1172.00
30900081,HC SEMEN ANALYSIS WITH MORPHOLOGY,1174.00
31000006,"HC PATH EXAM, LEVEL V",1466.00
31000007,"HC PATH EXAM, LEVEL VI",1298.00
31000011,HC FROZ SECT 1ST TISSUE BLK,190.00
31000012,HC FROZ SECT EA ADD TISS BL,76.00
31000021,HC DECALCIFICATION,105.00
31000049,"HC CYTOLOGY, FILTER PREP",465.00
31000055,HC US NEEDLE BX GUIDE TECH,1018.00
31000072,HC FISH: DNA PROBE,276.00
31000073,HC FISH: ANALYZE 100-300 CELLS,514.00
31000074,"HC FISH: SPECIAL STAIN, GRP II",492.00
31000075,HC FISH: HER-2NEU,899.00
31000077,HC PCR B CELL: DNA AMPLIFY,213.00
31000078,HC PCR B CELL: ELECTROPHORESIS,48.00
31000080,HC PCR T CELL: DNA AMPLIFY,213.00
31000081,HC PCR T CELL: DGGE,213.00
31000082,HC MORPHOMTRC ANLY HYBRID EA CMPT,1867.00
31000083,HC MORPHOMTRC ANLY HYBRID EA MNL,612.00
31000084,HC UROVYSION FISH ANALYSIS,1269.00
31000085,HC 1P19Q FISH ANALYSIS,0.00
31000086,HC ERBB2 FISH ANALYSIS,0.00
31000090,HC MSI - NO DNA EXTRACT,0.00
31000109,PE - ACCESSION / QC / DELIVERY,162.00
31000110,PE - GROSSING - CUTTING,126.00
31000111,PE - DICTATION,126.00
31000112,"PE - PROCESS / EMBED, EACH",42.00
31000113,"PE - SECTION, EACH",174.00
31000114,"PE - H&E STAIN, EACH",100.00
31000115,"SECTION, EACH ADD'L",44.00
31000116,"H&E STAIN, EACH ADD'L",25.00
31000117,PATH RECORD REQUEST - LEGAL,102.00
31000118,EM - ACCESSION / QC / DELIVERY,1074.00
31000119,"EM - EMBED, EACH",986.00
31000120,"EM - THICK SECTION, EACH",824.00
31000121,"EM - THIN SECTION, EACH",616.00
31000122,EM - ELECTRON MICROSCOPY,638.00
31000123,EM - DOCUMENTATION,210.00
31000124,IF - MOUNTING,43.00
31000125,IF - FREEZING,120.00
31000126,IF - SECTION,55.00
31000127,IF - STAINING,153.00
31000128,IF - COVERSLIPPING,4.00
31000129,IF - DELIVERY / QC,17.00
31000130,PATH RECORD REQUEST - LEGAL,108.00
31000134,HC PE - GYN THIN PREP PAP SCRN,38.00
31000136,HC CONSULT/REP ON REF SLIDE,173.00
31000137,"HC LEV II SURG PATH,GROS &M",124.00
31000139,HC SAT BIOPSY PROSTATE 1-20 SPC,625.00
31000140,HC BRAF MUTATION,1229.00
31000141,HC CF MUTATION ANALYSIS,1246.00
31000142,HC CYSTIC FRIBROSIS CBAVD POLY T MUTATION,565.00
31000143,"HC ARRAY CGH, CONSTITUTIONAL",6412.00
31000145,HC PROTHROMBIN (20210) MUTATION,478.00
31000146,HC FACTOR V (F5) LEIDEN MUTATION,478.00
31000147,"HC HEMOCHROMATOSIS, HEREDITARY",577.00
31000148,HC ALPHA THALASSEMIA MUTATIONS,582.00
31000149,HC ALPHA THALASSEMIA GENE MAPPING,705.00
31000150,HC MATERNAL CELL CONTAMINATION,1904.00
31000151,"HC JANUS KINASE 2 MUTATION, QUALITATIVE",610.00
31000152,HC KRAS SEQUENCING,1607.00
31000153,HC MGMT METHYLATION PROMOTER,1126.00
31000154,HC METHYLENETETRAHYDROFOLATE REDUCTASE MUTATIONS,478.00
31000155,HC MICROSATELLITE INSTABILITY BY PCR,1216.00
31000156,"HC PML-RARA PCR, QUALITATIVE",1669.00
31000157,"HC PML-RARA PCR, QUANTITATIVE",472.00
31000158,HC PRADER-WILLI/ANGELMAN SYNDROMES,353.00
31000159,HC HUNTINGTON'S DISEASE TRIPLET REPEAT,555.00
31000160,HC SPINAL MUSCULAR ATROPHY,537.00
31000162,HC BETA GLOBIN DELETIONS,427.00
31000163,HC ABL KINASE DOMAIN MUTATIONS,1347.00
31000164,HC BETA GLOBIN DNA SEQUENCING,3073.00
31000165,HC HEMOPHILIA A INVERSION,353.00
31000166,HC NPM1 MUTATION,577.00
31000173,HC ALPHA THALASSEMIA POINT MUTATIONS,528.00
31000174,HC BRAF GENE,895.00
31000175,HC KRAS GENE,1439.00
31000176,HC MICROSATELLITE INSTABILITY,1147.00
31000177,HC EGFR GENE COM VARIANTS,964.00
31000180,HC SPECIAL STAIN I - SMALL BATCH,291.00
31000181,HC SPECIAL STAIN I - LARGE BATCH,145.00
31000182,HC SPECIAL STAIN II - SMALL BATCH,250.00
31000183,HC SPECIAL STAIN II - LARGE BATCH,126.00
31000184,HC IHC - SMALL BATCH,390.00
31000185,HC IHC - LARGE BATCH,120.00
31000186,HC DNA EXTRACTION,126.00
31000187,HC IMMUNOHISTO/CYTO CHEM 1ST ST,511.00
31000188,HC IMMUNOHISTO/CYTO CHEM ADD,511.00
31000190,HC STR MARKERS SPECIMEN ANAL,467.00
31000191,HC BCL6 3Q27 BREAK APART REARRANGEMENT,0.00
31000192,HC PDGFRB 5Q33.1 REARRANGEMENT,0.00
31000193,HC PDGFRA 4Q12 REARRANGEMENT,0.00
31000194,HC ALK GENE REARRANGEMENT  TEST BY FISH,0.00
31000195,HC UDP GLUCURONOSYLTRANSERASE 1A1,1296.00
31000196,HC MLH1 METHYLATION,525.00
31000197,"HC ARRAY CGH, TISSUE & POC",6412.00
31000198,HC SPECIMEN IDENTIFICATION TEST,467.00
31000199,HC MGMT METETHYLATION PROMOTER (MGMT),1126.00
31000200,HC IMMUNOHISTO ANTIBODY SLIDE EA SINGL STAIN,204.00
31000201,HC IMMUNOHISTO ANTIBODY SLIDE EA MULTIPLEX STAIN,343.00
31000202,HC INSITU HYBRIDIZATION (FISH) EA SINGL PROB STAIN,315.00
