Procedure Description, Charge Amount 
DEPAKOTE ER 500 MG (DIVALPROEX EXT. REL),$8.25 
CELEXA 10 MG (CITALOPRAM),$6.15 
DETROL LA 2 MG (TOLTERODINE),$11.33 
ACTIVASE CATHFLO 2 MG,$326.81 
ZOFRAN 4 MG TABLETS (ONDANSETRON),$46.22 
TAMIFLU 75MG CAPS (OSELTAMIVIR),$26.10 
AGGRENOX CAPSULE (ASA/DIPYRIDAMOLE),$12.10 
TOPROL XL 25 MG (metoPROLOL SUCC ER),$3.95 
DEMADEX 100MG TABLETS(TORSEMIDE),$7.60 
RIFADIN 150MG CAPSULES (RIFAMPIN),$4.25 
EXELON 3 MG CAP (RIVASTIGMINE),$4.77 
ZOCOR 40MG (SIMVASTATIN),$5.02 
REMICADE : CHG. PER 10 MG,$252.56 
NUBAIN: 20MG/ML INJ (NALBUPHINE),$11.59 
SEROquel 50 MG TABLET (QUEtiapine),$10.55 
ZOLADEX : CHG. PER 3.6 MG (GOSERELIN),$827.32 
LOPRESSOR 12.5MG (1/2 OF 25MG TAB),$2.00 
PULMICORT RESPULES 0.25MG/2ML,$17.28 
FISH OIL 1000 MG CAPSULES,$0.90 
SLO-NIACIN 500MG(NIACIN),$0.90 
VALTREX 500MG TABLET(VALACYCLOVIR),$17.45 
ZETIA 10MG (EZETIMIBE),$17.38 
LEXAPRO 10MG TAB (ESCITALOPRAM),$4.76 
RENAGEL 800MG TAB (SEVELAMER),$15.24 
ARANESP:CHG. PER 1 MCG FOR NON-ESRD,$13.36 
ZOMETA : 4 MG VIAL (CHG. PER 1 MG),$192.25 
AZOPT 1% OPTH DROPS (BRINZOLAMIDE),$616.14 
ALBUTEROL UD 2.5MG/3ML,$13.00 
ATROVENT UD 0.02% 2.5 ML (IPRATROPIUM),$9.10 
MICRONEFRIN 2.25% 0.5ML UD(RACEPINEPHRIN,$9.25 
CARDIZEM : 25 MG/5 ML (DILTIAZEM),$9.30 
TOPAMAX 50 MG (TOPIRAMATE),$15.20 
VIGAMOX 0.5% OPH SOL 3ML (MOXIFLOXACIN),$321.67 
NAMENDA 10 MG (MEMANTINE),$11.28 
REQUIP 500MCG (rOPINIRole),$7.20 
DUO NEB UD (IPRATROP/ ALBUTEROL),$20.00 
PROTONIX 40MG IV PUSH (PANTOPRAZOLE),$18.00 
TEGRETOL XR 100 MG (carBAMazepine),$1.90 
MAXIPIME/ NS IVPB :2 GM/ 50ML (CH/500MG),$44.91 
MAXIPIME /NS IVPB:1 GM/50ML (CHG/500 MG),$26.85 
SPIRIVA INHALER 5'S (TIOTROPRIUM),$140.67 
BANANA BAG IV : 1000 ML,$73.00 
EXCEDRIN EXTRA STRENGTH (PAIN RELIEVE+),$0.10 
SKELAXIN 800 MG (METAXALONE),$11.32 
GENTAMICIN 0.1% OINTMENT,$85.52 
KEPPRA 500 MG TAB(levETIRAcetam),$4.87 
ENTOCORT EC 3MG (BUDESONIDE),$36.65 
DEPAKOTE ER 250 MG (DIVALPROEX EXT REL),$5.50 
CYMBALTA 30MG (DULoxetine),$15.78 
FLAGYL 500 MG TABLET(metroNIDAZOLE),$3.80 
REQUIP 2MG (rOPINIRole),$2.64 
EFFEXOR XR 150MG (VENLAFAXINE),$5.27 
LEXAPRO 20MG TAB (ESCITALOPRAM),$7.90 
LEVAQUIN / D5W PREMIX : 750 MG/ 150ML,$131.20 
PENTASA 500MG CAPSULE (MESALAMINE),$9.30 
ZOSYN / NS IVPB : 4.5 GM / 100ML,$48.34 
TRIAMCINOLONE 0.1% 80 GM CREAM(KENALOG),$19.63 
FLOVENT 110 MCG HFA MDI (FLUTICASONE),$514.44 
FLOVENT 220 MCG HFA MDI (FLUTICASONE),$799.05 
BENICAR 20 MG TABLETS (OLMESARTAN),$10.15 
TRAVATAN 0.004% (TRAVOPROST) OPHTH SOL,$353.23 
DURAGESIC PATCH 12 MCG/HR (fentaNYL)****,$34.66 
INFLUENZA VACCINE ADMINISTRATION CHARGE,$36.00 
PNEUMONIA VACCINE ADMINISTRATION CHARGE,$34.50 
MOBIC 7.5 MG (MELOXICAM),$7.80 
LYRICA 25MG (PREGABALIN)****************,$12.44 
LYRICA 100MG (PREGABALIN)***************,$12.44 
TRICOR 145 MG (FENOFIBRATE),$12.74 
XOPENEX 0.31 MG/3ML (UD) LEVALBUTEROL,$13.40 
LUPRON DEPOT : PER 3.75MG(LEUPROLIDE),"$1,564.80 "
CALCIUM CHLORIDE 10% 10 ML VIAL,$8.55 
URSODIOL 250MG TABS.,$7.50 
VITAMIN B-12 1000 MCG (CYANOCOBALAMIN),$0.95 
WELLBUTRIN XL 150MG (buPROPion XL/ER),$5.36 
DAPTOmycin 500MG: CHARGE PER 1MG,$1.93 
ELIGARD : 7.5MG (LEUPROLIDE ACETATE SUSP,$654.66 
REQUIP 1MG (rOPINIRole),$7.20 
KEPPRA / NS IVPB : 500MG/100ML(CHG/10MG),$17.80 
LOPRESSOR 25 MG (metoPROLOL TARTRATE),$1.00 
JANUVIA 100MG (sitaGLIPtin),$28.67 
PREVACID SOLUTABS 30MG (LANSOPRAZOLE),$16.54 
MEFOXIN / NS IVPB : 1 GM/ 50ML,$50.00 
MEFOXIN 2 GRAM VIAL (CEFOXITIN),$51.50 
GEODON (ZIPRASIDONE) INJ : 20MG,$98.70 
BONIVA (IBANDRONATE)INJ : PER 1MG,$351.66 
SEROquel 200MG (QUEtiapine FUMARATE),$20.90 
NEULASTA(PEGFILGRASTIM) 6MG INJ,"$12,539.60 "
VITAMIN D 400 UNITS (CHOLECALCIFEROL-D3),$0.80 
AMBIEN 5 MG (ZOLPIDEM) **************,$10.80 
LYRICA 50MG (PREGABALIN)****************,$12.51 
LYRICA 75MG (PREGABALIN)****************,$13.68 
DILANTIN IVPB : 1 GM / 250ML,$73.00 
ERTAPENEM / NS IVPB : 1GM/50ML,$274.71 
BENADRYL 25MG/10ML SOL UD,$1.00 
CYMBALTA 60MG (DULOXETINE),$14.36 
RECLAST : 5MG/100ML (CHG PER 1MG),$249.10 
CLEOCIN (CLINDAMYCIN)900MG VIAL,$33.10 
ZOVIRAX : 1GM INJ (ACYCLOVIR),$54.57 
GLUCOPHAGE 1000MG (metFORMIN),$4.15 
ADACEL VACCINE (DTaP),$78.76 
ALBUTEROL HFA MDI (VENTOLIN/PROAIR) 8GM,$112.35 
ADVAIR DISKUS 250/50 INHALER - 14 DOSE,$316.47 
ADVAIR DISKUS 500/50 INHALER - 14 DOSE,$515.77 
ORENCIA : CHG PER 10 MG,$91.72 
ZEBETA 5MG (BISOPROLOL),$3.95 
HYDROCORTISONE 5MG TAB,$1.78 
ABILIFY 10 MG TAB (ARIPiprazole),$44.58 
ADVAIR DISKUS 100/50 INHALER - 14DOSE,$316.95 
TYLENOL ARTHRITIS 650MG CAPLETS,$1.23 
VITAMIN D3 1000 UNITS (CHOLECALCIFEROL),$1.00 
COMBIGAN OPH (BRIMONIDINE/TIMOLOL),$348.17 
MIRAPEX 1 MG (PRAMIPEXOLE),$8.70 
MIRALAX 17GM POLYETHYLENE GLYCOL 3350,$4.90 
"""NYSTATIN SUSP 100,000 UNITS/ML(5ML) UD""",$2.02 
ROBITUSSIN AC 5ML (guaiFENesin/CODEINE),$1.75 
Bactrim Ped Susp (TMP/SMZ) 20ML UD,$10.77 
PHENERGAN W/CODEINE 5ML (PROMETH W/COD),$4.50 
ROBITUSSIN DM 5ML (guaiFENesin/DM),$1.16 
KAOCHLOR SF 20MEQ/15ML UD (POTASSIUM CL),$31.66 
MORPHINE:4 MG CARPUJECT,$10.40 
MAALOX (MAG-AL Plus) UD,$5.96 
HYDROCHLOROTHIAZIDE 12.5MG CAP,$1.30 
TRIPLE ANTIBIOTIC UD PACKET,$4.00 
INSULIN (NovoLIN/HumuLIN) 70/30 PER UNIT,$5.20 
INSULIN (HumuLIN/NovoLIN) NPH PER UNIT,$0.54 
INSULIN (GLARGINE - LANTUS)PER UNIT,$1.88 
INSULIN (HumaLOG/NovoLOG)(ASPART)/UNIT,$1.14 
TNKASE KIT FOR HEART(DO NOT USE FOR CHG),$302.58 
ACTIVASE KIT STROKE(DO NOT USE FOR CHG),$219.05 
ROBITUSSIN EXP 15ML (guaiFENesin),$1.21 
FLORASTOR CAP 250MG,$2.30 
IMMUNE GLOBULIN : 500 MG (IGIV) PRIVIGEN,$120.00 
COLACE (DOCUSATE)100MG/10ML UD,$4.50 
TUSSIONEX 5ML UD (HYDROco/CHLORPHEN),$15.70 
ULORIC 40MG TABLETS (FEBUXOSTAT),$23.00 
PriLOSEC 20MG (OMEPRAZOLE),$4.12 
HEP-LOCK 100 UNITS/ML 5 ML SYR,$8.00 
SEROquel XR 150MG (QUEtiapine FUMARATE),$18.60 
IBUPROFEN LIQUID 100MG/5ML UD,$4.50 
TYLENOL 650MG/20.3ML (ACETAMINOPHEN),$3.94 
GLUCOPHAGE XR 750 MG (metFORMIN EXT REL),$3.90 
DERMABOND ADHESIVE,$72.19 
HYDROmorphone 0.2MG/ML PCA INJ.,$45.00 
FASLODEX : 250MG/5ML INJ (CHG PER 25 MG),$204.51 
LUPRON 7.5MG DEPOT - FOR MALE PROSTATE C,"$2,884.37 "
ZESTRIL/PRINIVIL 2.5MG (LISINOPRIL),$3.65 
LACTULOSE 20GM/30ML UD,$1.45 
XGEVA 120MG: CHG PER MG,$38.83 
ACYCLOVIR 400 MG (ZOVIRAX),$4.12 
METOCLOPRAMIDE 5MG/5ML 10ML UD,$8.04 
VENOFER : 100MG/5ML INJ (CHG PER 1 MG),$9.18 
AMIODARONE IVPB :150 MG/100ML(CHG/30MG),$73.76 
AMIODARONE DRIP : 360 MG/200ML (CHG/30MG,$8.17 
VIMPAT/ NS IVPB: 200MG/100ML,$115.50 
MERREM/ NS IVPB : 1 GM/100ML,$57.78 
PRADAXA 150 MG (DABIGATRAN),$13.37 
LORTAB 10/325(HYDROcodone/APAP10/325)*,$2.01 
PRADAXA 75 MG (DABIGATRAN),$10.08 
TNKASE 50MG (CHARGE PER 1MG),$250.32 
ACTIVASE 100MG (CHARGE PER 1MG),$187.90 
MAXALT-MLT 5 MG TABS (RIZATRIPTAN),$76.12 
VERSED 10MG/10ML INJ. (MIDAZOLAM)**,$8.35 
OFIRMEV IVPB: 1GM/100ML (CHG/10MG),$82.96 
HEALON GV 0.85 ML,$100.00 
NORMAL SALINE: 100ML PF,$18.00 
NORMAL SALINE: 50ML PF,$18.00 
NORMAL SALINE: 250ML PF,$18.00 
TYLENOL 160MG/5ML (ACETAMINOPHEN) UD,$1.96 
VIT A&D OINT UD PACKET,$0.45 
LORTAB 5/325 *,$2.01 
CELESTONE SOLU:12MG DOSE (CHG/3MG),$9.65 
ZITHROMAX / NS IVPB : 500MG/250ML,$84.40 
MAXIPIME 1 GM VIAL (CHG/500 MG),$26.97 
MAXIPIME 2 GM VIAL (CHG/500 MG),$43.06 
PHENYTOIN 125MG/5ML SUSP UD,$2.00 
FERROUS SULFATE 325MG/7.4ML LIQ UD,$2.00 
PEDIAPRED 5MG/5ML UD (prednisoLONE),$7.88 
NORMAL SALINE: 1000ML,$73.00 
COMBIVENT RESPIMAT MDI,$751.80 
PHENERGAN DM 5ML UD,$3.34 
EPINEPHRINE : DRIP 3MG/250ML D5W,$73.00 
LUMIGAN 0.01% 2.5ML (BIMATOPROST) OPH,$323.86 
FLOXIN 0.3% OPHTH SOL (OFLOXACIN),$147.09 
BACITRACIN ZINC UD PACKET,$2.00 
TEGRETOL (carBAMazepine) 100MG/5ML U/D,$6.56 
MAGNESIUM SULFATE /NS IVPB: 1GM/50ML,$27.10 
ROPIVACAINE 0.5% 20ML SDV (NAROPIN),$47.10 
PROLIA 60MG SYRINGE: CHG PER MG,$39.86 
VALPROIC ACID ORAL SOLN 250MG/5ML UD,$2.62 
MERREM/ NS IVPB : 500MG / 100ML,$16.00 
TRANEXAMIC ACID/ NS IVPB : 2GM / 100ML,$108.80 
XARELTO 10 MG (RIVAROXABAN),$26.54 
LORTAB SOLN(7.5MGHCDN/325 APAP/15ML)UD*,$10.00 
ZOFRAN 4MG/5ML SOLUTION (ONDANSETRON),$39.64 
MORPHINE 10MG/5ML ORAL SOLN UD,$3.70 
ATORVASTATIN 10MG (LIPITOR),$1.26 
ATORVASTATIN 40MG (LIPITOR),$1.72 
XARELTO 15 MG (RIVAROXABAN),$26.56 
MAGNESIUM SULF/D5W PREMIX IVPB:1GM/100ML,$31.40 
SODIUM BICARBONATE 4% (NEUT) 5ML,$11.42 
ELIQUIS 2.5 MG (APIXABAN),$11.54 
ELIQUIS 5 MG (APIXABAN),$12.45 
KCL BOLUS / WATER IVPB : 10MEQ/ 100 ML,$18.00 
NICOTINE GUM 2MG (NICORETTE),$25.24 
SIMPONI ARIA 50MG INJ : CHG. PER 1 MG,$74.97 
EPOGEN : FOR NON-RENAL- PER 1000U,$230.28 
XIFAXAN 550MG TAB (RIFAXIMIN),$74.52 
ERYTHROMYCIN BASE 250MG TABLET (E-MYCIN),$19.40 
VANCOMYCIN / NS IVPB : 1GM / 250ML,$100.00 
EVALUATION I,$259.50 
THERP EXERCISE (15 MIN),$90.50 
GAIT TRAINING,$90.50 
ELECTRICAL STIMULATION,$167.00 
ULTRASOUND,$85.50 
THERAPEUTIC ACTIVITY,$72.50 
NEUROMUSCULAR REEDUCATION,$72.50 
MANUAL THERAPY (15 MIN),$90.50 
CPM,$72.50 
FUNCTIONAL CAPACITY EVAL.,$54.00 
GROUP THERAPY (15 MIN.),$34.50 
