Charge Description,Charge Amount
PEPTO-BISMOL 1 ML UDL   ,2.25
PHENOBARBITAL TAB 30 MG ,2.25
PHENOBARBITAL TAB 60 MG ,2.25
PHENOBARBITAL TAB 100 MG,2.25
ASPIRIN TAB 81 MG       ,2.25
SUDAFED TAB 30MG        ,2.25
PYRIDOXINE TAB 100MG    ,2.25
PYRIDOXINE TAB 50 MG    ,2.25
MAG-OX TAB 400 MG       ,2.25
HCTZ TAB 25 MG          ,2.25
HCTZ TAB 50 MG          ,2.25
SOD BICARB TAB 650MG    ,2.25
SYNTHROID TAB 25MCG     ,2.25
SYNTHROID TAB 50MCG     ,2.25
SYNTHROID TAB 150MCG    ,2.25
ARTANE TAB 2MG          ,2.25
TCN CAP 250 MG          ,2.25
TYLENOL ELIX 160MG      ,2.25
TYLENOL TAB 500MG       ,2.25
TYLENOL TAB 80MG        ,2.25
TYLENOL TAB 325 MG      ,2.25
ZINC SULFATE CAP 220    ,2.25
ZYLOPRIM TAB 100MG      ,2.25
PHOS NAK PACKET         ,2.25
GLYCERIN SUPP - ADULT   ,2.25
LACT-AID TAB            ,2.25
IBUPROFEN TAB 200 MG    ,2.25
BENYLIN SYRUP 1 ML UDL  ,2.25
CALCET TAB              ,2.25
CAL CARBON TAB 650MG    ,2.25
COLACE LIQ 10 MG/ML UDL ,2.25
FUROSEMIDE TAB 40MG     ,2.25
LIBRIUM CAP 5 MG        ,2.25
THEOPH 5.33 MG/ML UDL   ,2.25
PERIACTIN SYRUP 1 ML UDL,2.25
GLYCERIN SUPP - CHILD   ,2.25
CHLORTHALIDONE TAB 25 MG,2.25
POTASSIUM GLUC TAB 550MG,2.25
MYLANTA GAS  80 MG      ,2.25
MYLANTA GAS 125 MG      ,2.25
ZAROXOLYN TAB 5MG       ,2.25
PHENERGAN SYR 1.25 MG/ML,2.25
PREDNISONE 1 MG/ML UDL  ,2.25
MG GLUC 200 MG/ML UDL   ,2.25
SENOKOT TAB             ,2.25
SYMMETREL 10 MG/ML UDL  ,2.25
SYNTHROID TAB 0.075     ,2.25
SYNTHROID TAB 125MCG    ,2.25
CA CARB 250 MG/1 ML SUSP,2.25
VENTOLIN SYRUP 1 ML UDL ,2.25
ZINC GLUC TAB 50MG      ,2.25
INDERAL SOLN 4 MG/ML UDL,2.25
SOD CHL 2.5 MEQ/ML UDL  ,2.25
NS NOSE-EYE DROP 5ML    ,2.25
SOD CHLORIDE 1GM TAB    ,2.25
FIBERCON LAX 2'S        ,2.25
FEOSOL ELIXIR 1 ML UDL  ,2.25
TUMS-EX 1 TAB           ,2.25
SYNTHROID TB 0.088MG    ,2.25
K-PHOS TAB ORIGINAL     ,2.25
K-PHOS NEUTRAL TAB      ,2.25
POT CHL ELIXIR          ,2.25
NAPROXEN SOD 220 TAB    ,2.25
NAPROSYN LIQ 25MG/ML UDL,2.25
VISINE TEARS 0.4 ML     ,2.25
METHADONE 1 MG/1 ML U/D ,2.25
POLYCITRA SYRUP 1 ML UDL,2.25
METOCLOP SYRUP 5 MG     ,2.25
CHLORTRIMETON TAB 4 MG  ,2.25
MAGNESIUM 250MG TAB     ,2.25
CITRACAL TAB            ,2.25
TRILISATE LIQ 100 MG/ML ,2.25
LOPERAMIDE LIQ 5ML      ,2.25
CHLORDIAZEPOX 10 MG     ,2.25
DIPHENHYD ELIXIR 15ML   ,2.25
OY SHELL CA/VIT D TAB   ,2.25
CA GLUCONATE TAB 650 MG ,2.25
SOD CHL 452MG/KCL 10MG  ,2.25
POLYHISTINE EL 5 ML     ,2.25
TEGRETOL 20 MG/ML UDL   ,2.25
MAGONATE TAB 500 MMG    ,2.25
SYNTHROID TB .112 MG    ,2.25
IMODIUM-AD 0.2 MG/ML UDL,2.25
SLOW-MAG TAB            ,2.25
INH TAB 100 MG          ,2.25
SELENIUM TAB 50 MG      ,2.25
LITHIUM SYR 60 MG/ML UDL,2.25
ASA EC TAB 81 MG        ,2.25
OYST SHELL CA 500 VIT D ,2.25
CLARITIN TAB 10 MG      ,2.25
MS TAB 15 MG            ,2.25
DIAMOX UDL 50 MG/ML     ,2.25
ZYLOPRIM 20MG/ML UDL    ,2.25
AMIODARONE 5MG/ML UDL   ,2.25
ATENOLOL UDL 2 MG/ML    ,2.25
BETHANECOL UDL 1 MG/ML  ,2.25
CAPTOPRIL UDL 0.75 MG/ML,2.25
FLUCYTOSINE UDL 10 MG/ML,2.25
FOLIC ACID UDL 1 MG/ML  ,2.25
ISONIAZID UDL 10 MG/ML  ,2.25
LABETALOL 10MG/ML UDL   ,2.25
METOLAZONE UDL 1 MG/ML  ,2.25
METRONIDAZOL UDL 50MG/ML,2.25
MG SULFATE UDL 100 MG/ML,2.25
PHENAZOPYRID UDL 10MG/ML,2.25
PROCAINAMIDE UDL 50MG/ML,2.25
PROPYLTHIOUR UDL 2 MG/ML,2.25
PYRIDOXINE UDL 10 MG/ML ,2.25
RIFAMPIN UDL 10 MG/ML   ,2.25
DIURIL 50 MG/ML UDL     ,2.25
SUCRALFATE 1 ML UDL     ,2.25
METOCLOPROP 1 MG/ML UDL ,2.25
CLARITIN 1 MG/ML UDL    ,2.25
THERAVITE LIQ 1 ML UDL  ,2.25
FUROSEMIDE 10 MG/ML UDL ,2.25
AMOXICILLIN 50 MG/ML UDL,2.25
CEPHALEXIN 50 MG/ML UDL ,2.25
PEN-V 50 MG/ML UDL      ,2.25
POLYCITRA K 1 ML UDL    ,2.25
KCL 10% 1.33 MEQ/ML UDL ,2.25
KCL 20% 2.67 MEQ/ML UDL ,2.25
PED MULTIVIT W/IRON TAB ,2.25
CALCIUM CARB TAB 500 MG ,2.25
MEPERIDINE 10 MG/ML UDL ,2.25
LACTULOSE FOR ADMIX 1 ML,2.25
FAMOTIDINE TAB 10 MG    ,2.25
SOD BICARB 1 MEQ/ML UDL ,2.25
WHITE PETROLATUM 5 GM   ,2.25
IBUPROFEN CHEWTAB 100MG ,2.25
CA GLUC 100 MG/ML UDL   ,2.25
CALTRATE 600 TAB        ,2.25
PSEUDOEPH 6 MG/ML UDL   ,2.25
BACITRACIN OINT 0.94 G  ,2.25
MINERAL OIL 1 ML UDL    ,2.25
BICITRA SOLN 1ML UDL    ,2.25
BENADRYL ELIX-BULK 5 ML ,2.25
BENADRYL CAP 25MG       ,2.25
BENADRYL CAP 50MG       ,2.25
OXYCOD/APAP 7.5/325 MG  ,2.25
FAC VIII RECOMB 1U NOS  ,2.25
FAC IX RECOMB NOS PER IU,2.25
MEDRXYPRGESTNEACTAT1MG  ,2.25
POTASS CL 2 MEQ INJ     ,2.25
ATROPINE 0.01 MG INJ    ,2.25
EPINEPHRINE 0.1 MG INJ  ,2.25
IRON SUCROSE 1 MG INJ   ,2.25
IRON DEXTRAN 50 MG INJ  ,2.25
DEXAMETH NA PHOS 1 MG   ,2.25
ONDANSETRON 1 MG INJ    ,2.25
MAG SULFATE 500 MG INJ  ,2.25
EPINEPHRINE 0.1 MG INJJW,2.25
ATROPINE 0.01 MG INJJW  ,2.25
MEDRXYPRGESTNEACTAT1MGJW,2.25
DEXAMETH NA PHOS 1 MGJW ,2.25
IRON SUCROSE 1 MG INJJW ,2.25
ONDANSETRON 1 MG INJJW  ,2.25
MAG SULFATE 500 MG INJJW,2.25
POTASS CL 2 MEQ INJJW   ,2.25
OMEGAVEN INJ 1 ML       ,2.4
DILTIAZEM TAB 30 MG     ,2.5
TYLENOL SUPP 120MG      ,2.5
DIGOXIN TAB 0.25 MG     ,2.5
ALDACTONE TAB 25 MG     ,2.5
METHYLDOPA TAB 250MG    ,2.5
AMOXICILLIN CP 250MG    ,2.5
HYDRALAZINE TAB 10 MG   ,2.5
HYDRALAZINE TAB 50 MG   ,2.5
SULFA/TRIMETH DS TAB    ,2.5
DICYCLOMINE CAP 10 MG   ,2.5
DICYCLOMINE TAB 20 MG   ,2.5
BUMETANIDE TAB 0.5 MG   ,2.5
BUMETANIDE TAB 1 MG     ,2.5
CLONIDINE TAB 0.1 MG    ,2.5
CLONIDINE TAB 0.2 MG    ,2.5
BENZTROPINE TAB 1 MG    ,2.5
BENZTROPINE TAB 2 MG    ,2.5
DOSS CAP 50 MG          ,2.5
MILK OF MAGNESIA30ML    ,2.5
DEXAMETH TAB 0.5 MG     ,2.5
TRAZODONE TAB 50 MG     ,2.5
DIAMOX TAB 125 MG       ,2.5
DILANTIN 25 MG/ML UDL   ,2.5
DITROPAN SYR 1 MG/ML UDL,2.5
AMITRIPTYLINE  25 MG    ,2.5
GLUCOSE TAB 5GM 6/PKG   ,2.5
GLYBURIDE TAB 2.5 MG    ,2.5
HALOPERIDOL TAB 1 MG    ,2.5
INDOCIN CAP 25 MG       ,2.5
METAMUCIL SUGAR FREE    ,2.5
METHADONE 5 MG PO       ,2.5
PRAZOSIN CAP 1 MG       ,2.5
PRAZOSIN CAP 2 MG       ,2.5
IBUPROFEN TAB 600 MG    ,2.5
PROPRANOLOL TAB 40 MG   ,2.5
PERSANTINE TAB 25MG     ,2.5
METOPROLOL 10MG/ML UDL  ,2.5
MUCINEX TAB 600 MG      ,2.5
ROBAXIN TAB 500MG       ,2.5
HYDROCORTISONE T 5MG    ,2.5
DOXEPINE CAP 25 MG      ,2.5
SYNTHROID TAB 200MCG    ,2.5
SYNTHROID TAB 300MCG    ,2.5
TEGRETOL TAB 100 MG     ,2.5
GLIPIZIDE TAB 5 MG      ,2.5
THEO-DUR TAB 100 MG     ,2.5
THEO-DUR TAB 200 MG     ,2.5
THEO-DUR TAB 300 MG     ,2.5
THYROID TAB 30 MG       ,2.5
THYROID TAB 60 MG       ,2.5
HALOPERIDOL TAB 0.5 MG  ,2.5
TRIAVIL TAB 2-25        ,2.5
TRIAVIL TAB 4-25        ,2.5
TYLENOL W/COD TAB #3    ,2.5
HYDROXYZINE CAP 25 MG   ,2.5
HYDROXYZINE CAP 50 MG   ,2.5
SOTALOL 5 MG/ML 1 ML UDL,2.5
METHADONE SOLN 5 MG/5 ML,2.5
CHLORTHALIDONE TAB 50 MG,2.5
FUROSEMIDE TAB 80MG     ,2.5
VERAPAMIL TAB 80MG      ,2.5
ARTANE TAB 5MG          ,2.5
INDOCIN SUSP 5 MG/ML UDL,2.5
AVENTYL LIQ 2MG/ML UDL  ,2.5
NORTRIPTYLINE 10 MG     ,2.5
METHADONE 10 MG PO      ,2.5
LITHIUM TAB 300MG       ,2.5
THIOTHIXINE CAP 2 MG    ,2.5
ESTROPIPATE TAB 0.625 MG,2.5
ZOLOFT TAB 100 MG       ,2.5
DOXEPINE CAP 10 MG      ,2.5
FAT EMULSION 20% 1 ML   ,2.5
THYROID TAB 120 MG      ,2.5
TOFRANIL TAB 10MG       ,2.5
AMLODIPINE 1 MG/ML UDL  ,2.5
METOPROLOL TAB 25 MG    ,2.5
IBUPROFEN TAB 800 MG    ,2.5
PROMETHAZINE SYRUP      ,2.5
MESTINON 14 MG/ML UDL   ,2.5
OXYCODONE 5MG TABLET    ,2.5
GUAIFEN/D-METH 10ML SY  ,2.5
THIOTHIXINE CAP 1 MG    ,2.5
PHOS-NAK CONC PKT       ,2.5
BISMUTH SUBSAL LIQ 15ML ,2.5
CLONIDINE 0.1 MG/ML UDL ,2.5
TAPAZOLE TAB 5 MG       ,2.5
PROPRANOLOL TAB 20 MG   ,2.5
DIGOXIN TAB 0.125 MG    ,2.5
THEOPH O.S. 80 MG/15 ML ,2.5
PREDNISOLONE TAB 5MG    ,2.5
MAXZIDE-25 TAB          ,2.5
UROCIT-K TAB            ,2.5
OXY IR CAP 5 MG         ,2.5
BACLOFEN UDL 10 MG/ML   ,2.5
FLECAINIDE UDL 20 MG/ML ,2.5
PYRAZINAMID UDL 100MG/ML,2.5
ACETAMINOPHEN 160MG/5ML ,2.5
DOXYCYCLINE 5 MG/ML UDL ,2.5
HALOPERIDOL 1 MG/ML UDL ,2.5
ZARONTIN 50 MG/ML UDL   ,2.5
CARNITOR 100 MG/ML UDL  ,2.5
NYSTATIN SUSP 1 ML UDL  ,2.5
SENOKOT-S TAB           ,2.5
CEFDINIR 50 MG/ML UDL   ,2.5
DIAZEPAM TAB 10 MG      ,2.5
DIAZEPAM TAB 2 MG       ,2.5
DIAZEPAM TAB 5 MG       ,2.5
REGLAN TAB 10MG         ,2.5
REGLAN TAB 5 MG         ,2.5
NEO/POLY/BACI FOILPK    ,2.5
HUMATE-P PER IU VWF:RCO ,2.5
ESMOLOL 10MG/ML DRIP    ,2.5
FAC VIII HUMAN          ,2.5
OMEGAVEN 1 ML           ,2.5
L-ARGININE 1000 MG TAB  ,2.5
DEXTROMETHORPHAN 6 MG/ML,2.5
CHOLECAL 5000 UNIT UDL  ,2.5
CEFUROXIME 100 MG/ML INJ,2.5
PRENATAL VITAMIN FE/FA  ,2.5
PAXIL TAB 10 MG         ,2.5
CHOLECALC 400 UNIT TAB  ,2.5
TOBRAMYCIN TO 80 MG INJ ,2.6
LOMOTIL TAB 2.5 MG      ,2.75
APAP SUPP 650 MG        ,2.75
METHYLDOPA TAB 500MG    ,2.75
AMOXICILLIN CP 500MG    ,2.75
HYDRALAZINE TAB 25 MG   ,2.75
HYDROXYZINE TAB 10 MG   ,2.75
AZULFIDINE TAB 500MG    ,2.75
SULFA/TRIM TAB          ,2.75
BRETHINE TAB 5 MG       ,2.75
CLONIDINE TAB 0.3 MG    ,2.75
PROCHLORPER MAL 5 MG PO ,2.75
THYROID TAB 180 MG      ,2.75
DEXAMETH TAB 4 MG       ,2.75
DEPAKENE 50 MG/ML UDL   ,2.75
DICLOXACILLIN CAP 250MG ,2.75
DITROPAN TAB 5MG        ,2.75
FERROUS SULF LIQ 5 ML   ,2.75
ESGIC TAB-FIORICET      ,2.75
METRONIDAZOLE TAB 250 MG,2.75
ALBUTEROL LIQ 6MG/15ML  ,2.75
HALCION TAB 0.125MG     ,2.75
HALOPERIDOL TAB 2 MG    ,2.75
HYDROCORTISONE T10MG    ,2.75
PROPRANOLOL TAB 80 MG   ,2.75
INDOCIN CAP 50 MG       ,2.75
VERAPAMIL TAB 120MG     ,2.75
MEGESTROL TAB 20 MG     ,2.75
PRAZOSIN CAP 5 MG       ,2.75
NYSTATIN TAB ORAL       ,2.75
PERSANTINE TAB 50MG     ,2.75
ONDANSETRON 4 MG VL     ,2.75
PHENERGAN TAB 25MG      ,2.75
FLUPHENAZINE TAB 1MG    ,2.75
PROVERA TB 10MG-GENE    ,2.75
REGLAN LIQUID 10MGUD    ,2.75
METHYLPHENIDATE 10MG    ,2.75
ROBAXIN TAB 750MG       ,2.75
LISINOPRIL TAB 2.5 MG   ,2.75
DOXEPIN CAP 50 MG       ,2.75
CARISOPRODIL TAB 350 MG ,2.75
GLYBURIDE TAB 5 MG      ,2.75
TRENTAL TAB 400 MG      ,2.75
TRIMETHOPRIM TAB 100 MG ,2.75
TYLENOL ELIX 325MG      ,2.75
DOXYCYCLINE CAP 100MG   ,2.75
ZYLOPRIM TAB 300MG      ,2.75
NORCO TAB 7.5/325       ,2.75
LANOXIN ELIX 5ML INC    ,2.75
NORCO TAB 5/325         ,2.75
LABETALOL TAB 100 MG    ,2.75
PANCRELIPASE 5000 U CAP ,2.75
LABETALOL TAB 200 MG    ,2.75
MUCINEX DM TAB          ,2.75
CORTISONE ACET TAB25    ,2.75
DILANTIN INFAT 50MG     ,2.75
LONITEN TAB 2.5MG       ,2.75
MINERAL OIL 30 ML       ,2.75
ISORDIL TAB 30MG PO     ,2.75
NEOMYCIN PWD 1GM        ,2.75
QUININE SO4 325 MG      ,2.75
CACL 50MG/ML GTT        ,2.75
ISORDIL TAB 10MGORAL    ,2.75
LOPRESSOR TAB 50MG      ,2.75
ESTROPIPATE TAB 1.5 MG  ,2.75
PERCOCET TAB            ,2.75
CARMEX LIP BALM         ,2.75
IMDUP TAB 60 MG         ,2.75
MSIR TAB 30 MG          ,2.75
CA CARB 1250 MG/5 ML UDL,2.75
THIOTHIXINE CAP 5 MG    ,2.75
CHLORZOXAZONE 500 MG    ,2.75
CLEOCIN SUSP 15MG/ML UDL,2.75
GUAIFENESIN-AC 5ML SYR  ,2.75
DEXEDRINE TAB 5 MG      ,2.75
RETROVIR SYR 10MG/ML UDL,2.75
IBUPROFEN 200 MG UDL    ,2.75
CARDENE CAP 20 MG       ,2.75
CARDENE CAP 30 MG       ,2.75
TUSSIONEX SUSP 1 ML UDL ,2.75
IMDUR TAB 30 MG         ,2.75
AMARYL TAB 2 MG         ,2.75
DEMADEX TAB 5 MG        ,2.75
STELAZINE TAB 1 MG      ,2.75
ALDACTONE 2MG/ML UDL    ,2.75
THIOGUANINE 20 MG/ML UDL,2.75
MOTRIN SUSP 20MG/ML UDL ,2.75
GRIFULVIN V 25 MG/ML UDL,2.75
CLARITHRO 25 MG/ML UDL  ,2.75
DOCUSATE 100MG/10ML UDL ,2.75
BENADRYL ELIX 12.5MG    ,2.75
CHLOROQUINE 500 MG TAB  ,2.75
FACTOR VIII VWF HUMAN 1U,2.75
TERBUTALINE 1 MG/ML INJ ,2.75
READICAT 450 ML         ,2.75
FUROSEM 40MG/4ML ORAL   ,2.75
CYANOCOBALAMIN 100MG TAB,2.75
METOPROLOL 5MG/5ML INJ  ,2.75
DEXAMETHASONE 1.5 MG PO ,2.75
DEXAMETHASONE 2 MG PO   ,2.75
DEXAMETHASONE 1MG/ML LIQ,2.75
HYDROMORPH 1 MG/ML      ,2.75
FUROSEMIDE 1 MG/ML INJ  ,2.75
MULTIVIT CHEWABLE PEDS  ,2.75
"CHOLECALCIF 50,000 UNITS",2.75
MVW COMPLETE VIT        ,2.75
SMOFLIPID 20% 1 ML      ,2.75
METHOTREXATE 5 MG INJ   ,2.75
LIORESAL TAB 10MG       ,3
LIMBITROL TAB 5-12.5    ,3
CEPHALEXIN CAP 250MG    ,3
DILTIAZEM TAB 60 MG     ,3
TYLENOL SUPP 325MG      ,3
ANTIVERT TAB 12.5MG     ,3
ANTIVERT TAB 25MG       ,3
HYDROXYZINE TAB 25 MG   ,3
LORAZEPAM TAB 0.5 MG    ,3
LORAZEPAM TAB 1 MG      ,3
BRETHINE TAB 2.5 MG     ,3
METHADONE O.S. 10MG/10ML,3
DEMEROL TAB 50MG        ,3
VALPROIC ACID 250 MG    ,3
TRAZODONE TAB 100 MG    ,3
DILAUDID TAB 2MG        ,3
AMITRIPTYLINE  75 MG    ,3
METRONIDAZOLE TAB 500 MG,3
GLUCOTROL TAB 10MG      ,3
HYDROXYUREA 500 MG PO   ,3
LOPRESSOR TAB 100MG     ,3
MAXZIDE-50 TAB          ,3
GENTAMICIN UP TO 80 MG  ,3
MORPHINE OS 10MG/5ML    ,3
PENICILLIN VK TAB500    ,3
PERIACTIN TAB 4MG       ,3
PERSANTINE TAB 75MG     ,3
ZONISAMIDE 10MG/ML UDL  ,3
TEMAZEPAM CAP 15 MG     ,3
TEMAZEPAM CAP 30 MG     ,3
SERAX CAP 10MG          ,3
CARB/LEVODOPA 25/100    ,3
STELAZINE TAB 2MG       ,3
SYNTHROID TAB 100MCG    ,3
PAXIL 2 MG/1 ML UDL     ,3
TEGRETOL TAB 200 MG     ,3
ATENOLOL TAB  50 MG     ,3
TOFRANIL TAB 25MG       ,3
PERPHENAZINE TAB 2 MG   ,3
APAP LIQ 650 MG/25 ML   ,3
VISKEN TAB 5 MG         ,3
ALPRAZOLAM 0.25 MG      ,3
CARAFATE TAB 1 G        ,3
BUSPAR TAB 5 MG         ,3
MEXITILITINE CAP 150 MG ,3
ESKALITH CR CAP 450 MG  ,3
NORTRIPTYLINE 25 MG     ,3
SYMMETREL CAP 100MG     ,3
MOTRIN SUSPENSION 5 ML  ,3
MAG HYD/AL HYD 30ML     ,3
HALCION TAB 0.25MG      ,3
KAYEXALATE POWDER 1 GM  ,3
LACTINEX GRANULES       ,3
DEXAMETH NA PHOS 4 MG   ,3
PTU TAB 50MG            ,3
IMODIUM CAP 2MG         ,3
DOPAMINE 5MG/ML GTT     ,3
NAPROXEN TAB 250 MG     ,3
ZENPEP CAP 5000         ,3
ATENOLOL TAB 25 MG      ,3
TENEX TAB 1 MG          ,3
VALPROIC ACID 250 SYRUP ,3
K-DUR TAB 10 MEQ        ,3
DILTIAZEM TAB 90 MG     ,3
KEPPRA 100 MG/1 ML UDL  ,3
RESERPINE TAB 0.1 MG    ,3
ISOMETH/DICH/APAP CAP   ,3
CARBAMAZEPINE SUS 5ML   ,3
NIFEDIPINE OS 4MG/ML UDL,3
INDAPAMIDE 2.5MG TAB    ,3
OXYCODONE 30MG TAB      ,3
RITALIN TAB 5 MG        ,3
KETOROLAC 10MG TAB      ,3
CYTOMEL TAB 5 MCG       ,3
LISINOPRIL TAB 5 MG     ,3
ISORDIL TAB 40 MG       ,3
FLUPHENAZINE 2.5 MG     ,3
ENALAPRIL TAB 2.5 MG    ,3
ZONEGRAN CAP 25 MG      ,3
ZANTAC 15MG/ML SYRUP UDL,3
MEGACE SUSP 40 MG/ML UDL,3
TRAMADOL TAB 50 MG      ,3
DEMADEX TAB 20 MG       ,3
DEMADEX TAB 10 MG       ,3
LIDO/EPI TOPICAL 3 ML   ,3
ACETAMINOPHEN SUPP 80 MG,3
LOMOTIL LIQUID 5 ML U/D ,3
ENALAPRIL 1 MG/1 ML UDL ,3
COLESTID TAB 1 GM       ,3
ROXICODONE 10 MG/0.5 ML ,3
TRILEPTAL 60 MG/1 ML UDL,3
DOPAMINE 800 MCG/ML INJ ,3
DOPAMINE 1600 MCG/ML INJ,3
DOPAMINE 6.4 MG/ML GTT  ,3
MERCAPTOPURINE 25 MG TAB,3
"KCENTRA, PER I.U.       ",3
ANTIINHIBITOR PER IU    ,3
TBO-FILGRASTM 1MCG INJ  ,3.05
ANUSOL-HC SUPP (GENERIC),3.25
HYDROXYZINE TAB 50 MG   ,3.25
PROBENECID TAB 500 MG   ,3.25
CLOMIPRAMINE CAP 50 MG  ,3.25
ZOVIRAX SUSP 200 MG     ,3.25
PROCHLORPER MAL 10 MG PO,3.25
BISOPR/HCTZ 10/6.25MG   ,3.25
DILANTIN CAP 100MG      ,3.25
MEGESTROL ACET 40 MG PO ,3.25
FLEXERIL TAB 10MG       ,3.25
FLORINEF TAB 0.1MG      ,3.25
HALOPERIDOL TAB 5 MG    ,3.25
ISORDIL TAB 20MGORAL    ,3.25
PHENOBARB ELIXIR U/D    ,3.25
LISINOPRIL 1MG/ML UDL   ,3.25
CARB/LEVODOPA 25/250    ,3.25
STELAZINE TAB 5MG       ,3.25
ENALAPRIL TAB 5 MG      ,3.25
ENALAPRIL TAB 10 MG     ,3.25
ALPRAZOLAM TAB 0.5 MG   ,3.25
ALPRAZOLAM TAB 1 MG     ,3.25
XEROFORM GAUZE 5X9      ,3.25
ACYCLOVIR CAP 200 MG    ,3.25
LABETALOL TAB 300 MG    ,3.25
NORCO TAB 10/325        ,3.25
FLEET BISACODYL ENEMA   ,3.25
METAPROTERENOL TAB 10 MG,3.25
LEVSIN TAB 0.125MG      ,3.25
WARFARIN TAB 1 MG       ,3.25
AMITRIPTYLINE  50 MG    ,3.25
PROVERA TAB 2.5MG       ,3.25
DOXEPINE CAP 75 MG      ,3.25
DOXEPINE CAP 100 MG     ,3.25
FENTANYL 50 MCG/ML INJ  ,3.25
TRAMADOL/APAP 37.5/325  ,3.25
K-DUR TAB 20 MEQ        ,3.25
HYDROCOD/IBUPROF TAB    ,3.25
ACAMPROSATE TAB 333 MG  ,3.25
DEPAKOTE TAB 125 MG     ,3.25
SORBITOL LIQ 30 ML      ,3.25
PREDNISOLONE 3 MG/ML UDL,3.25
LISINOPRIL TAB 10 MG    ,3.25
LISINOPRIL TAB 20 MG    ,3.25
PERPHENAZINE 4 MG PO    ,3.25
CARDIZEM-SR CAP 90MG    ,3.25
GEMFIBROZIL 600 MG      ,3.25
GABAPENTIN CAP 100 MG   ,3.25
CLARITIN-D TAB          ,3.25
DIFLUCAN 10MG/ML OS     ,3.25
AUGMENTIN 50 MG/ML UDL  ,3.25
DEPAKOTE SPRINKLE 125 MG,3.25
BACLOFEN TAB 20 MG      ,3.25
TEGRETOL-XR TAB 200 MG  ,3.25
VERSED SUSP 2MG/1ML UDL ,3.25
LIDOCAINE VISCOUS 15 ML ,3.25
TACROLIMUS IMM 0.5 MG PO,3.25
GUANFACINE ER 1 MG TAB  ,3.25
FERUMOXYTOL 1 MG NONESRD,3.25
BUPRENORPHINE 2 MG PO   ,3.25
ETOPOSIDE 10 MG INJ     ,3.5
MINOXIDIL 10 MG PO      ,3.75
NEPHROCAP CAP           ,3.75
CLOZAPINE 25 MG PO      ,3.75
DEXAMETH NA PHOS 10 MG  ,3.75
AZITHROMYCIN 500 MG TAB ,3.75
PROMETHAZINE 25 MG INJ  ,3.75
CLINDAMYCIIN 75 MG PO   ,3.75
AZACITIDINE 1 MG INJ    ,3.75
FERR CRBXMLTS 1MG INJ   ,4
FILGRASTIM 1 MCG INJ    ,4
FILGRASTIM 1 MCG INJJW  ,4
PREMARIN TAB 0.9 MG     ,4.25
LORAZEPAM TAB 2 MG      ,4.25
WARFARIN TAB 5 MG       ,4.25
DICLOXACILLIN CAP 500MG ,4.25
DILAUDID TAB 4MG        ,4.25
FLEET ENEMA             ,4.25
HYDROCORT TAB 20 MG     ,4.25
AZATHIOPRINE 50 MG PO   ,4.25
NAPROXEN TAB 500MG      ,4.25
PYRAZINAMIDE TAB500M    ,4.25
MENEST TAB 1.25 MG      ,4.25
TOFRANIL TAB 50MG       ,4.25
DYNACIRC CAP 2.5 MG     ,4.25
BETHANECHOL TAB 10 MG   ,4.25
BUSPAR TAB 10 MG        ,4.25
CYTOMEL TAB 25 MCG      ,4.25
DAPSONE TAB 25 MG       ,4.25
PROPRANOLOL TAB 60 MG   ,4.25
AMILORIDE TAB 5 MG      ,4.25
GLYNASE TAB 3 MG        ,4.25
OXYCODONE TAB 15 MG     ,4.25
CACL 20MG/ML GTT        ,4.25
CHROMAGEN CAP           ,4.25
DANTRIUM CAP 25 MG      ,4.25
TRICOR TAB 48 MG        ,4.25
CARDIZEM-SR CAP 60 M    ,4.25
ANAFRANIL CAP 75MG      ,4.25
SINEMET-CR 25/100       ,4.25
GLUCOPHAGE TAB 500 MG   ,4.25
LEVSIN SL 0.125 MG TAB  ,4.25
TOPROL XL TAB  50 MG    ,4.25
FLUPHENAZINE TAB 5 MG   ,4.25
AUGMENTIN 80 MG/ML UDL  ,4.25
WARFARIN TAB 3 MG       ,4.25
WARFARIN TAB 4 MG       ,4.25
TOPROL-XL TAB 25 MG     ,4.25
LINEZOLID 2 MG/ML INJ   ,4.25
SULFASALAZ 100 MG/ML UDL,4.25
D5W 25 ML               ,4.25
DOCETAXEL 1 MG INJ      ,4.25
DOXYCYCLINE CAP 50 MG   ,4.5
AUGMENTIN ES-600 UDL    ,4.5
TEGRETOL XR TAB 100 MG  ,4.5
CEFDINIR 300 MG CAP     ,4.5
BREEZA                  ,4.5
CAPTOPRIL TAB 12.5 MG   ,4.75
CAPTOPRIL TAB 25 MG     ,4.75
MS-CONTIN TAB 15 MG     ,4.75
LISINOPRIL TAB 30 MG    ,4.75
LISINOPRIL TAB 40 MG    ,4.75
ENALAPRIL TAB 20 MG     ,4.75
KLONOPIN TAB 0.5MG      ,4.75
NORTRIPTYLINE 50 MG     ,4.75
FOLBIC TAB              ,4.75
AMITRIPTYLINE 100 MG    ,4.75
MYSOLINE TAB 50MG       ,4.75
ESTRACE TAB 1 MG        ,4.75
TESSALON PERLE CAP      ,4.75
URISPAS TAB 100 MG      ,4.75
ISOPTIN-SR TAB 180MG    ,4.75
VITAMIN D TAB 1.25MG    ,4.75
K-LYTE TAB 25 MEQ       ,4.75
MEDROL TAB 4MG          ,4.75
CROMOLYN SOD 20 MG/2 ML ,4.75
CYTOTEC TAB 100 MCG     ,4.75
